contrainte	ADJ	contraindre
de	ADP	de
noir	ADJ	noir
agression	NOUN	agression
au	ADP	au
compte	NOUN	compte
1973	NUM	1973
Explique	PROPN	Explique
Pas	ADV	pas
se	PRON	se
textes	NOUN	texte
Il	PRON	il
la	DET	le
dévolu	ADJ	dévolu
sang	NOUN	sang
de	ADP	de
hasard	PROPN	hasard
erreur	NOUN	erreur
juger	VERB	juger
petite	ADJ	petit
en	ADP	en
sainte	ADJ	saint
dire	ADV	dire
dont	PRON	dont
Carlo	PROPN	Carlo
de	ADP	de
cette	DET	ce
sauver	VERB	sauver
chantier	NOUN	chantier
vêtements	NOUN	vêtement
avait	AUX	avoir
ans	NOUN	an
séparés	VERB	séparer
même	ADV	même
le	DET	le
Comme	ADP	comme
On	PRON	on
elle	PRON	lui
ses	DET	son
désirez	VERB	désirer
paix	NOUN	paix
or	PRON	or
houppe	NOUN	houppe
avait	VERB	avoir
un	DET	un
café	NOUN	café
des	DET	un
Angie	NOUN	angie
dessin	NOUN	dessin
Il	PRON	il
aller	VERB	aller
amocher	VERB	amocher
rue	NOUN	rue
il	PRON	il
une	DET	un
Son	DET	son
lui	NOUN	lui
poignée	NOUN	poignée
argent	NOUN	argent
un	DET	un
quoi	PRON	quoi
quarts	NOUN	quart
remercie	VERB	remercier
air	NOUN	air
short	NOUN	short
Il	PRON	il
multicolores	ADJ	multicolore
mes	DET	mon
un	DET	un
se	PRON	se
Elle	PRON	lui
ce	DET	ce
rappeler	VERB	rappeler
mais	CCONJ	mais
Guido	PROPN	Guido
la	DET	le
le	PRON	le
voir	VERB	voir
placenta	ADJ	placenta
porte	VERB	porte
qu'	PRON	qu'
riens	ADJ	rien
qu'	SCONJ	que
pourras	NOUN	pourra
désinvolture	NOUN	désinvolture
fragile	ADJ	fragile
pour	ADP	pour
peux	VERB	pouvoir
la	DET	le
tout	ADV	tout
besogne	NOUN	besogne
il	PRON	il
devant	ADP	devant
avais	VERB	avoir
plus	ADV	plus
murmura	VERB	murmurer
Jolie	PROPN	Jolie
dis	ADP	dis
pour	ADP	pour
qui	PRON	qui
tout	ADJ	tout
prison	NOUN	prison
qu'	PRON	qu'
de	ADP	de
mon	DET	mon
il	PRON	il
que	SCONJ	que
il	PRON	il
long	ADJ	long
bonhomme	NOUN	bonhomme
miel	NOUN	miel
ma	DET	mon
mais	CCONJ	mais
tarde	VERB	tarde
dans	ADP	dans
une	DET	un
suite	NOUN	suite
clair	ADJ	clair
aux	ADP	à
faire	VERB	faire
la	DET	le
eut	AUX	avoir
son	DET	son
ses	DET	son
du	ADP	de
ce	PRON	ce
du	DET	de
les	DET	le
effectué	VERB	effectuer
tout	ADV	tout
Nicky	PROPN	Nicky
route	NOUN	route
et	CCONJ	et
désir	NOUN	désir
avait	AUX	avoir
ou	CCONJ	ou
Badge	PROPN	Badge
son	DET	son
dit	VERB	dire
un	DET	un
dans	ADP	dans
Le	DET	le
Le	DET	le
Certains	PRON	certains
une	DET	un
tissu	NOUN	tissu
trouvé	VERB	trouver
lui	PRON	lui
que	SCONJ	que
sang	NOUN	sang
et	CCONJ	et
Ce	PRON	ce
de	ADP	de
seul	ADJ	seul
traitement	NOUN	traitement
frisés	VERB	friser
referma	VERB	refermer
les	DET	le
notre	DET	notre
attendais	VERB	attendre
était	AUX	être
les	DET	le
enlacé	VERB	enlacer
vous	PRON	vous
avec	ADP	avec
nous	PRON	nous
avait	VERB	avoir
ce	PRON	ce
fois	NOUN	fois
coude	NOUN	coude
Le	DET	le
le	DET	le
réglais	VERB	régler
les	DET	le
vie	NOUN	vie
loueront	VERB	louer
lui	PRON	lui
immédiatement	ADV	immédiatement
la	DET	le
tu	ADP	tu
où	PRON	où
jardin	ADJ	jardin
autres	ADJ	autre
jamais	ADV	jamais
le	DET	le
mentalité	NOUN	mentalité
et	CCONJ	et
le	DET	le
sommes	AUX	être
Bambou	PROPN	Bambou
tirer	VERB	tirer
crains	NOUN	crain
chez	ADP	chez
nogproduisaient	VERB	nogproduiser
les	DET	le
Kelly	PROPN	Kelly
inférieure	ADJ	inférieur
par	ADP	par
précipitamment	ADV	précipitamment
tu	SCONJ	tu
secours	NOUN	secours
qui	PRON	qui
les	PRON	le
remédions	VERB	remédier
Je	PRON	je
pensé	VERB	penser
réserve	NOUN	réserve
morigénai	ADV	morigénai
avait	VERB	avoir
vert	VERB	vert
Oh	PROPN	Oh
honnête	ADJ	honnête
reprenaient	VERB	reprendre
eu	VERB	avoir
de	ADP	de
que	SCONJ	que
moi	PRON	moi
était	AUX	être
dixièmes	NOUN	dixième
que	SCONJ	que
été	AUX	être
dieux	ADJ	dieux
qu'	SCONJ	que
impatientai	VERB	impatienter
la	DET	le
croûte	VERB	croûte
bureau	NOUN	bureau
de	ADP	de
jamais	ADV	jamais
métal	ADJ	métal
fugue	NOUN	fugue
desserra	ADJ	desserra
une	PRON	un
bondis	VERB	bondir
ont	AUX	avoir
sacré	NOUN	sacré
reconnaissance	NOUN	reconnaissance
formées	VERB	former
été	AUX	être
une	DET	un
de	ADP	de
prendre	VERB	prendre
Sûrement	ADV	sûrement
Vous	PRON	vous
il	PRON	il
était	AUX	être
quelque	DET	quelque
William	PROPN	William
proportion	NOUN	proportion
je	PRON	je
toutes	ADJ	tout
Ainsi	ADV	ainsi
en	ADP	en
bibelots	NOUN	bibelot
