jusqu'	ADP	jusque
Virginie	PROPN	Virginie
les	DET	le
pas	ADV	pas
repérer	VERB	repérer
était	AUX	être
son	DET	son
nourriture	NOUN	nourriture
de	ADP	de
corps	NOUN	corps
un	DET	un
se	PRON	se
souvint	VERB	souvenir
qu'	PRON	qu'
Mère	NOUN	mère
Ils	PRON	il
pouvait	VERB	pouvoir
Faudrait	VERB	falloir
avez	AUX	avoir
vouloir	VERB	vouloir
Mais	CCONJ	mais
rivière	NOUN	rivière
préservant	VERB	préserver
Le	DET	le
comme	ADP	comme
Cela	PRON	cela
interrogé	VERB	interroger
je	PRON	je
un	DET	un
en	ADP	en
des	ADP	de
qu'	SCONJ	que
elle-même	PRON	lui-même
concurrents	NOUN	concurrent
de	ADP	de
elle	PRON	lui
laquelle	PRON	lequel
la	PRON	le
en	ADP	en
chambre	NOUN	chambre
retenir	VERB	retenir
cette	DET	ce
attention	NOUN	attention
procédé	NOUN	procédé
savait	VERB	savoir
le	PRON	le
Combien	ADV	combien
du	ADP	de
les	PRON	le
et	CCONJ	et
Il	PRON	il
aire	ADJ	air
dans	ADP	dans
appliquaient	VERB	appliquer
qui	PRON	qui
tête	NOUN	tête
et	CCONJ	et
Quel	DET	quel
après	ADP	après
le	DET	le
forme	NOUN	forme
de	ADP	de
tendit	VERB	tendre
revanche	NOUN	revanche
une	DET	un
les	DET	le
zéphyrs	NOUN	zéphyr
des	DET	un
et	CCONJ	et
plus	ADV	plus
fond	NOUN	fond
en	PRON	en
de	ADP	de
paître	NOUN	paître
flingue	NOUN	flingue
dans	ADP	dans
prise	ADJ	pris
du	ADP	de
attendre	VERB	attendre
de	ADP	de
ne	ADV	ne
tunnel	NOUN	tunnel
chevet	NOUN	chevet
est	AUX	être
sinon	ADV	sinon
matin	NOUN	matin
elle	PRON	lui
Elle	PRON	lui
homosexualité	NOUN	homosexualité
nuit	NOUN	nuit
sais	NOUN	sai
trois	NUM	trois
hanches	NOUN	hanche
est	AUX	être
elle	PRON	lui
éreintée	VERB	éreinter
minutes	NOUN	minute
faisons	VERB	faire
est	AUX	être
gâchis	ADJ	gâchi
aide	NOUN	aide
si	SCONJ	si
pouvait	VERB	pouvoir
avions	AUX	avoir
et	CCONJ	et
de	ADP	de
Vous	PRON	vous
ComLink	PROPN	ComLink
femme	NOUN	femme
études	NOUN	étude
Il	PRON	il
parut	VERB	paraître
passé	VERB	passer
rênes	NOUN	rêne
avait	AUX	avoir
orbite	NOUN	orbite
des	DET	un
tournées	VERB	tourner
uniforme	NOUN	uniforme
cours	NOUN	cours
au	ADP	au
il	PRON	il
de	ADP	de
germer	VERB	germer
un	DET	un
de	ADP	de
de	ADP	de
autres	ADJ	autre
Ne	ADV	ne
de	ADP	de
sa	DET	son
comprit	VERB	comprendre
exécutif	NOUN	exécutif
est	AUX	être
la	DET	le
tout	ADV	tout
venait	VERB	venir
frénétiques	ADJ	frénétique
Terre	PROPN	Terre
bruit	NOUN	bruit
corps	NOUN	corps
et	CCONJ	et
la	DET	le
Ce	PRON	ce
Flocon	PROPN	Flocon
ne	ADV	ne
papilles	ADJ	papille
souvent	ADV	souvent
ne	ADV	ne
gouverneur	NOUN	gouverneur
revoir	VERB	revoir
chanteurs	NOUN	chanteur
tandis	ADV	tandis
dès	ADP	dès
cherche	VERB	cherche
des	ADP	de
les	DET	le
de	ADP	de
La	DET	le
le	DET	le
suspicions	NOUN	suspicion
fallait	VERB	falloir
pleine	NOUN	pleine
tranchées	NOUN	tranchée
bras	NOUN	bras
nous	PRON	nous
tout	ADV	tout
faisaient	VERB	faire
repoussai	ADP	repoussai
est	AUX	être
arrêterait	VERB	arrêter
dont	PRON	dont
ce	DET	ce
vu	VERB	voir
