couples	NOUN	couple
automatique	ADJ	automatique
se	PRON	se
jusqu'	ADP	jusque
larmes	NOUN	larme
station	NOUN	station
actuelle	ADJ	actuel
commune	ADJ	commun
avoué	VERB	avouer
suggestion	NOUN	suggestion
sans	ADP	sans
de	ADP	de
Je	PRON	je
une	DET	un
deuxième	ADJ	deuxième
conditions	NOUN	condition
souleva	VERB	soulever
normal	ADJ	normal
être	AUX	être
est	AUX	être
sans	ADP	sans
but	NOUN	but
éveiller	VERB	éveiller
il	PRON	il
tous	ADJ	tout
plein	ADJ	plein
foulard	NOUN	foulard
pour	ADP	pour
le	DET	le
Il	PRON	il
sourcils	NOUN	sourcil
Quelques	DET	quelque
deux	NUM	deux
sienne	NOUN	sienne
Rufo	PROPN	Rufo
caresse	NOUN	caresse
reprendre	VERB	reprendre
figurait	VERB	figurer
avait	VERB	avoir
mobile	NOUN	mobile
ai	VERB	avoir
par	ADP	par
cottage	NOUN	cottage
la	DET	le
Je	PRON	je
elle	PRON	lui
ce	DET	ce
la	DET	le
était	AUX	être
acheté	VERB	acheter
tu	SCONJ	tu
ciel	NOUN	ciel
sur	ADP	sur
était	AUX	être
rouler	VERB	rouler
mariage	NOUN	mariage
bactérie	NOUN	bactérie
ma	DET	mon
où	PRON	où
pièces	NOUN	pièce
avoir	VERB	avoir
Institut	PROPN	Institut
chance	NOUN	chance
Sloan	PROPN	Sloan
Les	DET	le
de	ADP	de
est	AUX	être
du	ADP	de
librement	ADV	librement
dans	ADP	dans
au	ADP	au
vieux	ADJ	vieux
Kathie	NOUN	kathie
puis	CCONJ	puis
reproches	NOUN	reproche
mourir	VERB	mourir
quand	SCONJ	quand
plus	ADV	plus
Avides	NOUN	avide
sang	ADJ	sang
son	DET	son
branlait	VERB	branler
surgit	VERB	surgir
si	SCONJ	si
deux	PRON	deux
XXesiècle	NOUN	xxesiècle
la	DET	le
semaine	NOUN	semaine
chaleur	NOUN	chaleur
et	CCONJ	et
un	DET	un
leur	DET	leur
regarda	VERB	regarder
qu'	SCONJ	que
délibérément	ADV	délibérément
interrogé	VERB	interroger
manière	NOUN	manière
encore	ADV	encore
bien	ADV	bien
de	ADP	de
naonyths	NOUN	naonyth
élégance	NOUN	élégance
yeux	NOUN	oeil
ou	CCONJ	ou
dans	ADP	dans
matin	NOUN	matin
entre	ADP	entre
sa	DET	son
les	DET	le
sur	ADP	sur
aime	NOUN	aime
milieu	NOUN	milieu
Je	PRON	je
monde	NOUN	monde
mal	ADV	mal
trouve	VERB	trouve
de	ADP	de
pour	ADP	pour
est	AUX	être
en	ADP	en
dis	ADP	dis
ne	ADV	ne
il	PRON	il
pas	ADV	pas
que	SCONJ	que
litres	NOUN	litre
pas	ADV	pas
un	DET	un
lui	PRON	lui
opération	NOUN	opération
une	DET	un
Chepstow	PROPN	Chepstow
blanc	NOUN	blanc
vous	PRON	vous
abîme	NOUN	abîme
de	ADP	de
très	ADV	très
gomme	NOUN	gomme
half	ADJ	half
sa	DET	son
qu'	SCONJ	que
sentiras	NOUN	sentira
de	ADP	de
frère	NOUN	frère
imposant	VERB	imposer
navire	NOUN	navire
suite	NOUN	suite
La	DET	le
manteau	NOUN	manteau
Ses	DET	son
Vous	PRON	vous
pourtant	ADV	pourtant
Japonais	PROPN	Japonais
Stanton	PROPN	Stanton
ne	ADV	ne
disparition	NOUN	disparition
marmonna	NOUN	marmonna
aux	ADP	à
qu'	PRON	qu'
serait	AUX	être
clôturer	VERB	clôturer
avec	ADP	avec
gobelet	NOUN	gobelet
ses	DET	son
ai	AUX	avoir
moins	ADV	moins
matière	NOUN	matière
cœur	NOUN	cœur
vivait	VERB	vivre
et	CCONJ	et
front	NOUN	front
passé	VERB	passer
sortaient	VERB	sortir
gagné	ADJ	gagner
de	ADP	de
ceux	PRON	celui
en	PRON	en
de	ADP	de
long	NOUN	long
trente	NUM	trente
ne	ADV	ne
le	PRON	le
chaque	DET	chaque
ce	PRON	ce
réserve	NOUN	réserve
permettent	VERB	permettre
de	ADP	de
de	ADP	de
pièce	NOUN	pièce
et	CCONJ	et
une	DET	un
de	ADP	de
ça	PRON	cela
parfois	ADV	parfois
accompagnait	VERB	accompagner
de	ADP	de
reliefs	PROPN	relief
détruisait	VERB	détruire
sous	ADP	sous
en	ADP	en
années	NOUN	année
Madison	PROPN	Madison
Ecoutez	VERB	ecouter
de	ADP	de
secret	NOUN	secret
Jokari	PROPN	Jokari
certains	PRON	certains
maladie	NOUN	maladie
son	DET	son
couru	VERB	courir
trompez	VERB	tromper
des	ADP	de
la	DET	le
que	SCONJ	que
un	DET	un
pointes	NOUN	pointe
demanda	ADJ	demanda
elle	PRON	lui
des	ADP	de
originale	ADJ	original
pour	ADP	pour
niveau	NOUN	niveau
sur	ADP	sur
soudaine	ADJ	soudain
un	DET	un
sans	ADP	sans
que	SCONJ	que
parlait	VERB	parler
me	PRON	me
avait	AUX	avoir
peine	NOUN	peine
de	ADP	de
amuse	VERB	amuse
moi	PRON	moi
la	DET	le
pourrions	VERB	pouvoir
agirait	VERB	agir
aussi	ADV	aussi
Faut	PROPN	Faut
répéta	VERB	répéter
les	PRON	le
rendre	VERB	rendre
Et	CCONJ	et
Le	DET	le
dessin	NOUN	dessin
se	PRON	se
coup	NOUN	coup
parce	SCONJ	parce
importance	NOUN	importance
répéta	VERB	répéter
les	DET	le
moi	PRON	moi
établi	NOUN	établi
détaillait	VERB	détailler
la	DET	le
dirigent	VERB	diriger
long	NOUN	long
le	DET	le
faut	VERB	falloir
appelle	VERB	appeler
ce	DET	ce
de	ADP	de
favorables	ADJ	favorable
yeux	NOUN	oeil
Djafar	PROPN	Djafar
ai	VERB	avoir
impliquait	VERB	impliquer
et	CCONJ	et
bien	ADV	bien
mit	VERB	mettre
banc	NOUN	banc
ressort	NOUN	ressort
elle	PRON	lui
orgueilleux	ADJ	orgueilleux
magnétiques	ADJ	magnétique
épaules	NOUN	épaule
métier	NOUN	métier
la	DET	le
serais	AUX	être
seconde	ADJ	second
sans	ADP	sans
francs	NOUN	franc
Mais	CCONJ	mais
coup	ADV	coup
Duchesse	NOUN	duchesse
existence	NOUN	existence
trop	ADV	trop
tout	ADJ	tout
certain	ADJ	certain
survécu	VERB	survivre
tard	ADV	tard
Babacar	PROPN	Babacar
les	DET	le
Row	PROPN	Row
surmonté	VERB	surmonter
les	DET	le
permettent	VERB	permettre
tourner	VERB	tourner
Pierre	PROPN	Pierre
dommage	NOUN	dommage
bien	ADV	bien
des	DET	un
il	PRON	il
ce	PRON	ce
de	ADP	de
bougeait	VERB	bouger
pleurer	VERB	pleurer
contact	NOUN	contact
dis	ADP	dis
les	DET	le
Val	NOUN	val
se	PRON	se
temps	NOUN	temps
il	PRON	il
Je	PRON	je
nez	NOUN	nez
que	SCONJ	que
fièvre	NOUN	fièvre
Oiseau	NOUN	oiseau
atteignirent	VERB	atteindre
le	PRON	le
abondamment	ADV	abondamment
plus	ADV	plus
plus	ADV	plus
membres	NOUN	membre
se	PRON	se
Marsha	PROPN	Marsha
et	CCONJ	et
réussi	ADV	réussi
père	NOUN	père
de	ADP	de
tut	VERB	taire
en	ADP	en
trop	ADV	trop
dit	VERB	dire
les	DET	le
une	DET	un
sœur	NOUN	sœur
voix	NOUN	voix
fois	NOUN	fois
de	ADP	de
du	ADP	de
de	ADP	de
tous	ADJ	tout
intérieur	NOUN	intérieur
nouveau	ADJ	nouveau
crois	VERB	croire
génie	NOUN	génie
DEUX	NUM	DEUX
sérieux	ADJ	sérieux
retraite	NOUN	retraite
Il	PRON	il
en	ADP	en
que	SCONJ	que
sont	AUX	être
généralités	NOUN	généralité
crâne	NOUN	crâne
perdue	VERB	perdre
dans	ADP	dans
un	DET	un
La	DET	le
des	DET	un
et	CCONJ	et
eux	PRON	lui
les	DET	le
brune	NOUN	brune
aviez	VERB	avoir
elle	PRON	lui
encore	ADV	encore
Mon	DET	mon
on	PRON	on
Fillts	PROPN	Fillts
expédiés	VERB	expédier
brûlure	NOUN	brûlure
Loveday	PROPN	Loveday
publique	ADJ	public
Piège	PROPN	Piège
avait	AUX	avoir
voir	VERB	voir
claire	ADJ	clair
Carmen	PROPN	Carmen
entrevue	NOUN	entrevue
son	DET	son
qu'	SCONJ	que
homme	NOUN	homme
réagis	NOUN	réagi
pouvait	VERB	pouvoir
Square	PROPN	Square
rigoler	VERB	rigoler
dont	PRON	dont
voix	NOUN	voix
marchait	VERB	marcher
chars	ADJ	char
et	CCONJ	et
une	DET	un
qu'	PRON	qu'
des	ADP	de
ne	ADV	ne
du	ADP	de
rien	PRON	rien
ne	ADV	ne
où	PRON	où
fait	VERB	faire
sans	ADP	sans
appris	VERB	apprendre
ils	PRON	il
de	ADP	de
formes	NOUN	forme
possédait	VERB	posséder
mon	DET	mon
existait	VERB	exister
te	DET	te
est	AUX	être
Suburban	PROPN	Suburban
Elle	PRON	lui
Benjamin	PROPN	Benjamin
maison	NOUN	maison
dit	VERB	dire
ses	DET	son
après-midi	NOUN	après-midi
vacances	NOUN	vacance
est	AUX	être
semblait	VERB	sembler
Lecteur	NOUN	lecteur
redoutait	VERB	redouter
me	PRON	me
partir	VERB	partir
de	ADP	de
avec	ADP	avec
en	PRON	en
attention	NOUN	attention
de	ADP	de
les	DET	le
ai	AUX	avoir
Que	PRON	que
Johnny	PROPN	Johnny
du	ADP	de
fatigua	VERB	fatiguer
de	ADP	de
posiez	VERB	poser
entière	ADJ	entier
avec	ADP	avec
mesure	NOUN	mesure
Confédération	NOUN	confédération
de	ADP	de
bien	ADV	bien
assez	ADV	assez
de	ADP	de
dire	VERB	dire
bronzes	NOUN	bronze
égard	NOUN	égard
pouvoir	NOUN	pouvoir
qui	PRON	qui
Paris	PROPN	Paris
traversée	NOUN	traversée
qu'	SCONJ	que
lui	PRON	lui
elle	PRON	lui
mains	NOUN	main
ce	PRON	ce
souffle	NOUN	souffle
Va	VERB	aller
bascule	NOUN	bascule
vaguement	ADV	vaguement
était	AUX	être
laquelle	PRON	lequel
dire	VERB	dire
sautait	VERB	sauter
Jean-Jacques	PROPN	Jean-Jacques
en	ADP	en
et	CCONJ	et
sa	DET	son
instruction	NOUN	instruction
pois	NOUN	pois
de	ADP	de
moustache	NOUN	moustache
renfrogna	VERB	renfrogner
doigts	NOUN	doigt
trop	ADV	trop
entendre	VERB	entendre
véritable	ADJ	véritable
cheveux	ADJ	cheveux
Alors	ADV	alors
mon	DET	mon
parricides	NOUN	parricide
la	DET	le
odeur	ADJ	odeur
pour	ADP	pour
était	AUX	être
lui	VERB	luire
voulez	VERB	vouloir
usait	VERB	user
de	ADP	de
de	ADP	de
grandeur	NOUN	grandeur
elle	PRON	lui
du	ADP	de
pas	ADV	pas
en	ADP	en
peine	NOUN	peine
si	SCONJ	si
les	DET	le
ne	ADV	ne
Que	SCONJ	que
un	DET	un
gant	ADJ	gant
Seine	PROPN	Seine
que	SCONJ	que
avais	VERB	avoir
monde	NOUN	monde
poissons	NOUN	poisson
Walt	PROPN	Walt
Robert	PROPN	Robert
direction	NOUN	direction
studio	NOUN	studio
attendre	VERB	attendre
Ecuyer	VERB	ecuyer
pas	ADV	pas
que	SCONJ	que
avait	VERB	avoir
devant	ADP	devant
et	CCONJ	et
avant	ADP	avant
soir	NOUN	soir
fus	AUX	être
étais	VERB	être
tapis	NOUN	tapis
fallut	VERB	falloir
en	ADP	en
connais	VERB	connaître
au	ADP	au
et	CCONJ	et
Il	PRON	il
regarde	VERB	regarde
boucle	NOUN	boucle
portait	VERB	porter
sergent	NOUN	sergent
on	PRON	on
pas	ADV	pas
fabriqué	VERB	fabriquer
chasse	NOUN	chasse
sur	ADP	sur
il	PRON	il
Charlotte	PROPN	Charlotte
Ou	CCONJ	ou
le	DET	le
au	ADP	au
eu	VERB	avoir
sous	ADP	sous
cadavre	NOUN	cadavre
il	PRON	il
la	DET	le
problème	NOUN	problème
sur	ADP	sur
de	ADP	de
homme	NOUN	homme
il	PRON	il
de	ADP	de
vous	PRON	vous
isolent	VERB	isoler
elle	PRON	lui
le	DET	le
comprendre	VERB	comprendre
point	NOUN	point
oiseaux	NOUN	oiseau
du	ADP	de
nous	PRON	nous
chaque	DET	chaque
les	DET	le
ai	VERB	avoir
avaient	AUX	avoir
que	SCONJ	que
un	DET	un
question	NOUN	question
Je	PRON	je
les	DET	le
quelques	DET	quelque
venait	VERB	venir
elles	PRON	lui
général	ADJ	général
Luce	PROPN	Luce
appartement	NOUN	appartement
de	ADP	de
fermé	VERB	fermer
informé	VERB	informer
autre	ADJ	autre
confia	NOUN	confia
Le	DET	le
mais	CCONJ	mais
si	ADV	si
vivante	ADJ	vivant
les	DET	le
de	ADP	de
tous	ADJ	tout
qu'	SCONJ	que
La	DET	le
réagir	VERB	réagir
détourner	VERB	détourner
instantanément	ADV	instantanément
couvraient	VERB	couvrir
avait	VERB	avoir
était	AUX	être
la	DET	le
avaient	AUX	avoir
plus	ADV	plus
on	PRON	on
il	PRON	il
Je	PRON	je
pas	ADV	pas
La	DET	le
poussaient	VERB	pousser
de	ADP	de
le	DET	le
quelle	DET	quel
cependant	ADV	cependant
avait	AUX	avoir
plainte	NOUN	plainte
de	ADP	de
Histoire	NOUN	histoire
mois	NOUN	mois
pas	ADV	pas
qui	PRON	qui
elle	PRON	lui
Grego	PROPN	Grego
temps	ADV	temps
peu	ADV	peu
inspiration	NOUN	inspiration
recoupent	VERB	recouper
et	CCONJ	et
de	ADP	de
était	AUX	être
la	DET	le
ne	ADV	ne
vos	DET	votre
dit	VERB	dire
intellectuelles	ADJ	intellectuel
auprès	ADV	auprès
aurions	AUX	avoir
mauvaise	ADJ	mauvais
et	CCONJ	et
les	DET	le
son	DET	son
pleurer	VERB	pleurer
océan	NOUN	océan
des	DET	un
matin	NOUN	matin
de	ADP	de
puis	CCONJ	puis
de	ADP	de
tu	ADP	tu
La	DET	le
sans	ADP	sans
volonté	NOUN	volonté
plus	ADV	plus
avoir	AUX	avoir
la	DET	le
avait	AUX	avoir
boucle	NOUN	boucle
ville	NOUN	ville
ont	AUX	avoir
on	PRON	on
il	PRON	il
aimer	VERB	aimer
jouait	VERB	jouer
était	AUX	être
elle	PRON	lui
