en	ADP	en
qu'	SCONJ	que
Vous	PRON	vous
Alors	ADV	alors
petits	ADJ	petit
de	ADP	de
vois	VERB	voir
Les	DET	le
de	ADP	de
argent	NOUN	argent
de	ADP	de
Comme	ADP	comme
Dire	VERB	dire
dans	ADP	dans
ils	PRON	il
Évidemment	ADV	évidemment
emmené	VERB	emmener
en	PRON	en
Avant	ADV	avant
Anglais	PROPN	Anglais
garage	NOUN	garage
profondeurs	NOUN	profondeur
des	DET	un
qu'	PRON	qu'
cœur	NOUN	cœur
qu'	SCONJ	que
montrer	VERB	montrer
mes	DET	mon
ne	ADV	ne
Tu	ADP	tu
ne	ADV	ne
espace	AUX	espace
Farakhan	PROPN	Farakhan
ses	DET	son
est	AUX	être
inhabituées	VERB	inhabituéer
bonnement	ADV	bonnement
de	ADP	de
et	CCONJ	et
pas	ADV	pas
sa	DET	son
deviennent	VERB	devenir
la	DET	le
se	PRON	se
blitzkrieg	NOUN	blitzkrieg
un	DET	un
lui	PRON	lui
partis	VERB	partir
Il	PRON	il
très	ADV	très
vouliez	NOUN	vouliez
il	PRON	il
ranger	VERB	ranger
Nous	PRON	nous
Ciel	NOUN	ciel
de	ADP	de
ou	CCONJ	ou
un	DET	un
casier	NOUN	casier
preuves	NOUN	preuve
demi-nues	NOUN	demi-nue
rencontre	VERB	rencontre
il	PRON	il
avec	ADP	avec
sourcils	NOUN	sourcil
avait	AUX	avoir
robe	NOUN	robe
os	NOUN	os
une	DET	un
le	DET	le
va	VERB	aller
le	DET	le
coffrer	VERB	coffrer
chère	ADJ	cher
lui-même	PRON	lui-même
offrait	VERB	offrir
se	PRON	se
Marlowe	PROPN	Marlowe
Alors	ADV	alors
vais	VERB	aller
1966	NUM	1966
jamais	ADV	jamais
de	ADP	de
me	PRON	me
Je	PRON	je
premier	ADJ	premier
pénible	ADJ	pénible
Tam	PROPN	Tam
sienne	NOUN	sienne
il	PRON	il
accepté	VERB	accepter
là	ADV	là
fin	NOUN	fin
il	PRON	il
Bugle	NOUN	bugle
endormir	ADJ	endormir
était	AUX	être
femme	NOUN	femme
étaient	AUX	être
les	DET	le
se	PRON	se
cinq	NUM	cinq
manuscrit	NOUN	manuscrit
pas	ADV	pas
de	ADP	de
inconnue	NOUN	inconnue
et	CCONJ	et
un	DET	un
de	ADP	de
Eh	INTJ	Eh
dit	VERB	dire
que	SCONJ	que
de	ADP	de
affolée	VERB	affoler
pus	PRON	pus
Sa	DET	son
Nous	PRON	nous
tu	NOUN	tu
mais	CCONJ	mais
part	NOUN	part
tristesse	NOUN	tristesse
sa	DET	son
brusquement	ADV	brusquement
écrasa	VERB	écraser
demi	NOUN	demi
parie	VERB	parier
sa	DET	son
le	DET	le
avec	ADP	avec
il	PRON	il
la	DET	le
monde	NOUN	monde
