faim	NOUN	faim
trempées	VERB	tremper
Karine	PROPN	Karine
Le	DET	le
préférable	ADJ	préférable
Mafalda	PROPN	Mafalda
votèrent	NOUN	votèrent
très	ADV	très
sentait	VERB	sentir
un	DET	un
de	ADP	de
une	DET	un
des	ADP	de
tous	ADJ	tout
assez	ADV	assez
tout	ADV	tout
ses	DET	son
Tiens	PROPN	Tiens
suisse	ADJ	suisse
fort	ADV	fort
les	DET	le
trouver	VERB	trouver
Vous	PRON	vous
Anne	PROPN	Anne
et	CCONJ	et
silences	NOUN	silence
que	SCONJ	que
sous	ADP	sous
propriété	ADJ	propriété
lame	NOUN	lame
la	DET	le
en	PRON	en
On	PRON	on
moyens	NOUN	moyen
ceux	PRON	celui
en	ADP	en
est	AUX	être
une	DET	un
elle	PRON	lui
ne	ADV	ne
la	DET	le
français	ADJ	français
assister	VERB	assister
allez	VERB	aller
sais	NOUN	sai
me	PRON	me
des	DET	un
les	DET	le
soit	VERB	être
femme	NOUN	femme
temps	NOUN	temps
nous	PRON	nous
bien	ADV	bien
bloquée	VERB	bloquer
yeux	NOUN	oeil
il	PRON	il
résolut	VERB	résoudre
bien	ADV	bien
pierres	NOUN	pierre
du	ADP	de
les	DET	le
jamais	ADV	jamais
proposition	NOUN	proposition
que	SCONJ	que
décousue	VERB	découdre
très	ADV	très
la	DET	le
idées	NOUN	idée
sa	DET	son
le	DET	le
jugement	NOUN	jugement
en	ADP	en
sécularisée	VERB	séculariser
sur	ADP	sur
enfants	NOUN	enfant
épaule	NOUN	épaule
personnes	NOUN	personne
du	ADP	de
de	ADP	de
se	PRON	se
avoir	AUX	avoir
de	ADP	de
devait	VERB	devoir
ne	ADV	ne
atterrir	VERB	atterrir
dis	ADP	dis
sein	NOUN	sein
restée	VERB	rester
déchiffrer	VERB	déchiffrer
ouvriers	NOUN	ouvrier
et	CCONJ	et
violent	ADV	violent
porte	VERB	porte
Jill	PROPN	Jill
entreprises	VERB	entreprendre
un	DET	un
plus	ADV	plus
porte	NOUN	porte
légère	ADJ	léger
commis	VERB	commettre
que	PRON	que
pour	ADP	pour
Jamais	ADV	jamais
enjambait	VERB	enjamber
en	ADP	en
italiennes	ADJ	italien
il	PRON	il
habitants	NOUN	habitant
mesure	NOUN	mesure
Il	PRON	il
bizarre	ADJ	bizarre
excitée	VERB	exciter
la	DET	le
sourires	NOUN	sourire
qui	PRON	qui
autre	ADJ	autre
avait	AUX	avoir
rapportés	VERB	rapporter
grâce	NOUN	grâce
et	CCONJ	et
Kloofman	NOUN	kloofman
riche	NOUN	riche
part	NOUN	part
et	CCONJ	et
fenêtre	NOUN	fenêtre
42	NUM	42
amateurs	NOUN	amateur
incertitude	NOUN	incertitude
fixé	VERB	fixer
pas	NOUN	pas
par	ADP	par
bien	ADV	bien
Trager	PROPN	Trager
de	ADP	de
prises	VERB	prendre
jusqu'	ADP	jusque
et	CCONJ	et
fatiguée	VERB	fatiguer
chemin	NOUN	chemin
pas	ADV	pas
qui	PRON	qui
avait	AUX	avoir
autant	ADV	autant
une	DET	un
rencontre	NOUN	rencontre
que	SCONJ	que
merde	NOUN	merde
faiblissait	NOUN	faiblissait
la	DET	le
encre	NOUN	encre
il	PRON	il
chenu	VERB	chenu
de	ADP	de
moi	PRON	moi
avait	VERB	avoir
autres	ADJ	autre
un	DET	un
une	DET	un
regarda	VERB	regarder
qui	PRON	qui
bâtimént	NOUN	bâtimént
fierté	VERB	fierter
crève	VERB	crever
cirrhose	NOUN	cirrhose
en	ADP	en
qui	PRON	qui
pièce	NOUN	pièce
le	DET	le
risque	VERB	risque
avoir	AUX	avoir
se	PRON	se
nuages	NOUN	nuage
la	DET	le
où	PRON	où
condition	NOUN	condition
le	DET	le
qu'	SCONJ	que
pour	ADP	pour
trouve	VERB	trouve
Tricia	PROPN	Tricia
photo	NOUN	photo
monde	NOUN	monde
fit	VERB	faire
je	PRON	je
et	CCONJ	et
intérieur	ADJ	intérieur
marqué	VERB	marquer
se	PRON	se
vie	NOUN	vie
vous	PRON	vous
peu	ADV	peu
se	PRON	se
que	SCONJ	que
rock	VERB	rock
de	ADP	de
tour	NOUN	tour
spectacle	NOUN	spectacle
couraille	ADJ	couraill
de	ADP	de
Il	PRON	il
derrière	ADP	derrière
mes	DET	mon
caisse	NOUN	caisse
cahier	NOUN	cahier
façon	NOUN	façon
étais	VERB	être
remplit	VERB	remplir
elle	PRON	lui
du	ADP	de
tradition	NOUN	tradition
les	DET	le
du	ADP	de
March	PROPN	March
mais	CCONJ	mais
vu	VERB	voir
drap	NOUN	drap
des	ADP	de
avoir	VERB	avoir
que	SCONJ	que
vie	NOUN	vie
avait	AUX	avoir
patienter	VERB	patienter
pinces	NOUN	pince
pour	ADP	pour
double	ADJ	double
grinçant	NOUN	grinçant
Ceci	PRON	ceci
vous	PRON	vous
visites	ADJ	visite
la	DET	le
sa	DET	son
une	DET	un
temps	NOUN	temps
et	CCONJ	et
Où	PART	Où
fleuve	NOUN	fleuve
je	PRON	je
toute	ADJ	tout
et	CCONJ	et
DIEU	NOUN	dieu
pas	ADV	pas
récita	VERB	réciter
mieux	ADV	mieux
pestait	VERB	pester
pas	ADV	pas
fin	NOUN	fin
trouvé	VERB	trouver
visibles	ADJ	visible
il	PRON	il
de	ADP	de
sang	NOUN	sang
était	AUX	être
deux	NUM	deux
puisqu'	SCONJ	puisque
et	CCONJ	et
privé	ADJ	priver
ne	ADV	ne
fête	NOUN	fête
ne	ADV	ne
et	CCONJ	et
dit	VERB	dire
parler	VERB	parler
franchit	VERB	franchir
36	NUM	36
vous	PRON	vous
Blake	PROPN	Blake
Mentor	PROPN	Mentor
qui	PRON	qui
Le	DET	le
feu	NOUN	feu
privée	VERB	priver
en	ADP	en
monde	NOUN	monde
mon	DET	mon
de	ADP	de
carnivore	VERB	carnivore
qu'	PRON	qu'
lentement	ADV	lentement
très	ADV	très
désintégrer	VERB	désintégrer
en	ADP	en
dessous	NOUN	dessous
des	DET	un
Ex-danseuse	NOUN	ex-danseur
duc	NOUN	duc
mes	DET	mon
avait	VERB	avoir
de	ADP	de
particulier	ADJ	particulier
faut	VERB	falloir
de	ADP	de
Il	PRON	il
ma	DET	mon
photographié	VERB	photographier
Sa	DET	son
Alors	ADV	alors
vous	PRON	vous
dernière	ADJ	dernier
Gorbunova	PROPN	Gorbunova
il	PRON	il
Redlynch	PROPN	Redlynch
Braqueur	NOUN	braqueur
deux	NUM	deux
du	ADP	de
recherche	NOUN	recherche
fond	NOUN	fond
variées	VERB	varier
garçon	NOUN	garçon
alibi	NOUN	alibi
telle	ADJ	tel
Anonyme	PROPN	Anonyme
profondément	ADV	profondément
Et	CCONJ	et
et	CCONJ	et
seulement	ADV	seulement
plus	ADV	plus
il	PRON	il
même	ADV	même
les	DET	le
court	ADJ	court
doit	VERB	devoir
compris	ADJ	compris
des	ADP	de
une	DET	un
relevait	VERB	relever
pas	ADV	pas
un	DET	un
deux	NUM	deux
Lorsque	SCONJ	lorsque
vouloir	VERB	vouloir
conditions	NOUN	condition
je	PRON	je
calcinés	VERB	calciner
la	DET	le
état	NOUN	état
Jenny	PROPN	Jenny
admettait	VERB	admettre
il	PRON	il
parcourir	VERB	parcourir
faisait	VERB	faire
de	ADP	de
pas	ADV	pas
jour	NOUN	jour
être	AUX	être
bord	NOUN	bord
Je	PRON	je
incessants	NOUN	incessant
monter	VERB	monter
Délire	NOUN	délire
né	VERB	naître
semblaient	VERB	sembler
médecin	NOUN	médecin
physique	ADJ	physique
ne	ADV	ne
gens	NOUN	gens
le	DET	le
foule	NOUN	foule
pas	ADV	pas
soient	AUX	être
bois	NOUN	bois
était	AUX	être
monsieur	NOUN	Monsieur
ton	NOUN	ton
anciens	ADJ	ancien
ce	PRON	ce
avez	VERB	avoir
soupira	AUX	soupira
préférez	VERB	préférer
treize	NOUN	treize
de	ADP	de
en	ADP	en
un	DET	un
que	SCONJ	que
même	ADV	même
1re	ADJ	1r
de	ADP	de
entretenir	VERB	entretenir
de	ADP	de
sur	ADP	sur
beaucoup	ADV	beaucoup
ce	PRON	ce
peut	VERB	pouvoir
heureux	ADJ	heureux
vos	DET	votre
un	DET	un
forme	NOUN	forme
toute	DET	tout
son	DET	son
contact	NOUN	contact
fois	NOUN	fois
le	DET	le
se	PRON	se
je	PRON	je
les	DET	le
son	DET	son
se	PRON	se
prodigieuse	NOUN	prodigieuse
cycles	NOUN	cycle
un	DET	un
vous	PRON	vous
Tous	ADJ	tout
sa	DET	son
de	ADP	de
germer	VERB	germer
enfant	NOUN	enfant
pour	ADP	pour
son	DET	son
avec	ADP	avec
sur	ADP	sur
main	NOUN	main
leur	DET	leur
entière	ADJ	entier
plus	ADV	plus
crève	VERB	crever
bras	NOUN	bras
dit	VERB	dire
unique	ADJ	unique
cacher	VERB	cacher
Si	SCONJ	si
votre	DET	votre
fait	AUX	faire
pu	VERB	pouvoir
ou	CCONJ	ou
même	ADV	même
par	ADP	par
état	NOUN	état
ils	PRON	il
blanc	ADJ	blanc
et	CCONJ	et
maculé	VERB	maculer
rebelles	NOUN	rebelle
et	CCONJ	et
du	ADP	de
fait	VERB	faire
que	SCONJ	que
lui	PRON	lui
dans	ADP	dans
Je	PRON	je
elle	PRON	lui
dis	NOUN	di
aussitôt	ADV	aussitôt
construite	ADV	construite
pour	ADP	pour
éclairée	VERB	éclairer
me	PRON	me
toi	NOUN	toi
reposer	VERB	reposer
Il	PRON	il
en	PRON	en
une	DET	un
ça	PRON	cela
un	DET	un
tomber	VERB	tomber
La	DET	le
inféodé	NOUN	inféodé
déjà	ADV	déjà
avoir	VERB	avoir
me	PRON	me
des	DET	un
ces	DET	ce
précipitations	NOUN	précipitation
ai	AUX	avoir
de	ADP	de
Qui	PROPN	Qui
tue	VERB	taire
plus	ADV	plus
voulant	VERB	vouloir
attendant	NOUN	attendant
La	DET	le
Je	PRON	je
suis	AUX	être
de	ADP	de
Et	CCONJ	et
sur	ADP	sur
chaleur	NOUN	chaleur
pour	ADP	pour
vase	NOUN	vase
il	PRON	il
la	DET	le
cherchaient	VERB	chercher
bruit	NOUN	bruit
vos	DET	votre
rite	NOUN	rite
collaboration	NOUN	collaboration
Cette	DET	ce
me	PRON	me
il	PRON	il
et	CCONJ	et
été	AUX	être
ce	PRON	ce
gardiennes	NOUN	gardien
fois	NOUN	fois
quelques	DET	quelque
quatre	NUM	quatre
les	PRON	le
mon	DET	mon
être	NOUN	être
de	ADP	de
dangereux	ADJ	dangereux
table	NOUN	table
pluvieux	ADJ	pluvieux
tempêtes	NOUN	tempête
vin	NOUN	vin
posant	VERB	poser
plus	ADV	plus
Matrice	PROPN	Matrice
du	ADP	de
rues	NOUN	rue
le	DET	le
dans	ADP	dans
je	PRON	je
monde	NOUN	monde
deux	PRON	deux
Cité	NOUN	cité
Erica	NOUN	erica
travail	NOUN	travail
Ou	CCONJ	ou
de	ADP	de
République	NOUN	république
je	PRON	je
un	DET	un
Pierre	PROPN	Pierre
Madame	PROPN	Madame
Pourquoi	ADV	pourquoi
le	DET	le
westerns	NOUN	western
jours	NOUN	jour
la	DET	le
Fixant	VERB	fixer
est	AUX	être
intention	NOUN	intention
Il	PRON	il
homme	NOUN	homme
le	DET	le
comme	ADP	comme
un	DET	un
ce	DET	ce
Je	PRON	je
de	ADP	de
écart	NOUN	écart
jambes	NOUN	jambe
rien	PRON	rien
demain	ADV	demain
nous	PRON	nous
exactement	ADV	exactement
environnement	NOUN	environnement
la	DET	le
hôtel	NOUN	hôtel
salle	NOUN	salle
ne	ADV	ne
Bolko	PROPN	Bolko
une	DET	un
pas	ADV	pas
Market	NOUN	market
Bencolin	NOUN	bencolin
comme	ADP	comme
premier	ADJ	premier
mouvement	NOUN	mouvement
aidant	VERB	aider
se	PRON	se
le	DET	le
sans	ADP	sans
tours	NOUN	tour
Gêna	PROPN	Gêna
contre	ADP	contre
Sa	DET	son
Paul	NOUN	paul
offre	VERB	offrir
sans	ADP	sans
incertitude	NOUN	incertitude
est	AUX	être
voyait	VERB	voir
crâne	NOUN	crâne
est	AUX	être
Dieu	PROPN	Dieu
entier	ADJ	entier
le	DET	le
Tom	PROPN	Tom
te	AUX	te
de	ADP	de
fréquente	VERB	fréquente
ça	PRON	cela
fois	NOUN	fois
sans	ADP	sans
jugerait	VERB	juger
escaliers	NOUN	escalier
doigt	NOUN	doigt
un	DET	un
anciens	ADJ	ancien
cité	NOUN	cité
aveuglé	VERB	aveugler
ils	PRON	il
pour	ADP	pour
jours	NOUN	jour
et	CCONJ	et
un	PRON	un
Avril	NOUN	avril
due	ADJ	devoir
inconcevable	ADJ	inconcevable
qui	PRON	qui
une	DET	un
plutôt	ADV	plutôt
Viens	NOUN	vien
il	PRON	il
yeux	NOUN	oeil
je	PRON	je
donnait	VERB	donner
ces	DET	ce
cameraman	NOUN	cameraman
se	PRON	se
Il	PRON	il
regarda	NOUN	regarda
Mais	CCONJ	mais
souterrains	NOUN	souterrain
et	CCONJ	et
Elles	PRON	lui
expliquerait	VERB	expliquer
sur	ADP	sur
ange	NOUN	ange
la	DET	le
Vous	PRON	vous
instrument	NOUN	instrument
sans	ADP	sans
Son	DET	son
moins	ADV	moins
oui	NOUN	oui
de	ADP	de
encore	ADV	encore
inaltérable	ADJ	inaltérable
gestes	NOUN	geste
vallée	NOUN	vallée
du	ADP	de
sécher	VERB	sécher
de	ADP	de
sortir	VERB	sortir
Il	PRON	il
magasin	NOUN	magasin
était	AUX	être
queues	NOUN	queue
être	AUX	être
elle	PRON	lui
entraînait	VERB	entraîner
Dans	ADP	dans
son	DET	son
un	DET	un
la	DET	le
avaient	AUX	avoir
adressait	VERB	adresser
mots	NOUN	mot
des	ADP	de
parlais	VERB	parler
était	AUX	être
guère	ADV	guère
bonheur	NOUN	bonheur
veux	VERB	vouloir
que	SCONJ	que
ne	ADV	ne
côté	NOUN	côté
allés	VERB	aller
impression	NOUN	impression
ou	CCONJ	ou
de	ADP	de
sentiment	NOUN	sentiment
défiler	VERB	défiler
infect	VERB	infect
avez	AUX	avoir
vous	PRON	vous
le	PRON	le
dit	VERB	dire
les	DET	le
fait	AUX	faire
profondeur	NOUN	profondeur
regard	NOUN	regard
ne	ADV	ne
lieu	NOUN	lieu
et	CCONJ	et
une	DET	un
Kate	PROPN	Kate
du	ADP	de
genou	NOUN	genou
qui	PRON	qui
Qu'	PRON	qu'
il	PRON	il
une	DET	un
lui	PRON	lui
en	ADP	en
on	PRON	on
parlaient	ADV	parlaient
de	ADP	de
trente-cinq	NUM	trente-cinq
savonneux	ADJ	savonneux
Cela	PRON	cela
pour	ADP	pour
du	ADP	de
rencontre	NOUN	rencontre
Eh	INTJ	Eh
avança	VERB	avancer
Quelle	ADJ	quell
toute	ADJ	tout
farouche	ADJ	farouche
appeler	AUX	appeler
une	PRON	un
meurtrier	NOUN	meurtrier
un	DET	un
pas	ADV	pas
silence	NOUN	silence
de	ADP	de
les	DET	le
et	CCONJ	et
famille	NOUN	famille
et	CCONJ	et
que	SCONJ	que
surtout	ADV	surtout
résultats	NOUN	résultat
Un	DET	un
allaient	VERB	aller
pas	ADV	pas
type	NOUN	type
ne	ADV	ne
façon	NOUN	façon
rang	NOUN	rang
certainement	ADV	certainement
Il	PRON	il
une	DET	un
intention	NOUN	intention
quand	SCONJ	quand
taisait	VERB	taire
