de	ADP	de
qui	PRON	qui
premier	ADJ	premier
Sa	DET	son
Baskerville	PROPN	Baskerville
il	PRON	il
aise	NOUN	aise
arrive	VERB	arrive
plus	ADV	plus
il	PRON	il
conscience	NOUN	conscience
Tout	ADJ	tout
cette	DET	ce
humain	ADJ	humain
vie	NOUN	vie
tatoué	VERB	tatouer
essentiellement	ADV	essentiellement
Kuzov	PROPN	Kuzov
de	ADP	de
baisers	NOUN	baiser
Red	PROPN	Red
tenait	VERB	tenir
les	DET	le
vrai	ADJ	vrai
pour	ADP	pour
regagner	VERB	regagner
croyions	NOUN	croyion
de	ADP	de
les	DET	le
je	PRON	je
comme	ADP	comme
étonner	VERB	étonner
choses	NOUN	chose
se	PRON	se
ils	PRON	il
acier	NOUN	acier
fleur	NOUN	fleur
Bertrand	PROPN	Bertrand
ses	DET	son
vous	PRON	vous
bord	NOUN	bord
je	PRON	je
et	CCONJ	et
machinalement	ADV	machinalement
sol	NOUN	sol
Slim	VERB	slim
question	NOUN	question
Son	DET	son
qui	PRON	qui
de	ADP	de
et	CCONJ	et
ridicule	ADJ	ridicule
écrire	NOUN	écrire
poignard	NOUN	poignard
de	ADP	de
sur	ADP	sur
quoi	PRON	quoi
taisait	VERB	taire
prendre	VERB	prendre
avait	AUX	avoir
est	AUX	être
dans	ADP	dans
diable	ADJ	diable
bien	ADV	bien
au	ADP	au
pas	ADV	pas
par	ADP	par
de	ADP	de
contre	ADP	contre
quelqu'	DET	quelque
devant	ADP	devant
qui	PRON	qui
trouve	VERB	trouve
et	CCONJ	et
Je	PRON	je
qui	PRON	qui
ne	ADV	ne
des	DET	un
dans	ADP	dans
on	PRON	on
pour	ADP	pour
connu	VERB	connaître
commentaire	NOUN	commentaire
lui	PRON	lui
rien	PRON	rien
train	NOUN	train
regarda	VERB	regarder
vois	NOUN	voi
champ	NOUN	champ
Parfois	ADV	parfois
porte	VERB	porte
me	PRON	me
est	AUX	être
Il	PRON	il
comme	ADP	comme
ses	DET	son
Antonin	PROPN	Antonin
elle	PRON	lui
unicité	NOUN	unicité
piste	ADJ	pist
vous	PRON	vous
le	DET	le
me	PRON	me
vers	ADP	vers
expliqué	VERB	expliquer
est	AUX	être
but	VERB	boire
une	DET	un
plastique	NOUN	plastique
heures	NOUN	heure
il	PRON	il
la	DET	le
transmutation	NOUN	transmutation
Sammel	PROPN	Sammel
et	CCONJ	et
sage	ADJ	sage
tout	ADJ	tout
lui	PRON	lui
les	DET	le
faisait	VERB	faire
est	VERB	être
assurer	VERB	assurer
étaient	AUX	être
Il	PRON	il
je	PRON	je
couleur	NOUN	couleur
jamais	ADV	jamais
juste	ADV	juste
cause	NOUN	cause
expression	NOUN	expression
chute	NOUN	chute
vivre	VERB	vivre
fait	VERB	faire
les	DET	le
se	PRON	se
de	ADP	de
Dix	NUM	Dix
de	ADP	de
tapie	NOUN	tapie
intéressant	ADJ	intéressant
aime	VERB	aime
couraient	VERB	courir
sur	ADP	sur
avait	AUX	avoir
entraîné	VERB	entraîner
existe	VERB	existe
vrai	ADJ	vrai
population	NOUN	population
me	PRON	me
lui	PRON	lui
Pierre	PROPN	Pierre
bavarder	VERB	bavarder
lors	ADV	lors
que	PRON	que
serait	AUX	être
geste	NOUN	geste
qui	PRON	qui
celui	PRON	celui
ton	NOUN	ton
il	PRON	il
au	ADP	au
heure	NOUN	heure
la	DET	le
plantation	NOUN	plantation
liaison	NOUN	liaison
Uniquement	ADV	uniquement
le	DET	le
canon	NOUN	canon
ou	CCONJ	ou
mais	CCONJ	mais
flanqua	VERB	flanquer
Sa	DET	son
les	DET	le
vif	PRON	vif
étonna	VERB	étonner
les	DET	le
le	DET	le
visage	NOUN	visage
pas	ADV	pas
de	ADP	de
bulldozer	NOUN	bulldozer
ne	ADV	ne
qu'	SCONJ	que
donné	VERB	donner
dans	ADP	dans
un	DET	un
poulardes	NOUN	poularde
je	PRON	je
ma	DET	mon
cruelle	NOUN	cruelle
souffrance	NOUN	souffrance
tout	DET	tout
une	DET	un
alors	ADV	alors
un	DET	un
consistants	ADJ	consistant
absence	NOUN	absence
morose	ADJ	morose
Mon	DET	mon
se	PRON	se
cru	VERB	croire
Baptiste	PROPN	Baptiste
sévissaient	VERB	sévir
imagination	NOUN	imagination
sous	ADP	sous
et	CCONJ	et
ainsi	ADV	ainsi
bien	ADV	bien
Le	DET	le
donner	VERB	donner
emmerde	NOUN	emmerde
vouloir	VERB	vouloir
Ceux	PRON	celui
voyages	NOUN	voyage
qui	PRON	qui
mais	CCONJ	mais
Ere	PROPN	Ere
Diaz	PROPN	Diaz
qui	PRON	qui
services	NOUN	service
version	NOUN	version
la	DET	le
quarante	NUM	quarante
instant	NOUN	instant
costumes	NOUN	costume
on	PRON	on
de	ADP	de
la	DET	le
riposter	VERB	riposter
très	ADV	très
poudre	NOUN	poudre
ne	ADV	ne
photo	NOUN	photo
avec	ADP	avec
peuvent	VERB	pouvoir
petite	ADJ	petit
rapin	VERB	rapin
queue	NOUN	queue
valet	NOUN	valet
trou	NOUN	trou
pensa	NOUN	pensa
un	DET	un
la	DET	le
la	DET	le
peuple	NOUN	peuple
Comment	ADV	comment
mon	DET	mon
poursuivit	NOUN	poursuivit
remords	NOUN	remords
sorte	NOUN	sorte
lui	PRON	lui
découvrais	VERB	découvrir
le	DET	le
avec	ADP	avec
défaut	NOUN	défaut
Laura	PROPN	Laura
de	ADP	de
chez	ADP	chez
son	DET	son
me	PRON	me
chefs	NOUN	chef
côté	NOUN	côté
eut	VERB	avoir
révéla	VERB	révéler
et	CCONJ	et
au	ADP	au
quitté	VERB	quitter
dates	NOUN	date
Peu	ADV	peu
confiance	NOUN	confiance
tout	ADJ	tout
Et	CCONJ	et
de	ADP	de
du	ADP	de
rire	NOUN	rire
Il	PRON	il
de	ADP	de
de	ADP	de
si	SCONJ	si
que	SCONJ	que
quitté	VERB	quitter
derrière	ADP	derrière
ses	DET	son
sans	ADP	sans
leurs	DET	leur
sa	DET	son
parcs	NOUN	parc
une	DET	un
des	DET	un
en	ADP	en
distribution	NOUN	distribution
était	AUX	être
spirale	NOUN	spirale
si	SCONJ	si
Buick	PROPN	Buick
Mais	CCONJ	mais
ils	PRON	il
yeux	NOUN	oeil
plaît	VERB	plaire
ciel	NOUN	ciel
était	AUX	être
près	ADV	près
cacher	VERB	cacher
attendre	VERB	attendre
et	CCONJ	et
un	DET	un
cependant	ADV	cependant
quand	SCONJ	quand
ravir	ADJ	ravir
splendides	NOUN	splendide
le	DET	le
Je	PRON	je
Les	DET	le
clé	VERB	cler
Charles	PROPN	Charles
quand	SCONJ	quand
le	PRON	le
tête	NOUN	tête
cet	DET	ce
promit	VERB	promettre
queue	NOUN	queue
porte	NOUN	porte
injures	NOUN	injure
école	NOUN	école
pour	ADP	pour
meilleure	ADJ	meilleur
pour	ADP	pour
jouer	VERB	jouer
si	SCONJ	si
LOED	PROPN	LOED
dans	ADP	dans
clair	ADJ	clair
et	CCONJ	et
un	DET	un
détails	NOUN	détail
qui	PRON	qui
capitaine	NOUN	capitaine
entendant	VERB	entendre
un	DET	un
parié	ADV	parié
le	DET	le
Il	PRON	il
ces	DET	ce
promenade	NOUN	promenade
brûlant	VERB	brûler
puissant	ADJ	puissant
fit	VERB	faire
avait	AUX	avoir
de	ADP	de
Féronnet	PROPN	Féronnet
un	DET	un
croit	VERB	croire
gens	NOUN	gens
La	DET	le
celle	PRON	celui
peu	ADV	peu
de	ADP	de
avoir	VERB	avoir
souplesse	NOUN	souplesse
éveillé	ADJ	éveillé
cela	PRON	cela
le	DET	le
regardait	NOUN	regardait
tension	NOUN	tension
en	ADP	en
vidanges	NOUN	vidange
pas	ADV	pas
leur	DET	leur
enivrant	VERB	enivrer
encore	ADV	encore
éleva	VERB	élever
Plus	ADV	plus
il	PRON	il
toutes	ADJ	tout
était	AUX	être
vous	PRON	vous
hauteurs	NOUN	hauteur
Krom	PROPN	Krom
lui	PRON	lui
vieux	ADJ	vieux
abattus	VERB	abattre
importe	VERB	importe
les	PRON	le
yeux	NOUN	oeil
Boïgas	PROPN	Boïgas
était	AUX	être
lui	PRON	lui
et	CCONJ	et
fabuleux	ADJ	fabuleux
tendant	VERB	tendre
Le	DET	le
et	CCONJ	et
merci	NOUN	merci
chez	ADP	chez
de	ADP	de
elle	PRON	lui
la	DET	le
devrait	VERB	devoir
de	ADP	de
son	DET	son
embrasure	NOUN	embrasure
puis	CCONJ	puis
le	DET	le
de	ADP	de
cher	ADJ	cher
son	DET	son
cérémonie	NOUN	cérémonie
autres	ADJ	autre
pas	ADV	pas
un	DET	un
Je	PRON	je
et	CCONJ	et
vit	VERB	voir
les	DET	le
offrirons	NOUN	offriron
virages	NOUN	virage
Cochart	PROPN	Cochart
mit	VERB	mettre
quitter	VERB	quitter
bureaux	NOUN	bureau
servit	VERB	servir
avril	NOUN	avril
se	PRON	se
mais	CCONJ	mais
intermittent	ADV	intermittent
peu	ADV	peu
prit	VERB	prendre
est	AUX	être
espère	VERB	espérer
devait	VERB	devoir
en	ADP	en
et	CCONJ	et
voire	CCONJ	voire
lui	PRON	lui
Il	PRON	il
apaisement	NOUN	apaisement
avec	ADP	avec
Laura	PROPN	Laura
est	AUX	être
favorable	ADJ	favorable
voulez	VERB	vouloir
allait	VERB	aller
époque	NOUN	époque
une	DET	un
revenez	NOUN	revenez
de	ADP	de
être	AUX	être
premier	ADJ	premier
demandai	NOUN	demandai
frères	NOUN	frère
sa	DET	son
ils	PRON	il
rentrespas	VERB	rentresper
destin	NOUN	destin
la	DET	le
il	PRON	il
réveillés	VERB	réveiller
Duyck	NOUN	duyck
dire	VERB	dire
soudain	ADV	soudain
Jennifer	PROPN	Jennifer
traditionnelle	ADJ	traditionnel
installer	VERB	installer
presque	ADV	presque
de	ADP	de
de	ADP	de
lac	DET	lac
la	DET	le
il	PRON	il
dans	ADP	dans
dans	ADP	dans
posa	VERB	poser
dans	ADP	dans
Ceux	PRON	celui
électrode	NOUN	électrode
remontera	VERB	remonter
dernier	ADJ	dernier
Arnold	PROPN	Arnold
Elle	PRON	lui
Elle	PRON	lui
qui	PRON	qui
des	DET	un
méthode	NOUN	méthode
nombreux	ADJ	nombreux
avait	AUX	avoir
elle	PRON	lui
une	DET	un
dans	ADP	dans
aspérités	VERB	aspériter
ne	ADV	ne
la	DET	le
tête	NOUN	tête
Australie	PROPN	Australie
eut	VERB	avoir
paupière	NOUN	paupière
concurrentes	NOUN	concurrente
me	PRON	me
petit	ADJ	petit
est	VERB	être
droit	VERB	droit
de	ADP	de
au	ADP	au
murmura	VERB	murmurer
sais	VERB	savoir
dans	ADP	dans
furent	AUX	être
pas	ADV	pas
calmement	NOUN	calmement
qu'	SCONJ	que
rudiments	NOUN	rudiment
et	CCONJ	et
notre	DET	notre
cette	DET	ce
de	ADP	de
puits	NOUN	puits
les	DET	le
voir	VERB	voir
je	PRON	je
avais	VERB	avoir
me	PRON	me
triste	ADJ	triste
écoutait	VERB	écouter
pas	ADV	pas
bottes	NOUN	botte
les	DET	le
Pierre	PROPN	Pierre
indisposaient	NOUN	indisposaient
Pourtant	ADV	pourtant
Berthold	PROPN	Berthold
abattit	NOUN	abattit
enfant	NOUN	enfant
AVAIS	VERB	avoir
vraiment	ADV	vraiment
les	PRON	le
de	ADP	de
telle	ADJ	tel
fenêtre	NOUN	fenêtre
par	ADP	par
jour	NOUN	jour
aujourd'hui	ADV	aujourd'hui
esprit	NOUN	esprit
machinal	ADJ	machinal
Elle	PRON	lui
centre	NOUN	centre
entrepris	VERB	entreprendre
la	DET	le
avec	ADP	avec
force	NOUN	force
Il	PRON	il
il	PRON	il
penserai	VERB	penser
la	DET	le
dire	VERB	dire
compagnie	NOUN	compagnie
Un	DET	un
il	PRON	il
ne	ADV	ne
une	DET	un
ne	ADV	ne
sa	DET	son
Bertha	PROPN	Bertha
accent	NOUN	accent
avec	ADP	avec
regardâmes	VERB	regarder
voyou	NOUN	voyou
au	ADP	au
silence	NOUN	silence
Je	PRON	je
Somnolant	VERB	somnoler
une	DET	un
surtout	ADV	surtout
autres	ADJ	autre
essence	NOUN	essence
qu'	SCONJ	que
épidémies	NOUN	épidémie
comme	ADP	comme
revers	NOUN	revers
la	DET	le
des	ADP	de
lèvres	NOUN	lèvre
je	PRON	je
pour	ADP	pour
tête	NOUN	tête
était	AUX	être
ressentaient	ADV	ressentaient
un	DET	un
depuis	ADP	depuis
homme	NOUN	homme
qui	PRON	qui
qualité	NOUN	qualité
exact	ADJ	exact
Vassalaky	PROPN	Vassalaky
matin	NOUN	matin
retrouvions	NOUN	retrouvion
jadis	ADV	jadis
manière	NOUN	manière
Plus	ADV	plus
épaisse	NOUN	épaisse
sous-sol	NOUN	sous-sol
il	PRON	il
laissé	VERB	laisser
lui	PRON	lui
ils	PRON	il
en	ADP	en
la	DET	le
Parfaitement	ADV	parfaitement
tenir	VERB	tenir
la	DET	le
veux	VERB	vouloir
Je	PRON	je
est	AUX	être
une	DET	un
semblaient	VERB	sembler
ne	ADV	ne
plaisir	NOUN	plaisir
ne	ADV	ne
avais	VERB	avoir
fermes	ADJ	ferme
chef	NOUN	chef
la	DET	le
bouche	VERB	bouche
veuve	NOUN	veuve
un	DET	un
Eisa	PROPN	Eisa
dans	ADP	dans
Elisa	ADJ	elisa
déconditionnement	NOUN	déconditionnement
et	CCONJ	et
redescendaient	VERB	redescendre
joué	VERB	jouer
présenta	VERB	présenter
parisien	ADJ	parisien
ni	CCONJ	ni
avec	ADP	avec
parlerait	VERB	parler
le	DET	le
cours	NOUN	cours
moi	PRON	moi
ses	DET	son
Pleurer	VERB	pleurer
savais	VERB	savoir
même	ADJ	même
est	AUX	être
dit	VERB	dire
le	DET	le
docteur	NOUN	docteur
essayé	VERB	essayer
dans	ADP	dans
tira	VERB	tirer
soixante	NOUN	soixante
sollicité	NOUN	sollicité
la	DET	le
Au	ADP	au
Je	PRON	je
on	PRON	on
une	DET	un
apparentes	ADJ	apparent
rencontré	VERB	rencontrer
elle	PRON	lui
la	DET	le
évanoui	ADJ	évanoui
suivante	ADJ	suivant
te	NOUN	te
plia	NOUN	plia
cœur	NOUN	cœur
de	ADP	de
dit	VERB	dire
étais	AUX	être
de	ADP	de
si	SCONJ	si
lui	PRON	lui
su	VERB	savoir
étais	AUX	être
lui	PRON	lui
le	DET	le
la	PRON	le
mit	VERB	mettre
ponctuait	VERB	ponctuer
votre	DET	votre
détournai	VERB	détourner
plus	ADV	plus
lunettes	NOUN	lunette
gros	ADJ	gros
ayez	ADV	ayez
oppression	NOUN	oppression
Paris	PROPN	Paris
mais	CCONJ	mais
un	DET	un
valise	ADJ	valis
la	PRON	le
Un	DET	un
gros	NOUN	gros
heure	NOUN	heure
Marie-Anne	PROPN	Marie-Anne
peau	NOUN	peau
la	DET	le
mur	NOUN	mur
Vincent	NOUN	vincent
elle	PRON	lui
que	SCONJ	que
et	CCONJ	et
bout	NOUN	bout
plus	ADV	plus
aussi	ADV	aussi
parer	VERB	parer
de	ADP	de
Jo	PROPN	Jo
écoutes	NOUN	écoute
pendu	VERB	pendre
ciel	NOUN	ciel
foutu	ADJ	foutu
de	ADP	de
confia	VERB	confier
Mani	PROPN	Mani
quartiers	NOUN	quartier
allait	VERB	aller
Je	PRON	je
juger	VERB	juger
contre	ADP	contre
sans	ADP	sans
de	ADP	de
tendit	VERB	tendre
qui	PRON	qui
introduis	NOUN	introdui
coups	NOUN	coup
yeux	NOUN	oeil
danger	VERB	danger
drive	NOUN	drive
Vous	PRON	vous
pas	ADV	pas
de	ADP	de
suivre	VERB	suivre
ce	PRON	ce
terrasse	NOUN	terrasse
qui	PRON	qui
il	PRON	il
chevaux	NOUN	cheval
des	DET	un
un	DET	un
un	DET	un
Émile	PROPN	Émile
Jackson	PROPN	Jackson
son	DET	son
et	CCONJ	et
nous	PRON	nous
Paul	PROPN	Paul
Elle	PRON	lui
as	PRON	as
jeune	ADJ	jeune
plaine	NOUN	plaine
dure	ADJ	dur
mentir	VERB	mentir
que	SCONJ	que
venue	VERB	venir
veux	ADJ	veux
laisser	VERB	laisser
autant	ADV	autant
et	CCONJ	et
date	NOUN	date
sable	NOUN	sable
pu	VERB	pouvoir
toi	NOUN	toi
chambres	NOUN	chambre
mémoire	NOUN	mémoire
Socrates	PROPN	Socrates
Nouvelle	PROPN	Nouvelle
larl	NOUN	larl
ici	ADV	ici
de	ADP	de
tiré	VERB	tirer
jeter	VERB	jeter
dans	ADP	dans
paroles	NOUN	parole
que	SCONJ	que
exaspéra	VERB	exaspérer
visiter	VERB	visiter
suis	AUX	être
serait	AUX	être
et	CCONJ	et
du	ADP	de
trouvaient	ADV	trouvaient
Vous	PRON	vous
nos	DET	notre
des	DET	un
exhibitionniste	ADJ	exhibitionniste
contre	ADP	contre
et	CCONJ	et
temps	NOUN	temps
en	ADP	en
grande	ADJ	grand
espère	VERB	espérer
autre	PRON	autre
Redresser	VERB	redresser
pas	ADV	pas
jusqu'	ADP	jusque
les	DET	le
ne	ADV	ne
en	ADP	en
par	ADP	par
vit	NOUN	vit
pas	ADV	pas
maternel	ADJ	maternel
dû	VERB	devoir
de	ADP	de
son	DET	son
ferme	ADJ	ferme
accueillit	NOUN	accueillit
empoisonneur	NOUN	empoisonneur
ennui	NOUN	ennui
je	PRON	je
foule	NOUN	foule
fin	NOUN	fin
sociale	ADJ	social
trop	ADV	trop
gravée	VERB	graver
pourrait	VERB	pouvoir
ces	DET	ce
Malgré	ADP	malgré
monde	NOUN	monde
leur	PRON	leur
sur	ADP	sur
font	VERB	faire
ne	ADV	ne
contrôle	VERB	contrôle
différents	ADJ	différent
si	SCONJ	si
dit	VERB	dire
deux	PRON	deux
navette	NOUN	navette
Commandant	NOUN	commandant
si	SCONJ	si
tabernacle	NOUN	tabernacle
camp	NOUN	camp
Lissa	PROPN	Lissa
Ni	CCONJ	ni
quatre	NUM	quatre
laissé	VERB	laisser
une	DET	un
On	PRON	on
peau	NOUN	peau
les	DET	le
un	DET	un
avais	VERB	avoir
fera	VERB	faire
Les	DET	le
la	DET	le
qui	PRON	qui
leur	DET	leur
la	DET	le
prudente	NOUN	prudent
voie	NOUN	voie
accéléra	VERB	accélérer
je	PRON	je
du	ADP	de
vous	PRON	vous
ils	PRON	il
étais	AUX	être
qu'	SCONJ	que
festin	NOUN	festin
cailloux	NOUN	caillou
De	ADP	de
de	ADP	de
la	DET	le
que	SCONJ	que
ce	PRON	ce
ne	ADV	ne
De	ADP	de
distractions	NOUN	distraction
momifiée	VERB	momifier
montre	NOUN	montre
est	AUX	être
bouts	NOUN	bout
plus	ADV	plus
juste	ADV	juste
faire	VERB	faire
des	DET	un
Le	DET	le
grâce	NOUN	grâce
exemple	NOUN	exemple
par	ADP	par
jungle	NOUN	jungle
présence	NOUN	présence
Steven	PROPN	Steven
Ecluzelles	PROPN	Ecluzelles
La	DET	le
est	AUX	être
quelques	DET	quelque
de	ADP	de
râpée	VERB	râper
un	DET	un
Ce	DET	ce
informer	VERB	informer
auxiliaires	ADJ	auxiliaire
la	DET	le
Si	SCONJ	si
débraillé	NOUN	débraillé
son	DET	son
aspirations	NOUN	aspiration
voyez	VERB	voir
suppose	VERB	suppose
devant	ADP	devant
jamais	ADV	jamais
manigances	NOUN	manigance
Ford	NOUN	ford
Alors	ADV	alors
Missy	PROPN	Missy
Mettons	NOUN	metton
occuper	VERB	occuper
points	NOUN	point
Des	DET	un
défonce	NOUN	défonce
un	DET	un
ville	NOUN	ville
terrasse	NOUN	terrasse
mort	NOUN	mort
au	ADP	au
sur	ADP	sur
ergoje	NOUN	ergoje
total	NOUN	total
aie	AUX	avoir
genre	NOUN	genre
grands	NOUN	grand
Mais	CCONJ	mais
Susan	PROPN	Susan
guère	ADV	guère
commence	NOUN	commence
droit	NOUN	droit
la	DET	le
doux	ADJ	doux
mon	DET	mon
de	ADP	de
sa	DET	son
plais	VERB	plaire
il	PRON	il
Tezol	PROPN	Tezol
moi	PRON	moi
Ah	PROPN	Ah
disparus	NOUN	disparu
le	DET	le
vous	PRON	vous
est	AUX	être
douane	NOUN	douane
risques	NOUN	risque
vouloir	VERB	vouloir
enfin	ADV	enfin
son	DET	son
Monsieur	NOUN	Monsieur
ai	AUX	avoir
en	ADP	en
lorsque	PRON	lorsque
municipale	ADJ	municipal
et	CCONJ	et
rien	PRON	rien
air	NOUN	air
ne	ADV	ne
bois	NOUN	bois
clic	NOUN	clic
Eisteddfodau	NOUN	eisteddfodau
cher	ADJ	cher
Il	PRON	il
Gold	PROPN	Gold
en	ADP	en
et	CCONJ	et
377	NUM	377
ans	NOUN	an
sas	ADJ	sa
oui	NOUN	oui
coups	NOUN	coup
on	PRON	on
modifiées	VERB	modifier
de	ADP	de
de	ADP	de
balconnant	VERB	balconner
bien	ADV	bien
jour	NOUN	jour
pompe	NOUN	pompe
air	NOUN	air
instant	NOUN	instant
Mais	CCONJ	mais
je	PRON	je
un	DET	un
amusée	VERB	amuser
yeux	NOUN	oeil
en	PRON	en
fond	NOUN	fond
Balford	PROPN	Balford
je	PRON	je
embrasse	NOUN	embrasse
feuilletons	NOUN	feuilleton
des	ADP	de
et	CCONJ	et
avait	AUX	avoir
tout	ADV	tout
des	DET	un
éprendre	VERB	éprendre
auront	AUX	avoir
Lehmann	PROPN	Lehmann
pour	ADP	pour
