un	DET	un
de	ADP	de
bonne	ADJ	bon
eut	AUX	avoir
silencieux	ADJ	silencieux
platanes	NOUN	platane
de	ADP	de
Je	PRON	je
désert	NOUN	désert
se	PRON	se
Marina	PROPN	Marina
de	ADP	de
jamais	ADV	jamais
aimait	VERB	aimer
de	ADP	de
Faites	NOUN	faite
autre	PRON	autre
Pour	ADP	pour
déçu	NOUN	déçu
maîtresse	NOUN	maîtresse
diversions	NOUN	diversion
vous	PRON	vous
Tania	NOUN	tania
dans	ADP	dans
vieille	ADJ	vieux
la	DET	le
qui	PRON	qui
le	DET	le
édité	NOUN	édité
Ils	PRON	il
des	DET	un
une	DET	un
leur	DET	leur
ordres	NOUN	ordre
dit	VERB	dire
ans	NOUN	an
du	ADP	de
épaules	NOUN	épaule
se	PRON	se
était	AUX	être
sommes	AUX	être
bien	ADV	bien
homme	NOUN	homme
les	DET	le
es	ADP	es
que	SCONJ	que
instant	NOUN	instant
raison	NOUN	raison
fait	VERB	faire
de	ADP	de
il	PRON	il
il	PRON	il
silences	ADJ	silence
aucune	DET	aucun
face	NOUN	face
sens	VERB	sentir
fixe	ADJ	fixe
en	ADP	en
Il	PRON	il
éclater	VERB	éclater
de	ADP	de
tempe	NOUN	tempe
air	NOUN	air
rien	PRON	rien
rompus	VERB	rompre
brusque	ADJ	brusque
deux	PRON	deux
sa	DET	son
vous	PRON	vous
insectes	NOUN	insecte
et	CCONJ	et
vous	PRON	vous
cours	NOUN	cours
ce	PRON	ce
tout	DET	tout
tête	NOUN	tête
bien	ADV	bien
calma	VERB	calmer
au	ADP	au
brusquement	ADV	brusquement
tous	ADJ	tout
préoccupation	NOUN	préoccupation
Gabrielle	PROPN	Gabrielle
pour	ADP	pour
pain	NOUN	pain
en	ADP	en
aussi	ADV	aussi
ne	ADV	ne
ville	NOUN	ville
Courbé	NOUN	courbé
Cet	DET	ce
demanda	ADJ	demanda
toute	ADJ	tout
assassin	ADJ	assassin
effet	NOUN	effet
appuyant	VERB	appuyer
la	DET	le
ne	ADV	ne
Plusieurs	DET	plusieurs
encore	ADV	encore
La	DET	le
et	CCONJ	et
géline	NOUN	géline
de	ADP	de
chrétienne	VERB	chrétienne
devait	VERB	devoir
Une	DET	un
Hoccard	PROPN	Hoccard
était	AUX	être
bougeait	VERB	bouger
qui	PRON	qui
même	ADV	même
divisionnaire	NOUN	divisionnaire
Il	PRON	il
avait	VERB	avoir
cependant	ADV	cependant
de	ADP	de
les	DET	le
gouttes	NOUN	goutte
sur	ADP	sur
séchée	VERB	sécher
refoula	VERB	refouler
plus	ADV	plus
Carmen	PROPN	Carmen
goût	NOUN	goût
de	ADP	de
Salut	VERB	salut
peuples	NOUN	peuple
moite	ADJ	moite
vous	PRON	vous
vers	ADP	vers
et	CCONJ	et
en	ADP	en
avait	AUX	avoir
ne	ADV	ne
son	DET	son
le	DET	le
que	SCONJ	que
ai	VERB	avoir
autre	ADJ	autre
disque	NOUN	disque
son	DET	son
de	ADP	de
avant	ADP	avant
débarquer	VERB	débarquer
chrétien	ADJ	chrétien
un	DET	un
que	SCONJ	que
certes	ADV	certes
avaient	AUX	avoir
le	DET	le
une	DET	un
mirent	VERB	mettre
Il	PRON	il
lui-même	PRON	lui-même
pas	ADV	pas
rit	VERB	rire
un	DET	un
eût	ADP	eût
êtes	AUX	être
préférer	VERB	préférer
on	PRON	on
léchais	VERB	lécher
Clay	PROPN	Clay
est	AUX	être
petits	ADJ	petit
dans	ADP	dans
avait	AUX	avoir
ne	ADV	ne
et	CCONJ	et
par	ADP	par
de	ADP	de
de	ADP	de
grandes	ADJ	grand
habitude	NOUN	habitude
différents	ADJ	différent
le	DET	le
aurait	AUX	avoir
Cannes	PROPN	Cannes
ne	ADV	ne
me	PRON	me
empourpra	NOUN	empourpra
dans	ADP	dans
il	PRON	il
ici	ADV	ici
chevelure	NOUN	chevelure
trop	ADV	trop
furieux	ADJ	furieux
qu'	SCONJ	que
échapper	VERB	échapper
peut-être	ADV	peut-être
tremblement	NOUN	tremblement
la	DET	le
apporter	VERB	apporter
existence	NOUN	existence
As	NOUN	as
campa	VERB	camper
Il	PRON	il
nos	DET	notre
vous	PRON	vous
mettre	VERB	mettre
toute	DET	tout
reste	VERB	reste
la	DET	le
Plus	ADV	plus
le	DET	le
soi	SCONJ	soi
les	DET	le
le	DET	le
Quand	SCONJ	quand
pouvait	VERB	pouvoir
ce	PRON	ce
la	DET	le
comme	ADP	comme
en	ADP	en
été	AUX	être
de	ADP	de
tout	DET	tout
art	NOUN	art
taillé	VERB	tailler
peinées	VERB	peiner
Copistes	NOUN	copiste
en	PRON	en
Antoine	PROPN	Antoine
pas	ADV	pas
le	PRON	le
Ce	PRON	ce
Ce	PRON	ce
torrent	NOUN	torrent
la	DET	le
nous	PRON	nous
et	CCONJ	et
Je	PRON	je
tout	ADV	tout
thécitrons	NOUN	thécitron
instants	NOUN	instant
avec	ADP	avec
au	ADP	au
que	SCONJ	que
Avec	ADP	avec
Il	PRON	il
spectaculaire	ADJ	spectaculaire
bagages	NOUN	bagage
sentait	VERB	sentir
en	ADP	en
idée	NOUN	idée
surgit	VERB	surgir
lui	PRON	lui
mort	NOUN	mort
dans	ADP	dans
de	ADP	de
Sans	ADP	sans
répondaient	VERB	répondre
que	SCONJ	que
sorte	NOUN	sorte
de	ADP	de
il	PRON	il
de	DET	de
pas	ADV	pas
sentiment	NOUN	sentiment
publicitaires	ADJ	publicitaire
en	ADP	en
table	NOUN	table
volée	NOUN	volée
je	PRON	je
Farge	PROPN	Farge
rappela	VERB	rappeler
Jour	NOUN	jour
se	PRON	se
serrait	VERB	serrer
est	AUX	être
ait	AUX	avoir
comprends	VERB	comprendre
il	PRON	il
pointe	NOUN	pointe
qu'	SCONJ	que
de	ADP	de
selon	ADP	selon
son	DET	son
dans	ADP	dans
ce	PRON	ce
frôla	VERB	frôler
accompagné	VERB	accompagner
sous	ADP	sous
Ian	PROPN	Ian
de	ADP	de
première	ADJ	premier
sinistre	ADJ	sinistre
par	ADP	par
chute	NOUN	chute
parmi	ADP	parmi
Mais	CCONJ	mais
de	ADP	de
la	DET	le
aida	VERB	aider
si	SCONJ	si
souffrait	NOUN	souffrait
glace	NOUN	glace
nuit	NOUN	nuit
la	DET	le
empreintes	NOUN	empreinte
bout	NOUN	bout
veux	ADJ	veux
famille	NOUN	famille
si	SCONJ	si
se	PRON	se
de	ADP	de
suis	AUX	être
son	DET	son
une	DET	un
placer	VERB	placer
bête	NOUN	bête
surgis	ADP	surgis
se	PRON	se
modernisons	VERB	moderniser
tenait	VERB	tenir
Je	PRON	je
pas	ADV	pas
voir	VERB	voir
Sinon	ADV	sinon
le	DET	le
départ	NOUN	départ
du	ADP	de
trois	NUM	trois
son	DET	son
est	AUX	être
qui	PRON	qui
pas	ADV	pas
en	ADP	en
Autour	ADV	autour
une	DET	un
qui	PRON	qui
Le	DET	le
dit	VERB	dire
nouveau	ADJ	nouveau
Sors	ADV	sors
sur	ADP	sur
envoyé	VERB	envoyer
est	AUX	être
sur	ADP	sur
est	AUX	être
outsider	VERB	outsider
qu'	SCONJ	que
origine	NOUN	origine
de	ADP	de
le	DET	le
importe	VERB	importe
côte	PROPN	côte
vous	PRON	vous
avait	AUX	avoir
ne	ADV	ne
il	PRON	il
vraiment	ADV	vraiment
pourquoi	ADV	pourquoi
titres	NOUN	titre
en	ADP	en
pas	ADV	pas
me	PRON	me
sentit	ADJ	sentit
véritables	ADJ	véritable
commençaient	VERB	commencer
juste	ADV	juste
par	ADP	par
Bon	ADJ	bon
sa	DET	son
il	PRON	il
fait	VERB	faire
sur	ADP	sur
comme	ADP	comme
la	DET	le
donc	ADV	donc
19	PRON	19
ne	ADV	ne
peut-être	ADV	peut-être
temps	NOUN	temps
étaient	AUX	être
simulations	NOUN	simulation
instinctivement	ADV	instinctivement
tout	ADJ	tout
Lyna	PROPN	Lyna
lèvres	NOUN	lèvre
Ulysse	PROPN	Ulysse
tes	DET	ton
que	SCONJ	que
assez	ADV	assez
Ferme	PRON	ferme
osait	VERB	oser
boîte	NOUN	boîte
désaccords	NOUN	désaccord
vantait	VERB	vanter
qui	PRON	qui
amusa	VERB	amuser
relégué	VERB	reléguer
par	ADP	par
mal	ADV	mal
de	ADP	de
voiture	NOUN	voiture
était	AUX	être
ancêtres	NOUN	ancêtre
ce	PRON	ce
tendre	ADJ	tendre
toujours	ADV	toujours
étaient	AUX	être
je	PRON	je
fois	NOUN	fois
Votre	DET	votre
des	ADP	de
qui	PRON	qui
luttant	VERB	lutter
en	PRON	en
contrariée	VERB	contrarier
lequel	PRON	lequel
allait	VERB	aller
