elle-même	DET	elle-même
elle	PRON	lui
la	DET	le
Tous	ADJ	tout
appartient	VERB	appartenir
rit	VERB	rire
sommes	VERB	être
Il	PRON	il
se	PRON	se
fleurs	NOUN	fleur
par	ADP	par
Dans	ADP	dans
bras	NOUN	bras
plus	ADV	plus
étonné	VERB	étonner
Musée	PROPN	Musée
Alex	PROPN	Alex
ne	ADV	ne
On	PRON	on
aimerais	VERB	aimer
lui	PRON	lui
dans	ADP	dans
Ses	DET	son
venu	VERB	venir
le	DET	le
Matt	PROPN	Matt
air	NOUN	air
Celui	PROPN	Celui
décor	NOUN	décor
était	AUX	être
récits	NOUN	récit
costume	NOUN	costume
compte	NOUN	compte
la	DET	le
parisiennes	ADJ	parisien
noir	ADJ	noir
lui	PRON	lui
Anna	PROPN	Anna
spontanéité	NOUN	spontanéité
elle	PRON	lui
On	PRON	on
parlé	VERB	parler
yeux	NOUN	oeil
Maman	PROPN	Maman
le	DET	le
ça	PRON	cela
de	ADP	de
une	DET	un
tâches	NOUN	tâche
court	ADJ	court
le	DET	le
titulaires	NOUN	titulaire
soupçonner	VERB	soupçonner
se	PRON	se
que	SCONJ	que
le	DET	le
en	ADP	en
est	AUX	être
qu'	PRON	qu'
Bolko	PROPN	Bolko
ne	ADV	ne
un	DET	un
la	DET	le
regarder	VERB	regarder
raccrocher	VERB	raccrocher
sont	AUX	être
le	DET	le
les	DET	le
couchant	VERB	coucher
montrait	VERB	montrer
universités	NOUN	université
Samantha	NOUN	samantha
Le	DET	le
Emue	PROPN	Emue
affaires	NOUN	affaire
nam	NOUN	nam
le	DET	le
qui	PRON	qui
littérature	NOUN	littérature
dernier	ADJ	dernier
étrange	VERB	étrange
teint	NOUN	teint
qui	PRON	qui
un	DET	un
apporta	NOUN	apporta
déjouer	VERB	déjouer
terriblement	NOUN	terriblement
fourgon	NOUN	fourgon
essayé	VERB	essayer
du	ADP	de
de	ADP	de
pas	ADV	pas
il	PRON	il
toi	NOUN	toi
Valdez	PROPN	Valdez
contre	ADP	contre
surprise	NOUN	surprise
pâte	NOUN	pâte
sa	DET	son
la	DET	le
la	DET	le
qu'	SCONJ	que
je	PRON	je
quitter	VERB	quitter
que	SCONJ	que
Déjà	ADV	déjà
dîner	NOUN	dîner
une	DET	un
fermait	VERB	fermer
inlassables	ADJ	inlassable
tromper	VERB	tromper
pas	ADV	pas
du	ADP	de
Le	DET	le
longtemps	ADV	longtemps
suspension	NOUN	suspension
le	DET	le
console	NOUN	console
comme	ADP	comme
ce	PRON	ce
autorisée	VERB	autoriser
précis	ADJ	précis
revint	NOUN	revint
reconnut	VERB	reconnaître
sur	ADP	sur
dit	VERB	dire
sur	ADP	sur
jours	NOUN	jour
besoin	NOUN	besoin
trappe	NOUN	trappe
même	ADV	même
qui	PRON	qui
sont	AUX	être
observait	VERB	observer
être	AUX	être
les	DET	le
tressaillait	VERB	tressaillir
pas	ADV	pas
qu'	SCONJ	que
les	DET	le
déjà	ADV	déjà
unie	ADJ	uni
envie	NOUN	envie
il	PRON	il
impression	NOUN	impression
souris	NOUN	souris
que	SCONJ	que
Et	CCONJ	et
jeune	ADJ	jeune
suis	AUX	être
La	DET	le
sens	NOUN	sens
vous	PRON	vous
dit	VERB	dire
19	NUM	19
pas	ADV	pas
détective	ADJ	détectiv
écartais	NOUN	écartai
du	ADP	de
tellement	ADV	tellement
allait	VERB	aller
pour	ADP	pour
vraiment	ADV	vraiment
Elephanta	PROPN	Elephanta
une	DET	un
sert	VERB	servir
point	NOUN	point
laissés	VERB	laisser
liés	VERB	lier
de	ADP	de
et	CCONJ	et
ma	DET	mon
de	ADP	de
un	DET	un
Je	PRON	je
la	DET	le
ne	ADV	ne
descendant	NOUN	descendant
les	DET	le
