tonnes	NOUN	tonne
Parce	SCONJ	parce
qui	PRON	qui
et	CCONJ	et
gabardine	NOUN	gabardine
chefs	NOUN	chef
il	PRON	il
Les	DET	le
suivirent	VERB	suivre
il	PRON	il
maison	NOUN	maison
accorder	VERB	accorder
le	DET	le
aussi	ADV	aussi
Eve	PROPN	Eve
un	DET	un
inquiétude	NOUN	inquiétude
un	DET	un
dans	ADP	dans
Édouard	PROPN	Édouard
changé	VERB	changer
cela	PRON	cela
meurt	VERB	mourir
elles	PRON	lui
sa	DET	son
le	PRON	le
sa	DET	son
travail	NOUN	travail
que	SCONJ	que
publicité	NOUN	publicité
fresque	ADJ	fresqu
virtuosité	NOUN	virtuosité
Simon	PROPN	Simon
arbres	NOUN	arbre
festivités	NOUN	festivité
de	ADP	de
index	NOUN	index
dessus	ADV	dessus
Il	PRON	il
Catherine	PROPN	Catherine
un	DET	un
endroit	NOUN	endroit
rois	NOUN	roi
devant	ADP	devant
seule	ADJ	seul
Sud	PROPN	Sud
faire	VERB	faire
le	DET	le
Il	PRON	il
des	ADP	de
comte	NOUN	comte
arrivait	VERB	arriver
Anglais	PROPN	Anglais
Mungil	PROPN	Mungil
valoir	NOUN	valoir
laisser	VERB	laisser
se	PRON	se
façon	NOUN	façon
ombrages	NOUN	ombrage
est	AUX	être
elle	PRON	lui
ce	DET	ce
lui	PRON	lui
seconde	ADJ	second
son	DET	son
par	ADP	par
étaient	AUX	être
aurais	ADJ	aurai
gens	NOUN	gens
va	VERB	aller
clairement	ADV	clairement
non	ADV	non
avaient	AUX	avoir
petite	ADJ	petit
propres	ADJ	propre
homme	NOUN	homme
que	SCONJ	que
équipiers	NOUN	équipier
elle	PRON	lui
sauvages	NOUN	sauvage
comportement	NOUN	comportement
plongée	VERB	plonger
et	CCONJ	et
matin	NOUN	matin
ce	DET	ce
Air	PROPN	Air
dis	VERB	dire
criminelle	ADJ	criminel
suivants	ADJ	suivant
les	DET	le
si	SCONJ	si
Puis	CCONJ	puis
son	DET	son
en	ADP	en
sa	DET	son
des	ADP	de
penchant	VERB	pencher
sud	NOUN	sud
études	NOUN	étude
Gloria	PROPN	Gloria
Le	DET	le
cents	NOUN	cent
Il	PRON	il
but	NOUN	but
mort	VERB	mourir
Pierre	PROPN	Pierre
je	PRON	je
chef	NOUN	chef
veuve	NOUN	veuve
du	ADP	de
est	AUX	être
apportés	VERB	apporter
vêtements	NOUN	vêtement
intervint	VERB	intervenir
qui	PRON	qui
longue	ADJ	long
Au	ADP	au
obsessionnelle	NOUN	obsessionnelle
était	AUX	être
faire	AUX	faire
rouge	NOUN	rouge
avec	ADP	avec
soir	NOUN	soir
qu'	SCONJ	que
trousseau	NOUN	trousseau
verre	NOUN	verre
trois	NUM	trois
première	ADJ	premier
privé	ADJ	priver
le	DET	le
sa	DET	son
lui	PRON	lui
gris	NOUN	gris
semblait	VERB	sembler
Or	CCONJ	or
la	DET	le
la	DET	le
terminé	VERB	terminer
qu'	SCONJ	que
blondes	ADJ	blond
femme	NOUN	femme
contre	ADP	contre
elle	PRON	lui
la	DET	le
chacune	PRON	chacun
de	ADP	de
le	DET	le
qu'	SCONJ	que
dit	VERB	dire
dalle	NOUN	dalle
depuis	ADP	depuis
mais	CCONJ	mais
