de	ADP	de
faim	NOUN	faim
affirmes	NOUN	affirme
des	DET	un
dire	VERB	dire
Rapatriez	PROPN	Rapatriez
mais	CCONJ	mais
avez	AUX	avoir
places	NOUN	place
se	PRON	se
Dès	ADP	dès
audio	ADJ	audio
la	DET	le
de	ADP	de
sur	ADP	sur
Avec	ADP	avec
se	PRON	se
il	PRON	il
souvenirs	NOUN	souvenir
pensa	VERB	penser
façon	NOUN	façon
immortalisés	VERB	immortaliser
qui	PRON	qui
Santoliquido	NOUN	santoliquido
laissa	VERB	laisser
se	PRON	se
Acceptez	VERB	accepter
des	DET	un
pour	ADP	pour
Le	DET	le
roux	NOUN	roux
un	DET	un
Un	DET	un
vieille	ADJ	vieux
pourra	VERB	pouvoir
précédente	NOUN	précédente
Ne	ADV	ne
deux	NUM	deux
de	ADP	de
était	AUX	être
tunnel	NOUN	tunnel
le	DET	le
dévorées	VERB	dévorer
détermination	NOUN	détermination
que	SCONJ	que
est	AUX	être
est	AUX	être
jugeait	VERB	juger
pensive	ADJ	pensif
Congrès	PROPN	Congrès
étaient	VERB	être
en	ADP	en
Karen	X	Karen
loin	ADV	loin
Campbell	PROPN	Campbell
fanatique	ADJ	fanatique
as	NOUN	as
inviter	VERB	inviter
dans	ADP	dans
Anna	PROPN	Anna
touches	NOUN	touche
silence	NOUN	silence
avec	ADP	avec
et	CCONJ	et
les	DET	le
cœur	NOUN	cœur
Et	CCONJ	et
les	DET	le
plantes	NOUN	plante
ai	VERB	avoir
le	DET	le
Alazan	PROPN	Alazan
Deckard	PROPN	Deckard
les	DET	le
les	DET	le
agence	NOUN	agence
Munie	NOUN	munie
geste	NOUN	geste
je	PRON	je
si	SCONJ	si
et	CCONJ	et
la	DET	le
cet	DET	ce
Casteljal	PROPN	Casteljal
La	DET	le
Juliette	PROPN	Juliette
issue	NOUN	issue
où	PRON	où
la	DET	le
équipages	NOUN	équipage
ces	DET	ce
en	ADP	en
état	NOUN	état
de	ADP	de
part	NOUN	part
que	SCONJ	que
avait	AUX	avoir
campagne	NOUN	campagne
au	ADP	au
avec	ADP	avec
ne	ADV	ne
ce	PRON	ce
ou	CCONJ	ou
homme	NOUN	homme
mais	CCONJ	mais
le	DET	le
fît	NOUN	fît
Ses	DET	son
clair	NOUN	clair
Suivez	VERB	suivre
lumière	NOUN	lumière
Ils	PRON	il
Non	ADV	non
replète	NOUN	replète
posaient	ADV	posaient
sur	ADP	sur
eu	VERB	avoir
est	AUX	être
nœud	ADJ	nœud
avant	ADP	avant
Il	PRON	il
sa	DET	son
aille	VERB	aller
compte	NOUN	compte
Le	DET	le
remercie	VERB	remercier
vagin	NOUN	vagin
prévoyait	VERB	prévoir
prendrait	VERB	prendre
obtenir	VERB	obtenir
Mais	CCONJ	mais
et	CCONJ	et
avant	ADP	avant
avaient	AUX	avoir
Vous	PRON	vous
nous	PRON	nous
le	DET	le
ses	DET	son
avait	AUX	avoir
les	DET	le
là	ADV	là
incompréhensible	ADJ	incompréhensible
Je	PRON	je
fièvre	NOUN	fièvre
là	ADV	là
toutes	ADJ	tout
pour	ADP	pour
quel	DET	quel
cette	DET	ce
le	DET	le
était	AUX	être
revenait	VERB	revenir
envisageables	ADJ	envisageable
moment	NOUN	moment
de	ADP	de
leur	DET	leur
Je	PRON	je
marche	NOUN	marche
Elle	PRON	lui
pas	ADV	pas
il	PRON	il
ai	VERB	avoir
la	DET	le
avec	ADP	avec
dis	ADP	dis
bien	ADV	bien
son	DET	son
je	PRON	je
peine	NOUN	peine
Neuf	ADJ	neuf
LAISSEZ	PROPN	LAISSEZ
pas	ADV	pas
dirigent	VERB	diriger
Vraiment	ADV	vraiment
enfouit	VERB	enfouir
forêt	NOUN	forêt
pour	ADP	pour
sortit	VERB	sortir
la	DET	le
des	DET	un
pas	ADV	pas
fais	VERB	faire
retournons	NOUN	retournon
livres	NOUN	livre
ou	CCONJ	ou
ces	DET	ce
feuillets	NOUN	feuillet
lui	PRON	lui
radar	NOUN	radar
répondre	VERB	répondre
au	ADP	au
plaindre	VERB	plaindre
plus	ADV	plus
dis	ADP	dis
frontière	NOUN	frontière
êtes	AUX	être
était	AUX	être
Secouant	VERB	secouer
un	DET	un
soir	NOUN	soir
police	NOUN	police
ouvre	VERB	ouvrir
vraiment	ADV	vraiment
il	PRON	il
fine	NOUN	fine
qui	PRON	qui
pubienne	ADJ	pubien
de	ADP	de
balle	NOUN	balle
Marie-Madeleine	PROPN	Marie-Madeleine
travailler	VERB	travailler
pouce	NOUN	pouce
ce	PRON	ce
devant	ADP	devant
cheminée	VERB	cheminer
caporal	NOUN	caporal
quoi	PRON	quoi
Guy	PROPN	Guy
était	AUX	être
fille	NOUN	fille
chevaux	NOUN	cheval
il	PRON	il
bain	NOUN	bain
régénérateur	NOUN	régénérateur
le	DET	le
me	PRON	me
