tour	NOUN	tour
Son	DET	son
al	NOUN	al
voie	NOUN	voie
de	ADP	de
rencontre	VERB	rencontre
détestée	VERB	détester
suivre	VERB	suivre
au	ADP	au
lui	PRON	lui
Je	PRON	je
directement	ADV	directement
attendait	VERB	attendre
qu'	SCONJ	que
et	CCONJ	et
informer	VERB	informer
par	ADP	par
vieux	ADJ	vieux
devant	ADP	devant
la	DET	le
gens	NOUN	gens
va	VERB	aller
mélancoliques	ADJ	mélancolique
en	PRON	en
vous	PRON	vous
et	CCONJ	et
fées	NOUN	fée
un	DET	un
est	AUX	être
il	PRON	il
un	DET	un
entrez	VERB	entrer
seize	NUM	seize
la	DET	le
réagi	VERB	réagir
son	DET	son
il	PRON	il
soit	AUX	être
semble	VERB	semble
qui	PRON	qui
déduire	VERB	déduire
La	DET	le
est	AUX	être
les	DET	le
échangent	VERB	échanger
aux	ADP	à
Nigel	PROPN	Nigel
mais	CCONJ	mais
parlait	VERB	parler
se	PRON	se
Nous	PRON	nous
vais	VERB	aller
Depuis	ADP	depuis
fut	AUX	être
et	CCONJ	et
alignés	VERB	aligner
de	ADP	de
cette	DET	ce
faire	VERB	faire
passion	NOUN	passion
dit	VERB	dire
le	DET	le
devant	ADP	devant
nuit	NOUN	nuit
aimablement	ADV	aimablement
En	ADP	en
absent	ADV	absent
réabonnements	NOUN	réabonnement
son	DET	son
Alan	PROPN	Alan
le	PRON	le
les	DET	le
bouclé	VERB	boucler
encore	ADV	encore
ébouriffés	VERB	ébouriffer
de	ADP	de
Ils	PRON	il
semaines	NOUN	semaine
ne	ADV	ne
du	ADP	de
pense	VERB	pense
cri	NOUN	cri
il	PRON	il
opaque	ADJ	opaque
hôpital	NOUN	hôpital
il	PRON	il
meurtrissaient	NOUN	meurtrissaient
quatre	NUM	quatre
sont	AUX	être
idée	NOUN	idée
annonce	NOUN	annonce
les	DET	le
vous	PRON	vous
retourner	VERB	retourner
heure	NOUN	heure
bond	NOUN	bond
apprentissage	NOUN	apprentissage
te	VERB	te
la	DET	le
et	CCONJ	et
se	PRON	se
quelqu'	DET	quelque
ni	CCONJ	ni
faisant	VERB	faire
un	DET	un
elle	PRON	lui
il	PRON	il
Dans	ADP	dans
la	DET	le
et	CCONJ	et
de	ADP	de
montés	VERB	monter
Elle	PRON	lui
frère	NOUN	frère
Sans	ADP	sans
distance	NOUN	distance
une	DET	un
venait	VERB	venir
visité	NOUN	visité
même	ADV	même
allure	NOUN	allure
des	ADP	de
vers	ADP	vers
Les	DET	le
les	DET	le
fit	NOUN	fit
lui	PRON	lui
Packard	PROPN	Packard
reprendre	VERB	reprendre
action	NOUN	action
de	ADP	de
sœurs	NOUN	sœur
désirait	VERB	désirer
de	ADP	de
voyait	VERB	voir
ne	ADV	ne
Là	ADV	là
revivre	NOUN	revivre
un	DET	un
ces	DET	ce
êtes	AUX	être
Moyen	NOUN	moyen
elle	PRON	lui
les	DET	le
tellement	ADV	tellement
notre	DET	notre
mit	VERB	mettre
lui	PRON	lui
de	ADP	de
écouterai	VERB	écouter
arrêté	VERB	arrêter
pinçant	VERB	pincer
Griffin	PROPN	Griffin
elle	PRON	lui
ta	DET	ton
avait	AUX	avoir
intimement	ADV	intimement
nous	PRON	nous
aveugle	ADJ	aveugle
déjà	ADV	déjà
ses	DET	son
acteur	NOUN	acteur
cravache	NOUN	cravache
Spanner	VERB	spanner
imaginaient	NOUN	imaginaient
poignet	NOUN	poignet
médecins	NOUN	médecin
je	PRON	je
quoi	PRON	quoi
accoster	VERB	accoster
embrouille	NOUN	embrouille
heure	NOUN	heure
heures	NOUN	heure
il	PRON	il
Longtemps	ADV	longtemps
abus	NOUN	abus
grâce	NOUN	grâce
bouleverse	VERB	bouleverse
abandonner	VERB	abandonner
le	PRON	le
et	CCONJ	et
arrière	NOUN	arrière
tu	SCONJ	tu
même	ADV	même
étaient	AUX	être
caducée	NOUN	caducée
Tu	PROPN	Tu
Horse	PROPN	Horse
Il	PRON	il
fini	VERB	finir
fait	VERB	faire
fulgurante	ADJ	fulgurant
Elle	PRON	lui
forêt	NOUN	forêt
espère	VERB	espérer
opération	NOUN	opération
un	DET	un
de	ADP	de
sensible	ADJ	sensible
avait	AUX	avoir
et	CCONJ	et
une	DET	un
Dieu	PROPN	Dieu
je	PRON	je
Roses	PROPN	Roses
Et	CCONJ	et
défiler	VERB	défiler
dieux	ADJ	dieux
Tunis	PROPN	Tunis
médical	ADJ	médical
tache	NOUN	tache
répondre	VERB	répondre
faute	NOUN	faute
hémisphérique	ADJ	hémisphérique
se	PRON	se
Harley	PROPN	Harley
dans	ADP	dans
ce	PRON	ce
choisissent	VERB	choisir
Société	PROPN	Société
Il	PRON	il
qui	PRON	qui
perdait	VERB	perdre
Je	PRON	je
spécimens	NOUN	spécimen
portrait	NOUN	portrait
mètres	NOUN	mètre
mon	DET	mon
mouton	NOUN	mouton
agit	VERB	agir
ceux	PRON	celui
était	AUX	être
du	ADP	de
Aucun	DET	aucun
dit	VERB	dire
côté	NOUN	côté
peinturé	VERB	peinturer
ni	CCONJ	ni
un	DET	un
il	PRON	il
contre	ADP	contre
Mr	DET	mr
coure	VERB	courir
Marie-Ange	PROPN	Marie-Ange
tu	SCONJ	tu
vent	NOUN	vent
crois	VERB	croire
aux	ADP	à
je	PRON	je
mortelle	ADJ	mortel
avec	ADP	avec
du	ADP	de
contre	ADP	contre
de	ADP	de
pas	ADV	pas
toi	NOUN	toi
Gabrielle	PROPN	Gabrielle
ne	ADV	ne
risquer	VERB	risquer
cheap	ADJ	cheap
ceux	PRON	celui
agissait	VERB	agir
de	ADP	de
descendre	VERB	descendre
sous	ADP	sous
cravate	ADJ	cravat
de	ADP	de
Comment	ADV	comment
pour	ADP	pour
pas	ADV	pas
étaient	AUX	être
mais	CCONJ	mais
nuages	ADJ	nuage
pas	ADV	pas
me	PRON	me
son	DET	son
un	DET	un
surgi	VERB	surgir
maître	NOUN	maître
entendre	VERB	entendre
que	PRON	que
qu'	PRON	qu'
la	DET	le
évitant	VERB	éviter
brillants	NOUN	brillant
brumeux	ADJ	brumeux
arrive	VERB	arrive
imprégnait	VERB	imprégner
Pas	ADV	pas
eau	NOUN	eau
était	AUX	être
équipage	NOUN	équipage
autre	ADJ	autre
le	DET	le
conduite	NOUN	conduite
Mon	DET	mon
Junior	PROPN	Junior
nos	DET	notre
ne	ADV	ne
succession	NOUN	succession
dévia	VERB	dévier
un	DET	un
et	CCONJ	et
la	DET	le
sur	ADP	sur
courbatures	NOUN	courbature
une	DET	un
derrière	ADP	derrière
confiture	NOUN	confiture
gorge	NOUN	gorge
rattrape	VERB	rattrape
agit	VERB	agir
on	PRON	on
brin	NOUN	brin
de	ADP	de
gars	NOUN	gars
escroquerie	NOUN	escroquerie
avec	ADP	avec
de	ADP	de
envie	NOUN	envie
disséminée	VERB	disséminer
que	SCONJ	que
force	NOUN	force
têtes	NOUN	tête
La	DET	le
me	PRON	me
de	ADP	de
parce	SCONJ	parce
ses	DET	son
affecter	VERB	affecter
aussi	ADV	aussi
avait	AUX	avoir
bras	NOUN	bras
elle	PRON	lui
petite	ADJ	petit
bondit	NOUN	bondit
entrait	VERB	entrer
néophyte	NOUN	néophyte
grand	ADJ	grand
plus	ADV	plus
esprit	NOUN	esprit
monsieur	NOUN	Monsieur
hésitait	VERB	hésiter
cuisine	NOUN	cuisine
bien	ADV	bien
nous	PRON	nous
ou	CCONJ	ou
peu	ADV	peu
ils	PRON	il
la	DET	le
défaits	NOUN	défait
dents	NOUN	dent
lumières	NOUN	lumière
mort	NOUN	mort
réquisitionné	ADJ	réquisitionner
et	CCONJ	et
de	ADP	de
authentique	ADJ	authentique
non	ADV	non
Je	PRON	je
je	PRON	je
fétiche	NOUN	fétiche
devez	VERB	devoir
Nicée	PROPN	Nicée
Meilleure	VERB	meilleure
pèse	ADJ	pès
amuse	NOUN	amuse
nous	PRON	nous
il	PRON	il
ces	DET	ce
les	DET	le
qui	PRON	qui
semblait	VERB	sembler
Elle	PRON	lui
visite	NOUN	visite
groupe	NOUN	groupe
courant	NOUN	courant
30	NUM	30
assassinat	NOUN	assassinat
mesure	NOUN	mesure
mes	DET	mon
la	DET	le
ce	DET	ce
suis	AUX	être
les	DET	le
je	PRON	je
sujet	NOUN	sujet
du	ADP	de
ces	DET	ce
par	ADP	par
Il	PRON	il
est	AUX	être
les	DET	le
petit	ADJ	petit
que	PRON	que
ici	ADV	ici
savoir	VERB	savoir
la	DET	le
décroche	VERB	décroche
repas	NOUN	repas
continua	VERB	continuer
autre	ADJ	autre
étant	AUX	être
paraissait	VERB	paraître
te	VERB	te
impression	NOUN	impression
jurés	NOUN	juré
le	DET	le
être	AUX	être
fronça	VERB	froncer
de	ADP	de
vaudrait	VERB	valoir
finir	VERB	finir
découverte	NOUN	découverte
décembre	NOUN	décembre
semble	VERB	semble
un	DET	un
et	CCONJ	et
partie	NOUN	partie
Emily	NOUN	emily
demanda	ADJ	demanda
pour	ADP	pour
vergogne	VERB	vergogne
qui	PRON	qui
pas	ADV	pas
de	ADP	de
Si	SCONJ	si
plupart	NOUN	plupart
sinon	ADV	sinon
Il	PRON	il
mieux	ADV	mieux
lui-même	PRON	lui-même
petite	ADJ	petit
effet	NOUN	effet
pense	VERB	pense
même	ADJ	même
que	SCONJ	que
la	DET	le
ne	ADV	ne
de	ADP	de
entendre	VERB	entendre
pour	ADP	pour
son	DET	son
touché	VERB	toucher
mouvement	NOUN	mouvement
vous	PRON	vous
fermé	ADJ	fermé
voyait	VERB	voir
rectangle	NOUN	rectangle
le	DET	le
le	DET	le
