le	DET	le
les	PRON	le
un	DET	un
examina	VERB	examiner
se	PRON	se
nous	PRON	nous
pouvait	VERB	pouvoir
dit	VERB	dire
de	ADP	de
de	ADP	de
herbe	NOUN	herbe
premier	ADJ	premier
batteur	NOUN	batteur
été	AUX	être
contact	NOUN	contact
la	DET	le
faisait	VERB	faire
copain	NOUN	copain
pris	VERB	prendre
que	SCONJ	que
suis	AUX	être
êtres	NOUN	être
je	PRON	je
bien	ADV	bien
leur	DET	leur
caresses	NOUN	caresse
plutôt	ADV	plutôt
des	ADP	de
près	ADV	près
qu'	SCONJ	que
bords	NOUN	bord
tombé	VERB	tomber
mais	CCONJ	mais
que	SCONJ	que
lorsqu'	SCONJ	lorsque
rictus	ADJ	rictu
contre	ADP	contre
chambre	NOUN	chambre
disiez	VERB	dire
légale	ADJ	légal
signe	NOUN	signe
retourna	VERB	retourner
la	DET	le
Ne	ADV	ne
été	AUX	être
pas	ADV	pas
sapin	NOUN	sapin
serviteur	NOUN	serviteur
Hope	PROPN	Hope
au	ADP	au
rien	PRON	rien
parce	SCONJ	parce
arrière	NOUN	arrière
plus	ADV	plus
donner	VERB	donner
tout	ADJ	tout
son	DET	son
étranger	VERB	étranger
depuis	ADP	depuis
impossible	ADJ	impossible
casier	NOUN	casier
en	ADP	en
redescendit	VERB	redescendre
ne	ADV	ne
tête	NOUN	tête
en	ADP	en
séparés	VERB	séparer
le	PRON	le
habitude	NOUN	habitude
voir	VERB	voir
les	DET	le
Vous	PRON	vous
terminaient	VERB	terminer
politesses	NOUN	politesse
Vous	PRON	vous
mes	DET	mon
cette	DET	ce
passion	NOUN	passion
fragile	ADJ	fragile
patinèrent	VERB	patiner
mon	DET	mon
temps	NOUN	temps
mon	DET	mon
antichambre	NOUN	antichambre
de	ADP	de
il	PRON	il
que	SCONJ	que
la	DET	le
pas	ADV	pas
époque	NOUN	époque
il	PRON	il
je	PRON	je
mon	DET	mon
vers	ADP	vers
Mais	CCONJ	mais
homosexuel	NOUN	homosexuel
de	ADP	de
pour	ADP	pour
foutez	VERB	foutre
me	PRON	me
bientôt	ADV	bientôt
de	ADP	de
vers	ADP	vers
bien	ADV	bien
gentillesse	NOUN	gentillesse
assure	VERB	assure
du	ADP	de
fait	AUX	faire
elle	PRON	lui
célèbres	ADJ	célèbre
Je	PRON	je
entraver	VERB	entraver
Booscop	PROPN	Booscop
bras	NOUN	bras
étals	NOUN	étal
soupçon	ADJ	soupçon
Parfait	VERB	parfaire
il	PRON	il
savait	VERB	savoir
Arrête	NOUN	arrête
un	DET	un
colline	NOUN	colline
courant	NOUN	courant
qu'	SCONJ	que
était	AUX	être
Foryo	NOUN	foryo
ténèbres	NOUN	ténèbre
passé	VERB	passer
que	SCONJ	que
ne	ADV	ne
somme	NOUN	somme
trente	NUM	trente
elle	PRON	lui
Il	PRON	il
actuellement	ADV	actuellement
oscillait	VERB	osciller
qui	PRON	qui
refusé	VERB	refuser
élèves	NOUN	élève
haut	ADJ	haut
nous	PRON	nous
histoire	NOUN	histoire
la	DET	le
chacun	PRON	chacun
glissa	VERB	glisser
deux	NUM	deux
physiquement	ADV	physiquement
bâtisse	NOUN	bâtisse
petit	ADJ	petit
avoir	AUX	avoir
que	SCONJ	que
vide	NOUN	vide
ensuite	ADV	ensuite
prise	ADJ	pris
soupe	NOUN	soupe
réserve	NOUN	réserve
aux	ADP	à
son	DET	son
dite	VERB	dire
le	DET	le
brutalement	VERB	brutalemer
qui	PRON	qui
que	SCONJ	que
les	DET	le
Les	DET	le
collant	VERB	coller
questions	NOUN	question
absente	ADJ	absent
et	CCONJ	et
était	AUX	être
que	SCONJ	que
inquiétude	NOUN	inquiétude
Mais	CCONJ	mais
Blagnac	PROPN	Blagnac
arrête	VERB	arrête
mère	NOUN	mère
Comme	ADP	comme
pouvoir	VERB	pouvoir
des	DET	un
leur	DET	leur
parce	SCONJ	parce
sa	DET	son
Courcy	PROPN	Courcy
avait	AUX	avoir
Elle	PRON	lui
son	DET	son
pouvoir	VERB	pouvoir
retireraient	VERB	retirer
et	CCONJ	et
la	DET	le
plus	ADV	plus
années	NOUN	année
irai	VERB	aller
fer	NOUN	fer
était	AUX	être
comme	SCONJ	comme
une	DET	un
il	PRON	il
soutint	VERB	soutenir
de	ADP	de
était	VERB	être
ordonna	VERB	ordonner
par	ADP	par
lucide	NOUN	lucide
Car	PROPN	Car
aux	ADP	à
de	ADP	de
vous	PRON	vous
doute	NOUN	doute
gagner	VERB	gagner
pendant	ADP	pendant
avant	ADJ	avant
jeune	ADJ	jeune
une	DET	un
Je	PRON	je
rejet	NOUN	rejet
joint	VERB	joindre
un	DET	un
qu'	SCONJ	que
février	NOUN	février
ne	ADV	ne
décadents	NOUN	décadent
sembla	VERB	sembler
ce	PRON	ce
regardant	NOUN	regardant
de	ADP	de
te	PRON	te
Et	CCONJ	et
situation	NOUN	situation
fait	VERB	faire
où	PRON	où
Si	SCONJ	si
vain	ADJ	vain
ses	DET	son
ont	AUX	avoir
sa	DET	son
camionnette	NOUN	camionnette
paraît	VERB	paraître
ce	PRON	ce
apportait	VERB	apporter
pus	PRON	pus
appela	NOUN	appela
hommes	NOUN	homme
ai	AUX	avoir
lui	PRON	lui
envie	NOUN	envie
Fontine	PROPN	Fontine
au	ADP	au
comme	ADP	comme
Il	PRON	il
que	SCONJ	que
et	CCONJ	et
manifestait	VERB	manifester
ce	PRON	ce
Les	DET	le
que	SCONJ	que
Vous	PRON	vous
de	ADP	de
rêve	NOUN	rêve
le	DET	le
beaucoup	ADV	beaucoup
Je	PRON	je
Révolution	NOUN	révolution
que	SCONJ	que
de	ADP	de
vérité	NOUN	vérité
on	PRON	on
très	ADV	très
le	DET	le
de	ADP	de
poitrine	NOUN	poitrine
parlaient	ADV	parlaient
doit	VERB	devoir
voulaient	VERB	vouloir
larmes	NOUN	larme
un	DET	un
que	SCONJ	que
Il	PRON	il
vous	PRON	vous
les	DET	le
océans	NOUN	océan
leurs	DET	leur
épaules	NOUN	épaule
de	ADP	de
ses	DET	son
intéressant	ADJ	intéressant
sur	ADP	sur
frapper	VERB	frapper
au	ADP	au
regardait	NOUN	regardait
une	DET	un
de	ADP	de
Savoir	VERB	savoir
nous	PRON	nous
eu	VERB	avoir
de	ADP	de
venu	VERB	venir
intérieur	NOUN	intérieur
le	DET	le
de	ADP	de
autant	ADV	autant
les	DET	le
sans	ADP	sans
une	DET	un
silence	NOUN	silence
réfléchi	VERB	réfléchir
très	ADV	très
que	SCONJ	que
réalisme	NOUN	réalisme
longtemps	ADV	longtemps
pas	ADV	pas
du	ADP	de
famille	NOUN	famille
leçons	NOUN	leçon
pas	ADV	pas
été	AUX	être
le	DET	le
angois	NOUN	angoi
de	ADP	de
Ensuite	ADV	ensuite
Depuis	ADP	depuis
de	ADP	de
confesser	VERB	confesser
laquées	VERB	laquer
arrière	NOUN	arrière
vais	VERB	aller
le	DET	le
griffaient	ADV	griffaient
pas	ADV	pas
avalé	NOUN	avalé
un	DET	un
mais	CCONJ	mais
alors	ADV	alors
autres	ADJ	autre
et	CCONJ	et
senti	VERB	sentir
Trouve	NOUN	trouve
loin	ADV	loin
vue	VERB	voir
de	ADP	de
catastrophe	NOUN	catastrophe
ses	DET	son
dans	ADP	dans
pas	ADV	pas
ressentiment	NOUN	ressentiment
la	DET	le
Des	DET	un
elle	PRON	lui
de	ADP	de
poitrail	NOUN	poitrail
touristes	NOUN	touriste
plus	ADV	plus
ne	ADV	ne
proposa	VERB	proposer
devait	VERB	devoir
il	PRON	il
noir	ADJ	noir
mon	DET	mon
et	CCONJ	et
instinctivement	ADV	instinctivement
cette	DET	ce
les	DET	le
et	CCONJ	et
ai	AUX	avoir
gosse	NOUN	gosse
endroit	NOUN	endroit
nuit	NOUN	nuit
bouche	NOUN	bouche
ne	ADV	ne
pas	ADV	pas
comme	ADP	comme
dans	ADP	dans
était	AUX	être
retourné	VERB	retourner
al	NOUN	al
Tout	ADJ	tout
plus	ADV	plus
elle	PRON	lui
son	DET	son
tu	ADP	tu
rockers	NOUN	rocker
vous	PRON	vous
mais	CCONJ	mais
flagrant	ADJ	flagrant
il	PRON	il
contenu	NOUN	contenu
Après	ADP	après
comprises	NOUN	comprise
souffla	ADJ	souffla
rencontre	NOUN	rencontre
seules	ADJ	seul
noire	ADJ	noir
avait	AUX	avoir
êtes	VERB	être
est	AUX	être
acculé	VERB	acculer
le	DET	le
bien	ADV	bien
les	DET	le
trouve	VERB	trouve
désir	NOUN	désir
trouvait	VERB	trouver
crainte	NOUN	crainte
toute	DET	tout
des	DET	un
en	ADP	en
campus	NOUN	campus
retrouvés	VERB	retrouver
se	PRON	se
qui	PRON	qui
le	DET	le
soir	NOUN	soir
passionnant	VERB	passionner
nous	PRON	nous
est	AUX	être
les	DET	le
Elle	PRON	lui
noir	ADJ	noir
mettait	VERB	mettre
avait	AUX	avoir
Terriens	NOUN	terrien
je	PRON	je
quelques	DET	quelque
toi	NOUN	toi
ça	PRON	cela
fasse	VERB	faire
était	AUX	être
décolle	NOUN	décolle
Rien	PRON	rien
tout	ADJ	tout
de	ADP	de
concert	NOUN	concert
la	DET	le
des	DET	un
contredire	NOUN	contredire
sommes	AUX	être
de	ADP	de
les	DET	le
son	DET	son
temps	NOUN	temps
leur	DET	leur
lui	PRON	lui
Ils	PRON	il
Comme	SCONJ	comme
cœur	NOUN	cœur
un	DET	un
faisait	VERB	faire
le	DET	le
par	ADP	par
ou	CCONJ	ou
famille	NOUN	famille
était	AUX	être
Ouais	PROPN	Ouais
la	DET	le
chantant	VERB	chanter
est	AUX	être
une	DET	un
loin	ADV	loin
la	DET	le
tableaux	NOUN	tableau
des	DET	un
la	DET	le
madame	NOUN	Monsieur
mit	VERB	mettre
