me	PRON	me
Tu	ADP	tu
la	DET	le
devant	ADP	devant
intrus	NOUN	intrus
chef	NOUN	chef
wagon	NOUN	wagon
par	ADP	par
ignore	VERB	ignore
demain	ADV	demain
veux	ADJ	veux
joué	VERB	jouer
leurs	DET	leur
manquerai	VERB	manquer
jolie	ADJ	joli
comportait	VERB	comporter
passerelle	ADJ	passerell
primaire	ADJ	primaire
moi	PRON	moi
dans	ADP	dans
les	DET	le
qui	PRON	qui
restait	VERB	rester
rapidement	ADV	rapidement
établissait	VERB	établir
sans	ADP	sans
appuyée	NOUN	appuyée
Le	DET	le
La	DET	le
aider	VERB	aider
âme	NOUN	âme
la	DET	le
son	DET	son
pressé	VERB	presser
qu'	ADV	qu'
croire	VERB	croire
de	ADP	de
les	DET	le
pire	ADJ	pire
donc	ADV	donc
sont	AUX	être
qu'	SCONJ	que
ton	NOUN	ton
Etait	VERB	eter
vitesses	NOUN	vitesse
convoquer	VERB	convoquer
elle	PRON	lui
grand	ADJ	grand
la	DET	le
allait	VERB	aller
ailleurs	ADV	ailleurs
pas	ADV	pas
souffrir	VERB	souffrir
dans	ADP	dans
ne	ADV	ne
votre	DET	votre
Vous	PRON	vous
demandez	VERB	demander
Attends	PROPN	Attends
les	DET	le
le	DET	le
dormir	NOUN	dormir
Si	SCONJ	si
les	DET	le
requin	NOUN	requin
votre	DET	votre
sortirent	ADV	sortirent
élan	NOUN	élan
dos	NOUN	dos
ai	VERB	avoir
allait	VERB	aller
homme	NOUN	homme
hantise	NOUN	hantise
dans	ADP	dans
expérimentés	NOUN	expérimenté
et	CCONJ	et
jour	NOUN	jour
plus	ADV	plus
Au	ADP	au
pas	ADV	pas
sa	DET	son
ne	ADV	ne
Des	DET	un
ai	AUX	avoir
je	PRON	je
son	DET	son
visiteur	NOUN	visiteur
Nos	DET	notre
yeux	NOUN	oeil
un	DET	un
aujourd'hui	ADV	aujourd'hui
son	DET	son
et	CCONJ	et
veux	ADJ	veux
pas	ADV	pas
autre	ADJ	autre
les	DET	le
la	DET	le
mais	CCONJ	mais
religieux	NOUN	religieux
pas	ADV	pas
son	DET	son
Lenno	PROPN	Lenno
une	DET	un
rendait	VERB	rendre
avait	AUX	avoir
as	AUX	avoir
émerveillions	VERB	émerveiller
restait	VERB	rester
ses	DET	son
de	ADP	de
terrain	NOUN	terrain
irruption	NOUN	irruption
exprima	VERB	exprimer
Paddy	NOUN	paddy
de	ADP	de
je	PRON	je
réservé	VERB	réserver
la	DET	le
le	DET	le
que	PRON	que
peu	ADV	peu
haut	ADJ	haut
chose	NOUN	chose
importe	VERB	importe
entrées	NOUN	entrée
la	DET	le
