	chi_square_words	chi_square	chi_square_rang	dispersion	dispersion_numeric
0	untuniutntrng55886	0.0	95214	1000/1	1000.0
1	untuniutntrng55886	0.0	85473	1000/1	1000.0
2	untuniutntrng55886	0.0	96704	1000/1	1000.0
3	untuniutntrng55886	0.0	93850	1000/1	1000.0
4	untuniutntrng55886	0.0	86781	1000/1	1000.0
5	untuniutntrng55886	0.0	95643	1000/1	1000.0
6	untuniutntrng55886	0.0	84990	1000/1	1000.0
7	untuniutntrng55886	0.0	85213	1000/1	1000.0
8	untuniutntrng55886	0.0	85795	1000/1	1000.0
9	untuniutntrng55886	0.0	85182	1000/1	1000.0
10	untuniutntrng55886	0.0	85302	1000/1	1000.0
11	untuniutntrng55886	0.0	85211	1000/1	1000.0
12	untuniutntrng55886	0.0	85940	1000/1	1000.0
13	untuniutntrng55886	0.0	96462	1000/1	1000.0
14	untuniutntrng55886	0.0	95408	1000/1	1000.0
15	untuniutntrng55886	0.0	95546	1000/1	1000.0
16	untuniutntrng55886	0.0	85296	1000/1	1000.0
17	untuniutntrng55886	0.0	85152	1000/1	1000.0
18	untuniutntrng55886	0.0	96122	1000/1	1000.0
19	untuniutntrng55886	0.0	87052	1000/1	1000.0
20	untuniutntrng55886	0.0	96038	1000/1	1000.0
21	untuniutntrng55886	0.0	95763	1000/1	1000.0
22	untuniutntrng55886	0.0	95579	1000/1	1000.0
23	untuniutntrng55886	0.0	85385	1000/1	1000.0
24	untuniutntrng55886	0.0	96650	1000/1	1000.0
25	untuniutntrng55886	0.0	95442	1000/1	1000.0
26	untuniutntrng55886	0.0	95827	1000/1	1000.0
27	untuniutntrng55886	0.0	85551	1000/1	1000.0
28	untuniutntrng55886	0.0	96137	1000/1	1000.0
29	untuniutntrng55886	0.0	84993	1000/1	1000.0
30	untuniutntrng55886	0.0	85441	1000/1	1000.0
31	untuniutntrng55886	0.0	86631	1000/1	1000.0
32	untuniutntrng55886	0.0	84154	1000/1	1000.0
33	untuniutntrng55886	0.0	94659	1000/1	1000.0
34	untuniutntrng55886	0.0	94331	1000/1	1000.0
35	untuniutntrng55886	0.0	96118	1000/1	1000.0
36	untuniutntrng55886	0.0	87021	1000/1	1000.0
37	untuniutntrng55886	0.0	86876	1000/1	1000.0
38	untuniutntrng55886	0.0	94377	1000/1	1000.0
39	untuniutntrng55886	0.0	85340	1000/1	1000.0
40	untuniutntrng55886	0.0	94915	1000/1	1000.0
41	untuniutntrng55886	0.0	95257	1000/1	1000.0
42	untuniutntrng55886	0.0	96550	1000/1	1000.0
43	untuniutntrng55886	0.0	94690	1000/1	1000.0
44	untuniutntrng55886	0.0	94629	1000/1	1000.0
45	untuniutntrng55886	0.0	85106	1000/1	1000.0
46	untuniutntrng55886	0.0	95225	1000/1	1000.0
47	untuniutntrng55886	0.0	85223	1000/1	1000.0
48	untuniutntrng55886	0.0	94639	1000/1	1000.0
49	untuniutntrng55886	0.0	94882	1000/1	1000.0
50	untuniutntrng55886	0.0	95446	1000/1	1000.0
51	untuniutntrng55886	0.0	85153	1000/1	1000.0
52	untuniutntrng55886	0.0	85098	1000/1	1000.0
53	untuniutntrng55886	0.0	86934	1000/1	1000.0
54	untuniutntrng55886	0.0	95865	1000/1	1000.0
55	untuniutntrng55886	0.0	85348	1000/1	1000.0
56	untuniutntrng55886	0.0	85833	1000/1	1000.0
57	untuniutntrng55886	0.0	93849	1000/1	1000.0
