	rrf_dr0_words	rrf_dr0	rrf_dr0_rang	dispersion	dispersion_numeric
0	untuniutntrng55886	1.0	35573	1000/1	1000.0
1	untuniutntrng55886	1.0	35985	1000/1	1000.0
2	untuniutntrng55886	1.0	35869	1000/1	1000.0
3	untuniutntrng55886	1.0000000000000002	22899	1000/1	1000.0
4	untuniutntrng55886	1.0000000000000002	23103	1000/1	1000.0
5	untuniutntrng55886	1.0000000000000002	23280	1000/1	1000.0
6	untuniutntrng55886	1.0000000000000004	22972	1000/1	1000.0
7	untuniutntrng55886	1.0	35687	1000/1	1000.0
8	untuniutntrng55886	1.0	35532	1000/1	1000.0
9	untuniutntrng55886	1.0000000000000002	23193	1000/1	1000.0
10	untuniutntrng55886	1.0000000000000002	22940	1000/1	1000.0
11	untuniutntrng55886	1.0000000000000002	23118	1000/1	1000.0
12	untuniutntrng55886	1.0	35715	1000/1	1000.0
13	untuniutntrng55886	1.0000000000000002	22996	1000/1	1000.0
14	untuniutntrng55886	1.0000000000000002	22917	1000/1	1000.0
15	untuniutntrng55886	1.0	35863	1000/1	1000.0
16	untuniutntrng55886	1.0	35865	1000/1	1000.0
17	untuniutntrng55886	1.0000000000000002	23078	1000/1	1000.0
18	untuniutntrng55886	1.0000000000000002	23298	1000/1	1000.0
19	untuniutntrng55886	1.0	35698	1000/1	1000.0
20	untuniutntrng55886	1.0	35994	1000/1	1000.0
21	untuniutntrng55886	1.0	35858	1000/1	1000.0
22	untuniutntrng55886	1.0	35835	1000/1	1000.0
23	untuniutntrng55886	1.0	35735	1000/1	1000.0
24	untuniutntrng55886	1.0000000000000002	23268	1000/1	1000.0
25	untuniutntrng55886	1.0	35820	1000/1	1000.0
26	untuniutntrng55886	1.0000000000000002	23018	1000/1	1000.0
27	untuniutntrng55886	1.0000000000000002	22825	1000/1	1000.0
28	untuniutntrng55886	1.0000000000000002	22956	1000/1	1000.0
29	untuniutntrng55886	1.0000000000000002	23223	1000/1	1000.0
30	untuniutntrng55886	1.0000000000000002	23194	1000/1	1000.0
31	untuniutntrng55886	1.0	35742	1000/1	1000.0
32	untuniutntrng55886	1.0000000000000002	23200	1000/1	1000.0
33	untuniutntrng55886	1.0000000000000002	23359	1000/1	1000.0
34	untuniutntrng55886	1.0	35765	1000/1	1000.0
35	untuniutntrng55886	1.0000000000000002	23220	1000/1	1000.0
36	untuniutntrng55886	1.0000000000000002	23008	1000/1	1000.0
37	untuniutntrng55886	1.0	26422	1000/1	1000.0
38	untuniutntrng55886	1.0000000000000004	23052	1000/1	1000.0
39	untuniutntrng55886	1.0000000000000002	22941	1000/1	1000.0
40	untuniutntrng55886	1.0000000000000002	23037	1000/1	1000.0
41	untuniutntrng55886	1.0	35714	1000/1	1000.0
42	untuniutntrng55886	1.0000000000000002	23144	1000/1	1000.0
43	untuniutntrng55886	1.0000000000000002	23036	1000/1	1000.0
44	untuniutntrng55886	1.0000000000000002	23119	1000/1	1000.0
45	untuniutntrng55886	1.0000000000000002	23066	1000/1	1000.0
46	untuniutntrng55886	1.0000000000000002	23191	1000/1	1000.0
47	untuniutntrng55886	1.0000000000000002	22971	1000/1	1000.0
48	untuniutntrng55886	1.0000000000000002	23174	1000/1	1000.0
49	untuniutntrng55886	1.0000000000000002	23070	1000/1	1000.0
50	untuniutntrng55886	1.0000000000000002	22926	1000/1	1000.0
51	untuniutntrng55886	1.0000000000000002	22992	1000/1	1000.0
52	untuniutntrng55886	1.0	35982	1000/1	1000.0
53	untuniutntrng55886	1.0000000000000002	23119	1000/1	1000.0
54	untuniutntrng55886	1.0	35805	1000/1	1000.0
55	untuniutntrng55886	1.0000000000000002	23389	1000/1	1000.0
56	untuniutntrng55886	1.0000000000000002	23054	1000/1	1000.0
57	untuniutntrng55886	1.0000000000000002	22878	1000/1	1000.0
58	untuniutntrng55886	1.0	35925	1000/1	1000.0
59	untuniutntrng55886	1.0000000000000002	23243	1000/1	1000.0
60	untuniutntrng55886	1.0	35988	1000/1	1000.0
61	untuniutntrng55886	1.0	35653	1000/1	1000.0
62	untuniutntrng55886	1.0000000000000002	22888	1000/1	1000.0
63	untuniutntrng55886	1.0000000000000002	23226	1000/1	1000.0
64	untuniutntrng55886	1.0000000000000002	23258	1000/1	1000.0
65	untuniutntrng55886	1.0000000000000002	23103	1000/1	1000.0
66	untuniutntrng55886	1.0000000000000002	23281	1000/1	1000.0
67	untuniutntrng55886	1.0	35864	1000/1	1000.0
68	untuniutntrng55886	1.0000000000000002	23104	1000/1	1000.0
69	untuniutntrng55886	1.0000000000000002	23052	1000/1	1000.0
70	untuniutntrng55886	1.0000000000000004	23185	1000/1	1000.0
71	untuniutntrng55886	1.0000000000000002	23386	1000/1	1000.0
72	untuniutntrng55886	1.0000000000000002	23079	1000/1	1000.0
73	untuniutntrng55886	1.0000000000000002	23187	1000/1	1000.0
74	untuniutntrng55886	1.0000000000000002	23045	1000/1	1000.0
75	untuniutntrng55886	1.0000000000000002	23104	1000/1	1000.0
76	untuniutntrng55886	1.0	35551	1000/1	1000.0
77	untuniutntrng55886	1.0000000000000004	23136	1000/1	1000.0
78	untuniutntrng55886	1.0	35895	1000/1	1000.0
79	untuniutntrng55886	1.0	35496	1000/1	1000.0
80	untuniutntrng55886	1.0000000000000002	23283	1000/1	1000.0
81	untuniutntrng55886	1.0	35650	1000/1	1000.0
82	untuniutntrng55886	1.0000000000000004	22893	1000/1	1000.0
83	untuniutntrng55886	1.0	35775	1000/1	1000.0
84	untuniutntrng55886	1.0	35786	1000/1	1000.0
85	untuniutntrng55886	1.0000000000000002	23199	1000/1	1000.0
86	untuniutntrng55886	1.0000000000000002	23122	1000/1	1000.0
87	untuniutntrng55886	1.0000000000000002	23115	1000/1	1000.0
88	untuniutntrng55886	1.0000000000000002	23086	1000/1	1000.0
89	untuniutntrng55886	1.0	35559	1000/1	1000.0
90	untuniutntrng55886	1.0	35872	1000/1	1000.0
91	untuniutntrng55886	1.0	35719	1000/1	1000.0
92	untuniutntrng55886	1.0	35844	1000/1	1000.0
93	untuniutntrng55886	1.0000000000000002	23040	1000/1	1000.0
94	untuniutntrng55886	1.0	35653	1000/1	1000.0
95	untuniutntrng55886	1.0	35888	1000/1	1000.0
96	untuniutntrng55886	1.0000000000000002	23213	1000/1	1000.0
97	untuniutntrng55886	1.0	35845	1000/1	1000.0
98	untuniutntrng55886	1.0000000000000002	23224	1000/1	1000.0
99	untuniutntrng55886	1.0000000000000002	23043	1000/1	1000.0
100	untuniutntrng55886	1.0	35681	100/10	10.0
101	untuniutntrng55886	1.0	35820	100/10	10.0
102	untuniutntrng55886	1.0	35870	100/10	10.0
103	untuniutntrng55886	1.0	35888	100/10	10.0
104	untuniutntrng55886	1.0	35754	100/10	10.0
105	untuniutntrng55886	1.0	35674	100/10	10.0
106	untuniutntrng55886	1.0	33854	100/10	10.0
107	untuniutntrng55886	1.0	35783	100/10	10.0
108	untuniutntrng55886	1.0	35827	100/10	10.0
109	untuniutntrng55886	1.0	35686	100/10	10.0
110	untuniutntrng55886	1.0	35822	100/10	10.0
111	untuniutntrng55886	1.0	35867	100/10	10.0
112	untuniutntrng55886	1.0	35839	100/10	10.0
113	untuniutntrng55886	1.0	35870	100/10	10.0
114	untuniutntrng55886	1.0	35708	100/10	10.0
115	untuniutntrng55886	1.0	35905	100/10	10.0
116	untuniutntrng55886	0.9999999999999998	35937	100/10	10.0
117	untuniutntrng55886	1.0	35933	100/10	10.0
118	untuniutntrng55886	1.0	36103	100/10	10.0
119	untuniutntrng55886	1.0	35699	100/10	10.0
