	ranksum_words	ranksum	ranksum_rang	dispersion	dispersion_numeric
0	untuniutntrng55886	0.0	51305	1000/1	1000.0
1	untuniutntrng55886	0.0	45591	1000/1	1000.0
2	untuniutntrng55886	0.0	50443	1000/1	1000.0
3	untuniutntrng55886	0.0	49139	1000/1	1000.0
4	untuniutntrng55886	0.0	47547	1000/1	1000.0
5	untuniutntrng55886	0.0	51396	1000/1	1000.0
6	untuniutntrng55886	0.0	45325	1000/1	1000.0
7	untuniutntrng55886	0.0	46128	1000/1	1000.0
8	untuniutntrng55886	0.0	47913	1000/1	1000.0
9	untuniutntrng55886	0.0	45757	1000/1	1000.0
10	untuniutntrng55886	0.0	45709	1000/1	1000.0
11	untuniutntrng55886	0.0	45810	1000/1	1000.0
12	untuniutntrng55886	0.0	47518	1000/1	1000.0
13	untuniutntrng55886	0.0	50809	1000/1	1000.0
14	untuniutntrng55886	0.0	50818	1000/1	1000.0
15	untuniutntrng55886	0.0	50645	1000/1	1000.0
16	untuniutntrng55886	0.0	45763	1000/1	1000.0
17	untuniutntrng55886	0.0	45792	1000/1	1000.0
18	untuniutntrng55886	0.0	50221	1000/1	1000.0
19	untuniutntrng55886	0.0	47388	1000/1	1000.0
20	untuniutntrng55886	0.0	50281	1000/1	1000.0
21	untuniutntrng55886	0.0	51416	1000/1	1000.0
22	untuniutntrng55886	0.0	51182	1000/1	1000.0
23	untuniutntrng55886	0.0	45612	1000/1	1000.0
24	untuniutntrng55886	0.0	50146	1000/1	1000.0
25	untuniutntrng55886	0.0	50942	1000/1	1000.0
26	untuniutntrng55886	0.0	51182	1000/1	1000.0
27	untuniutntrng55886	0.0	47804	1000/1	1000.0
28	untuniutntrng55886	0.0	50008	1000/1	1000.0
29	untuniutntrng55886	0.0	45736	1000/1	1000.0
30	untuniutntrng55886	0.0	45759	1000/1	1000.0
31	untuniutntrng55886	0.0	47099	1000/1	1000.0
32	untuniutntrng55886	0.0	46011	1000/1	1000.0
33	untuniutntrng55886	0.0	48410	1000/1	1000.0
34	untuniutntrng55886	0.0	49804	1000/1	1000.0
35	untuniutntrng55886	0.0	50298	1000/1	1000.0
36	untuniutntrng55886	0.0	43087	1000/1	1000.0
37	untuniutntrng55886	0.0	47331	1000/1	1000.0
38	untuniutntrng55886	0.0	48682	1000/1	1000.0
39	untuniutntrng55886	0.0	45779	1000/1	1000.0
40	untuniutntrng55886	0.0	49133	1000/1	1000.0
41	untuniutntrng55886	0.0	50999	1000/1	1000.0
42	untuniutntrng55886	0.0	50740	1000/1	1000.0
43	untuniutntrng55886	0.0	48559	1000/1	1000.0
44	untuniutntrng55886	0.0	48831	1000/1	1000.0
45	untuniutntrng55886	0.0	45691	1000/1	1000.0
46	untuniutntrng55886	0.0	50935	1000/1	1000.0
47	untuniutntrng55886	0.0	45801	1000/1	1000.0
48	untuniutntrng55886	0.0	48708	1000/1	1000.0
49	untuniutntrng55886	0.0	49473	1000/1	1000.0
50	untuniutntrng55886	0.0	50869	1000/1	1000.0
51	untuniutntrng55886	0.0	46121	1000/1	1000.0
52	untuniutntrng55886	0.0	45279	1000/1	1000.0
53	untuniutntrng55886	0.0	47622	1000/1	1000.0
54	untuniutntrng55886	0.0	51081	1000/1	1000.0
55	untuniutntrng55886	0.0	45822	1000/1	1000.0
56	untuniutntrng55886	0.0	47582	1000/1	1000.0
57	untuniutntrng55886	0.0	49160	1000/1	1000.0
58	untuniutntrng55886	0.0	45927	1000/1	1000.0
59	untuniutntrng55886	0.0	46467	1000/1	1000.0
60	untuniutntrng55886	0.0	50718	1000/1	1000.0
61	untuniutntrng55886	0.0	45652	1000/1	1000.0
62	untuniutntrng55886	0.0	50739	1000/1	1000.0
63	untuniutntrng55886	0.0	45594	1000/1	1000.0
64	untuniutntrng55886	0.0	51528	1000/1	1000.0
65	untuniutntrng55886	0.0	47843	1000/1	1000.0
66	untuniutntrng55886	0.0	46038	1000/1	1000.0
67	untuniutntrng55886	0.0	49705	1000/1	1000.0
68	untuniutntrng55886	0.0	46601	1000/1	1000.0
69	untuniutntrng55886	0.0	45969	1000/1	1000.0
70	untuniutntrng55886	0.0	51275	1000/1	1000.0
71	untuniutntrng55886	0.0	45888	1000/1	1000.0
72	untuniutntrng55886	0.0	48519	1000/1	1000.0
73	untuniutntrng55886	0.0	46333	1000/1	1000.0
74	untuniutntrng55886	0.0	51207	1000/1	1000.0
75	untuniutntrng55886	0.0	45486	1000/1	1000.0
76	untuniutntrng55886	0.0	50670	1000/1	1000.0
77	untuniutntrng55886	0.0	48618	1000/1	1000.0
78	untuniutntrng55886	0.0	47503	1000/1	1000.0
79	untuniutntrng55886	0.0	49370	1000/1	1000.0
80	untuniutntrng55886	0.0	45721	1000/1	1000.0
81	untuniutntrng55886	0.0	45404	1000/1	1000.0
82	untuniutntrng55886	0.0	48793	1000/1	1000.0
83	untuniutntrng55886	0.0	51222	1000/1	1000.0
84	untuniutntrng55886	0.0	45173	1000/1	1000.0
85	untuniutntrng55886	0.0	49191	1000/1	1000.0
86	untuniutntrng55886	0.0	50991	1000/1	1000.0
87	untuniutntrng55886	0.0	49171	1000/1	1000.0
88	untuniutntrng55886	0.0	45871	1000/1	1000.0
89	untuniutntrng55886	0.0	51208	1000/1	1000.0
90	untuniutntrng55886	0.0	50150	1000/1	1000.0
91	untuniutntrng55886	0.0	47492	1000/1	1000.0
92	untuniutntrng55886	0.0	45277	1000/1	1000.0
93	untuniutntrng55886	0.0	47931	1000/1	1000.0
94	untuniutntrng55886	0.0	45352	1000/1	1000.0
95	untuniutntrng55886	0.0	51177	1000/1	1000.0
96	untuniutntrng55886	0.0	47791	1000/1	1000.0
97	untuniutntrng55886	0.0	45920	1000/1	1000.0
98	untuniutntrng55886	0.0	45517	1000/1	1000.0
99	untuniutntrng55886	0.0	51472	1000/1	1000.0
100	untuniutntrng55886	-28.12947380791666	96776	100/10	10.0
101	untuniutntrng55886	-28.12947380791666	96774	100/10	10.0
102	untuniutntrng55886	-28.12947380791666	96775	100/10	10.0
103	untuniutntrng55886	-28.12947380791666	96773	100/10	10.0
104	untuniutntrng55886	-28.12947380791666	96773	100/10	10.0
105	untuniutntrng55886	-28.12947380791666	96774	100/10	10.0
106	untuniutntrng55886	-28.12947380791666	96776	100/10	10.0
107	untuniutntrng55886	-28.12947380791666	96773	100/10	10.0
108	untuniutntrng55886	-28.12947380791666	96774	100/10	10.0
109	untuniutntrng55886	-28.12947380791666	96773	100/10	10.0
110	untuniutntrng55886	-28.12947380791666	96776	100/10	10.0
111	untuniutntrng55886	-28.12947380791666	96777	100/10	10.0
112	untuniutntrng55886	-28.12947380791666	96775	100/10	10.0
113	untuniutntrng55886	-28.12947380791666	96773	100/10	10.0
114	untuniutntrng55886	-28.12947380791666	96775	100/10	10.0
115	untuniutntrng55886	-28.12947380791666	96774	100/10	10.0
116	untuniutntrng55886	-28.12947380791666	96773	100/10	10.0
117	untuniutntrng55886	-28.12947380791666	96774	100/10	10.0
118	untuniutntrng55886	-28.12947380791666	96774	100/10	10.0
119	untuniutntrng55886	-28.12947380791666	96774	100/10	10.0
120	untuniutntrng55886	-28.12947380791666	96777	100/10	10.0
121	untuniutntrng55886	-28.12947380791666	96776	100/10	10.0
122	untuniutntrng55886	-28.12947380791666	96776	100/10	10.0
123	untuniutntrng55886	-28.12947380791666	96775	100/10	10.0
124	untuniutntrng55886	-28.12947380791666	96772	100/10	10.0
125	untuniutntrng55886	-28.12947380791666	96774	100/10	10.0
126	untuniutntrng55886	-28.12947380791666	96775	100/10	10.0
127	untuniutntrng55886	-28.12947380791666	96775	100/10	10.0
128	untuniutntrng55886	-28.12947380791666	96775	100/10	10.0
129	untuniutntrng55886	-28.12947380791666	96775	100/10	10.0
130	untuniutntrng55886	-28.12947380791666	96774	100/10	10.0
131	untuniutntrng55886	-28.12947380791666	96773	100/10	10.0
132	untuniutntrng55886	-28.12947380791666	96772	100/10	10.0
133	untuniutntrng55886	-28.12947380791666	96776	100/10	10.0
134	untuniutntrng55886	-28.12947380791666	96773	100/10	10.0
135	untuniutntrng55886	-28.12947380791666	96776	100/10	10.0
136	untuniutntrng55886	-28.12947380791666	96777	100/10	10.0
137	untuniutntrng55886	-28.12947380791666	96776	100/10	10.0
138	untuniutntrng55886	-28.12947380791666	96776	100/10	10.0
139	untuniutntrng55886	-28.12947380791666	96774	100/10	10.0
140	untuniutntrng55886	-28.12947380791666	96777	100/10	10.0
141	untuniutntrng55886	-28.12947380791666	96775	100/10	10.0
142	untuniutntrng55886	-28.12947380791666	96774	100/10	10.0
