idno	translation	other-identifier	author-name	num-authors	author-gender	author-nationality	book-title	publ-first	publ-edition	publ-ref	publ-decade	publisher	collection	subgenre	group	translation.1	ISBN	status	scifi	sentimental	policier	blanche
Andrevon_Trace	no		Andrevon, Jean-Pierre	1.0	male		La trace des rêves		1988.0	1988	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	no	2-277-22372-7	tei	yes	no	no	no
Brunner_Chimeres	yes		Brunner, John	1.0	male		Les chimères de l'ombre		1982.0	1982	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	2-266-01159-6	tei	yes	no	no	no
Farmer_Odyssee	yes		Farmer, Philip José	1.0	male		L'odyssée verth		1982.0	1982	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	2-266-01093-X	tei	yes	no	no	no
Brussolo_Aussi	no		Brussolo, Serge	1.0	male		Aussi lourd que le vent		1981.0	1981	1980s	Denoël	Présence du Futur	scifi	populaire	no	(unknown)	tei	yes	no	no	no
Leourier_Homme	no		Léourier, Christian	1.0	male		L'homme qui tua l'hiver		1986.0	1986	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	no	2-277-21946-0	tei	yes	no	no	no
Jeury_Demons	no		Jeury, Michel	1.0	male		Les demons de Jerusalem		1985.0	1985	1980s	Presses Pocket	Science-Fiction	scifi	populaire	no	2-266-01491-9	tei	yes	no	no	no
Leourier_TiHarnog	no		Léourier, Christian	1.0	male		Ti-Harnog		1984.0	1984	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	no	2-277-21722-0	tei	yes	no	no	no
Curval_Jouer	no		Curval, Philippe	1.0	male		Comment jouer à l'homme invisible en trois lecons		1986.0	1986	1980s	Denoël	Présence du Futur	scifi	populaire	no	2-207-30420-5	tei	yes	no	no	no
Pohl_Promenade	yes		Pohl, Frédérik	1.0	male		La promenade de l'ivrogne		1981.0	1981	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	2-266-01026-3	tei	yes	no	no	no
Andrevon_Faudra	no		Andrevon, Jean-Pierre	1.0	male		Il faudra bien se résoudre à mourir seul		1983.0	1983	1980s	Denoël	Présence du Futur	scifi	populaire	no	2-207-30363-2	tei	yes	no	no	no
Klein_Reve	no		Klein, Gérard	1.0	male		Le rêve des forêts		1987.0	1987	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	no	2-277-22164-3	tei	yes	no	no	no
Brussolo_Portrait	no		Brussolo, Serge	1.0	male		Portrait du diable en chapeau melon		1982.0	1982	1980s	Denoël	Présence du Futur	scifi	populaire	no	2-207-30348-9	tei	yes	no	no	no
Ligny_Dark	no		Ligny, Jean-Marc	1.0	male		D.a.r.k		1988.0	1988	1980s	Denoël	Présence du Futur	scifi	populaire	no	2-207-3047-6	tei	yes	no	no	no
Leourier_Racines	no		Léourier, Christian	1.0	male		Les racines de l'oubli		1988.0	1988	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	no	2-277-22405-7	tei	yes	no	no	no
Ligny_Furia	no		Ligny, Jean-Marc	1.0	male		Furia!		1982.0	1982	1980s	Denoël	Présence du Futur	scifi	populaire	no	2-207-30346-2	tei	yes	no	no	no
Zelazny_Enfant	yes		Zelazny, Roger	1.0	male		L'enfant tombé de nulle part		1980.0	1980	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	2-266-01851-5	tei	yes	no	no	no
Andrevon_Oreille	no		Andrevon, Jean-Pierre	1.0	male		L'oreille contre les murs		1980.0	1980	1980s	Denoël	Présence du Futur	scifi	populaire	no	(unknown)	tei	yes	no	no	no
Heinlein_Route	yes		Heinlein, Robert A.	1.0	male		Route de la gloire		1982.0	1982	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	2-266-01194-4	tei	yes	no	no	no
Curval_Habite	no		Curval, Philippe	1.0	male		Habite-t-on réellement quelque part?		1989.0	1989	1980s	Denoël	Présence du Futur	scifi	populaire	no	2-207-30484-1	tei	yes	no	no	no
Volkoff_Metro	no		Volkoff, Vladimir	1.0	male		Métro pour l'enfer		1981.0	1981	1980s	Presses Pocket	Science-Fiction	scifi	populaire	no	2-266-00983-4	tei	yes	no	no	no
Silverberg_Guetteurs	yes		Silverberg, Robert	1.0	male		Les guetteurs des étoiles		1987.0	1987	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	2-258-01936-8	tei	yes	no	no	no
Wintrebert_Chromoville	no		Wintrebert, Joëlle	1.0	female		Chromoville		1984.0	1984	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	no	2-277-21576-7	tei	yes	no	no	no
Spinrad_Chants	yes		Spinrad, Norman	1.0	male		Chants des étoiles		1988.0	1988	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	2-266-02098-6	tei	yes	no	no	no
