ans	NOUN	an
un	DET	un
autour	ADV	autour
une	DET	un
née	VERB	naître
dans	ADP	dans
les	DET	le
que	SCONJ	que
vécu	VERB	vivre
beaucoup	ADV	beaucoup
rien	PRON	rien
appartement	NOUN	appartement
Jill	PROPN	Jill
des	ADP	de
pris	VERB	prendre
voiler	VERB	voiler
dans	ADP	dans
fou	VERB	fou
tout	ADV	tout
composés	VERB	composer
même	ADV	même
la	DET	le
du	ADP	de
brusquement	VERB	brusquemer
sève	NOUN	sève
comme	ADP	comme
forte	ADJ	fort
ici	ADV	ici
question	NOUN	question
une	DET	un
faille	NOUN	faille
pas	ADV	pas
juste	ADV	juste
portées	VERB	porter
longues	ADJ	long
pris	VERB	prendre
entre	ADP	entre
somme	NOUN	somme
désespéré	VERB	désespérer
imposait	VERB	imposer
Vous	PRON	vous
réellement	ADV	réellement
Eva	PROPN	Eva
en	ADP	en
qu'	SCONJ	que
chose	NOUN	chose
même	ADJ	même
croisé	VERB	croiser
forme	VERB	forme
la	DET	le
fils	NOUN	fils
cela	PRON	cela
bougres	ADJ	bougre
ordures	VERB	ordurer
la	PRON	le
la	DET	le
nier	NOUN	nier
mit	VERB	mettre
vous	PRON	vous
gracieuse	NOUN	gracieuse
hiver	VERB	hiver
les	DET	le
votre	DET	votre
qui	PRON	qui
soupe	NOUN	soupe
libido	NOUN	libido
agents	NOUN	agent
sans	ADP	sans
base	NOUN	base
sortent	VERB	sortir
allusif	ADJ	allusif
posa	VERB	poser
tous	ADJ	tout
Heu	NOUN	heu
et	CCONJ	et
clôture	NOUN	clôture
barbant	ADJ	barbant
est	AUX	être
froidement	ADV	froidement
son	DET	son
avait	AUX	avoir
valait	VERB	valoir
qui	PRON	qui
humides	NOUN	humide
est	AUX	être
sur	ADP	sur
la	DET	le
simplicité	NOUN	simplicité
de	ADP	de
avoir	AUX	avoir
quittait	VERB	quitter
Elle	PRON	lui
Saint-Maur-des-Fossés	ADJ	saint-maur-des-fossé
suffi	PRON	suffi
leur	PRON	leur
le	DET	le
chansons	NOUN	chanson
Je	PRON	je
sœur	NOUN	sœur
le	DET	le
frayèrent	VERB	frayer
aucun	DET	aucun
