leur	PRON	leur
bas	NOUN	bas
plus	ADV	plus
amenèrent	VERB	amener
de	ADP	de
totalement	ADV	totalement
Kendiac	PROPN	Kendiac
rendre	VERB	rendre
derrière	ADP	derrière
dans	ADP	dans
bloc	NOUN	bloc
sourcils	NOUN	sourcil
la	DET	le
interrompit	NOUN	interrompit
nuage	NOUN	nuage
de	ADP	de
fureur	NOUN	fureur
On	PRON	on
inspectât	ADJ	inspectât
qui	PRON	qui
peau	NOUN	peau
chaîne	ADJ	chaîn
étouffé	NOUN	étouffé
demandez	VERB	demander
cadavre	NOUN	cadavre
de	ADP	de
en	PRON	en
propriétaire	NOUN	propriétaire
une	PRON	un
le	PRON	le
restes	VERB	rester
fut	AUX	être
en	ADP	en
peste	ADJ	pest
observa	VERB	observer
noir	NOUN	noir
un	DET	un
impliqués	VERB	impliquer
maman	NOUN	maman
saison	NOUN	saison
avec	ADP	avec
impossible	ADJ	impossible
Je	PRON	je
rien	PRON	rien
donné	VERB	donner
poussa	VERB	pousser
sans-abri	NOUN	sans-abri
Miran	PROPN	Miran
Jimmy	PROPN	Jimmy
George	PROPN	George
oblige	NOUN	oblige
une	DET	un
compromissions	NOUN	compromission
ton	NOUN	ton
la	DET	le
le	DET	le
infranchissable	ADJ	infranchissable
était	AUX	être
enjeu	NOUN	enjeu
dévala	VERB	dévaler
excuses	NOUN	excuse
lorsque	SCONJ	lorsque
bras	NOUN	bras
de	ADP	de
bas	NOUN	bas
on	PRON	on
lit	NOUN	lit
de	ADP	de
ai	VERB	avoir
porte	NOUN	porte
plus	ADV	plus
opposerait	VERB	opposer
montra	VERB	montrer
plongés	VERB	plonger
Astoria	PROPN	Astoria
prenant	VERB	prendre
colle	VERB	colle
il	PRON	il
Mais	CCONJ	mais
Silencieux	PRON	silencieux
rassurer	VERB	rassurer
pour	ADP	pour
Je	PRON	je
ne	ADV	ne
jeune	ADJ	jeune
de	ADP	de
les	DET	le
Elle	PRON	lui
ouvrit	VERB	ouvrir
hauteur	NOUN	hauteur
des	DET	un
éclata	VERB	éclater
trouva	VERB	trouver
ou	CCONJ	ou
un	DET	un
Non	ADV	non
avec	ADP	avec
qu'	PRON	qu'
veut	VERB	vouloir
baume	NOUN	baume
comme	ADP	comme
part	NOUN	part
Il	PRON	il
sélectionnées	VERB	sélectionner
Gervase	PROPN	Gervase
vitrine	NOUN	vitrine
Pourtant	ADV	pourtant
costume	NOUN	costume
petit	ADJ	petit
carte	NOUN	carte
son	DET	son
adoucit	VERB	adoucir
clair	ADJ	clair
abandonné	ADJ	abandonné
un	DET	un
aux	ADP	à
ne	ADV	ne
personnes	NOUN	personne
gens	NOUN	gens
qui	PRON	qui
en	ADP	en
quand	SCONJ	quand
je	PRON	je
Beyle	NOUN	beyle
le	DET	le
capote	NOUN	capote
te	CCONJ	te
cela	PRON	cela
appela	PROPN	appeler
prise	ADJ	pris
Mon	DET	mon
froide	ADJ	froid
importance	NOUN	importance
la	DET	le
trouvaient	VERB	trouver
est	AUX	être
deux	NUM	deux
ou	CCONJ	ou
avoir	VERB	avoir
Guido	PROPN	Guido
encore	ADV	encore
mis	VERB	mettre
ne	ADV	ne
au	ADP	au
Marine	PROPN	Marine
il	PRON	il
avait	AUX	avoir
décidé	VERB	décider
de	ADP	de
des	DET	un
des	ADP	de
commencez	VERB	commencer
que	SCONJ	que
des	ADP	de
disponibles	ADJ	disponible
elle	PRON	lui
Feldstein	NOUN	feldstein
ça	PROPN	ça
je	PRON	je
femme	NOUN	femme
mauvais	NOUN	mauvais
une	DET	un
commis	VERB	commettre
le	DET	le
regrette	VERB	regrette
dont	PRON	dont
Malgré	ADP	malgré
es	PRON	es
long	ADJ	long
analphabète	ADJ	analphabète
délicate	NOUN	délicat
de	ADP	de
Il	PRON	il
redoutables	ADJ	redoutable
Elle	PRON	lui
on	PRON	on
comme	ADP	comme
aurait	AUX	avoir
Il	PRON	il
intelligente	ADJ	intelligent
Pensée	PROPN	Pensée
crois	VERB	croire
astre	NOUN	astre
crois	NOUN	croi
camés	NOUN	camé
moi	PRON	moi
et	CCONJ	et
nous	PRON	nous
avait	AUX	avoir
celui-ci	PRON	celui-ci
ses	DET	son
qu'	SCONJ	que
personnes	NOUN	personne
et	CCONJ	et
en	ADP	en
aucune	DET	aucun
pas	ADV	pas
leur	DET	leur
Quim	DET	quim
cru	VERB	croire
la	DET	le
coups	NOUN	coup
Paul	PROPN	Paul
sol	NOUN	sol
mine	NOUN	mine
je	PRON	je
faunesques	ADJ	faunesque
qui	PRON	qui
des	ADP	de
York	PROPN	York
Et	CCONJ	et
voie	NOUN	voie
parmi	ADP	parmi
Est	NOUN	est
qui	PRON	qui
victoire	NOUN	victoire
Mince	NOUN	mince
se	PRON	se
la	DET	le
brutalement	VERB	brutalemer
rien	PRON	rien
siège	NOUN	siège
rattachée	VERB	rattacher
dans	ADP	dans
dans	ADP	dans
allait	VERB	aller
totalement	ADV	totalement
condiment	ADV	condiment
Pour	ADP	pour
qui	PRON	qui
main	NOUN	main
ta	DET	ton
quand	SCONJ	quand
je	PRON	je
seule	ADJ	seul
qui	PRON	qui
et	CCONJ	et
assassin	NOUN	assassin
ils	PRON	il
pas	ADV	pas
quai	NOUN	quai
Rotcow	PROPN	Rotcow
autres	ADJ	autre
les	DET	le
de	ADP	de
passé	VERB	passer
de	ADP	de
prétexte	NOUN	prétexte
juge	NOUN	juge
est	AUX	être
tout	ADV	tout
galon	NOUN	galon
de	ADP	de
bruit	NOUN	bruit
cerveau	NOUN	cerveau
Ce	PRON	ce
ce	DET	ce
si	SCONJ	si
elles	PRON	lui
étais	AUX	être
conversations	NOUN	conversation
pierre	NOUN	pierre
quelques	DET	quelque
fais	NOUN	fai
que	PRON	que
pute	VERB	pute
savez	VERB	savoir
de	ADP	de
refaire	NOUN	refaire
reconnut	VERB	reconnaître
appartement	NOUN	appartement
grâce	NOUN	grâce
impérialisme	NOUN	impérialisme
découverte	NOUN	découverte
ne	ADV	ne
condamné	VERB	condamner
luxe	NOUN	luxe
jaillissant	VERB	jaillir
des	DET	un
où	PRON	où
du	ADP	de
il	PRON	il
traitant	VERB	traiter
sais	VERB	savoir
