que	SCONJ	que
mesure	NOUN	mesure
sur	ADP	sur
continuait	VERB	continuer
comme	ADP	comme
chambre	NOUN	chambre
silence	NOUN	silence
de	ADP	de
de	ADP	de
Qu'	PRON	qu'
Je	PRON	je
en	PRON	en
nous	PRON	nous
ne	ADV	ne
les	DET	le
ai	AUX	avoir
reculai	VERB	reculer
fait	NOUN	fait
était	AUX	être
biologiste	ADJ	biologist
menaçant	ADJ	menaçant
volant	VERB	voler
ses	DET	son
chantera	VERB	chanter
que	SCONJ	que
pequeninos	NOUN	pequenino
la	DET	le
sept	NUM	sept
souffre	VERB	souffrir
19	NUM	19
beaucoup	ADV	beaucoup
danser	VERB	danser
Abram	PROPN	Abram
doit	VERB	devoir
parents	NOUN	parent
sonnette	NOUN	sonnette
le	DET	le
connu	VERB	connaître
nus	VERB	nus
Park	X	Park
vie	NOUN	vie
qu'	SCONJ	que
adversaire	ADJ	adversair
la	DET	le
lentement	ADV	lentement
de	ADP	de
blessure	NOUN	blessure
il	PRON	il
accompli	VERB	accomplir
des	DET	un
Le	DET	le
Boucan	PROPN	Boucan
milieu	NOUN	milieu
assistants	NOUN	assistant
du	ADP	de
changement	NOUN	changement
dit	VERB	dire
jeune	ADJ	jeune
que	SCONJ	que
il	PRON	il
pourrait	VERB	pouvoir
taule	NOUN	taule
visiblement	ADV	visiblement
ébène	NOUN	ébène
Le	DET	le
femme	NOUN	femme
changé	VERB	changer
lumière	NOUN	lumière
affront	NOUN	affront
graisse	NOUN	graisse
probablement	ADV	probablement
une	DET	un
camarade	NOUN	camarade
répondit	NOUN	répondit
il	PRON	il
un	DET	un
mis	VERB	mettre
cortex	NOUN	cortex
porte	NOUN	porte
tomba	VERB	tomber
trouvait	VERB	trouver
ouvrira	VERB	ouvrir
qui	PRON	qui
odeur	NOUN	odeur
cet	DET	ce
sans	ADP	sans
blanche	ADJ	blanc
sauce	NOUN	sauce
la	DET	le
parfois	ADV	parfois
route	NOUN	route
était	AUX	être
armoire	NOUN	armoire
train	NOUN	train
place	NOUN	place
entre	ADP	entre
de	ADP	de
Leks	NOUN	lek
située	VERB	situer
se	PRON	se
loin	ADV	loin
sentiment	NOUN	sentiment
sur	ADP	sur
bibler	VERB	bibler
ils	PRON	il
fer	NOUN	fer
comme	SCONJ	comme
de	ADP	de
vieilles	ADJ	vieux
ne	ADV	ne
Pas	ADV	pas
vie	NOUN	vie
demi-heure	NOUN	demi-heure
une	DET	un
sais	VERB	savoir
arriver—	ADP	arriver—
dit	VERB	dire
cette	DET	ce
sommes	VERB	être
elle	PRON	lui
Il	PRON	il
derrière	ADP	derrière
la	DET	le
fabriqué	VERB	fabriquer
fera	VERB	faire
intention	NOUN	intention
dévoyée	VERB	dévoyer
