donner	VERB	donner
bord	NOUN	bord
en	ADP	en
boire	VERB	boire
dix	NUM	dix
ma	DET	mon
de	ADP	de
fille	NOUN	fille
le	DET	le
Hey	PROPN	Hey
Après	ADP	après
qu'	PRON	qu'
suis	AUX	être
la	DET	le
raconté	VERB	raconter
table	NOUN	table
en	ADP	en
signifie	VERB	signifier
Mais	CCONJ	mais
bouquets	NOUN	bouquet
alors	ADV	alors
sa	DET	son
vient	VERB	venir
secret	NOUN	secret
ramenait	VERB	ramener
disait	VERB	dire
mais	CCONJ	mais
avait	AUX	avoir
se	PRON	se
juste	ADV	juste
Nouséconomiserons	NOUN	nouséconomiseron
Il	PRON	il
sur	ADP	sur
surveillance	NOUN	surveillance
jambes	NOUN	jambe
au	ADP	au
de	ADP	de
Son	DET	son
qui	PRON	qui
mémoire	NOUN	mémoire
vous	PRON	vous
réfléchi	VERB	réfléchir
plaquant	VERB	plaquer
pour	ADP	pour
Je	PRON	je
pieux	ADJ	pieux
par	ADP	par
de	ADP	de
qu'	SCONJ	que
grand-chose	NOUN	grand-chose
pressés	VERB	presser
de	ADP	de
de	ADP	de
poisson	NOUN	poisson
tout	ADV	tout
aimez	VERB	aimer
derrière	ADP	derrière
identifier	NOUN	identifier
par	ADP	par
et	CCONJ	et
des	ADP	de
plus	ADV	plus
se	PRON	se
son	DET	son
Mais	CCONJ	mais
tour	NOUN	tour
lentement	ADV	lentement
derrière	ADP	derrière
pouvait	VERB	pouvoir
passerait	VERB	passer
fait	VERB	faire
où	PRON	où
irrésistible	ADJ	irrésistible
boue	NOUN	boue
torse	NOUN	torse
mer	VERB	mer
cas	NOUN	cas
Je	PRON	je
résonne	VERB	résonne
ne	ADV	ne
autre	PRON	autre
les	DET	le
je	PRON	je
Ses	DET	son
le	DET	le
les	DET	le
jetée	VERB	jeter
que	SCONJ	que
ainsi	ADV	ainsi
voulez	VERB	vouloir
cela	PRON	cela
armurerie	NOUN	armurerie
fois	NOUN	fois
finalement	ADV	finalement
avez	AUX	avoir
au	ADP	au
assise	VERB	asseoir
bibliothèque	NOUN	bibliothèque
lui	PRON	lui
besoin	NOUN	besoin
de	ADP	de
faux	ADJ	faux
que	SCONJ	que
je	PRON	je
et	CCONJ	et
astragalusqu'	SCONJ	astragalusqu'
La	DET	le
propres	ADJ	propre
décevoir	VERB	décevoir
aucune	DET	aucun
eut	VERB	avoir
en	PRON	en
libération	NOUN	libération
Je	PRON	je
ne	ADV	ne
de	ADP	de
en	PRON	en
lui	PRON	lui
clair	ADJ	clair
France	PROPN	France
on	PRON	on
pas	ADV	pas
Juste	ADV	juste
frapper	NOUN	frapper
hémoglobine	NOUN	hémoglobine
lui	PRON	lui
Ces	DET	ce
Morganna	PROPN	Morganna
An	PROPN	An
les	DET	le
le	DET	le
étais	AUX	être
mais	CCONJ	mais
entraînant	VERB	entraîner
