dame	NOUN	dame
être	AUX	être
façon	NOUN	façon
il	PRON	il
avait	AUX	avoir
malade	ADJ	malade
abandonné	VERB	abandonner
plusieurs	DET	plusieurs
résidence	NOUN	résidence
du	ADP	de
œil	NOUN	œil
Reine	NOUN	reine
faut	VERB	falloir
pas	ADV	pas
crayon	NOUN	crayon
Miranda	PROPN	Miranda
offrit	VERB	offrir
la	DET	le
connais	VERB	connaître
lire	VERB	lire
maladie	NOUN	maladie
ne	ADV	ne
agit	VERB	agir
Elle	PRON	lui
poche	NOUN	poche
bâillonna	ADJ	bâillonna
trois	NUM	trois
Vi	ADJ	vi
importance	NOUN	importance
je	PRON	je
hasard	NOUN	hasard
une	DET	un
buveur	NOUN	buveur
il	PRON	il
leur	DET	leur
la	DET	le
circulaire	ADJ	circulaire
se	PRON	se
possibles	ADJ	possible
Elle	PRON	lui
une	DET	un
de	ADP	de
pour	ADP	pour
tout	ADJ	tout
comment	ADV	comment
des	ADP	de
juger	VERB	juger
tout	ADJ	tout
montèrent	VERB	monter
fort	NOUN	fort
voulu	VERB	vouloir
qui	PRON	qui
Ascelin	PROPN	Ascelin
la	DET	le
que	SCONJ	que
jusqu'	ADP	jusque
solitude	VERB	solitude
de	ADP	de
Virus	PROPN	Virus
ldi	NOUN	ldi
dit	VERB	dire
geste	NOUN	geste
de	ADP	de
du	ADP	de
de	ADP	de
paroles	NOUN	parole
air	NOUN	air
être	AUX	être
une	DET	un
venue	VERB	venir
des	DET	un
que	SCONJ	que
Il	PRON	il
ils	PRON	il
du	ADP	de
et	CCONJ	et
vingt-six	ADJ	vingt-six
elle	PRON	lui
salle	NOUN	salle
devrais	VERB	devoir
la	DET	le
ma	DET	mon
en	ADP	en
moqueuse	ADJ	moqueur
rassurer	VERB	rassurer
voulait	VERB	vouloir
Ils	PRON	il
dégonflé	VERB	dégonfler
leur	DET	leur
suivant	NOUN	suivant
nous	PRON	nous
cet	DET	ce
préparé	VERB	préparer
elle	PRON	lui
dans	ADP	dans
sourcils	NOUN	sourcil
une	DET	un
pieds	NOUN	pied
frère	NOUN	frère
les	DET	le
un	DET	un
ralentit	VERB	ralentir
une	DET	un
qui	PRON	qui
Des	DET	un
la	DET	le
eu	VERB	avoir
prit	VERB	prendre
tapoter	VERB	tapoter
le	DET	le
Vous	PRON	vous
mis	VERB	mettre
et	CCONJ	et
affronter	VERB	affronter
de	ADP	de
les	DET	le
la	DET	le
quelque	DET	quelque
acier	NOUN	acier
des	DET	un
ont	AUX	avoir
ils	PRON	il
Rappeler	VERB	rappeler
ce	DET	ce
sa	DET	son
les	DET	le
force	NOUN	force
éléphants	NOUN	éléphant
indiscrétions	NOUN	indiscrétion
creux	NOUN	creux
dans	ADP	dans
servait	VERB	servir
vers	ADP	vers
un	PRON	un
ceux	PRON	celui
tête	NOUN	tête
décoré	VERB	décorer
tous	DET	tout
entraînement	NOUN	entraînement
été	AUX	être
problèmes	NOUN	problème
pas	ADV	pas
voisine	NOUN	voisin
fermés	VERB	fermer
là	ADV	là
contre	ADP	contre
fredonnait	VERB	fredonner
et	CCONJ	et
tu	PRON	tu
maquiller	VERB	maquiller
que	PRON	que
jusqu'	ADP	jusque
tronçon	NOUN	tronçon
des	DET	un
silence	NOUN	silence
où	PRON	où
déplore	NOUN	déplore
Parfois	ADV	parfois
yeux	NOUN	oeil
Quand	SCONJ	quand
troupes	NOUN	troupe
le	DET	le
et	CCONJ	et
Ensuite	ADV	ensuite
animaux	NOUN	animal
mécontent	ADV	mécontent
vieille	NOUN	vieux
heures	NOUN	heure
ton	NOUN	ton
en	ADP	en
observé	VERB	observer
la	DET	le
retrouvés	VERB	retrouver
il	PRON	il
plaisir	NOUN	plaisir
et	CCONJ	et
dans	ADP	dans
et	CCONJ	et
de	ADP	de
bien	ADV	bien
diagnostic	NOUN	diagnostic
fauteuil	NOUN	fauteuil
de	ADP	de
nous	PRON	nous
la	DET	le
marrons	ADJ	marron
Vénitiens	NOUN	vénitien
bible	NOUN	bible
laissa	ADJ	laissa
miens	NOUN	mien
Elle	PRON	lui
optique	NOUN	optique
Ce	PRON	ce
joie	NOUN	joie
le	DET	le
Oui	PROPN	Oui
le	DET	le
ensorcelée	VERB	ensorceler
trois	NUM	trois
avait	AUX	avoir
ces	DET	ce
Ces	DET	ce
quelle	ADJ	quell
ait	AUX	avoir
Mgr	PROPN	Mgr
mois	NOUN	mois
de	ADP	de
de	ADP	de
du	ADP	de
remarque	ADJ	remarqu
vas	PRON	vas
secondaire	NOUN	secondaire
rouges	ADJ	rouge
mouvantes	NOUN	mouvante
dans	ADP	dans
ne	ADV	ne
sienne	VERB	sienne
compagnie	NOUN	compagnie
Comme	ADP	comme
de	ADP	de
diriger	VERB	diriger
nous	PRON	nous
tout	ADV	tout
dans	ADP	dans
Nous	PRON	nous
qui	PRON	qui
raisonnement	NOUN	raisonnement
phénomène	NOUN	phénomène
rêvé	VERB	rêver
latin	NOUN	latin
grande	ADJ	grand
deuxième	ADJ	deuxième
la	DET	le
chemin	NOUN	chemin
vers	ADP	vers
de	ADP	de
il	PRON	il
Anne	PROPN	Anne
Sans	ADP	sans
Randi	PROPN	Randi
Pourquoi	ADV	pourquoi
et	CCONJ	et
et	CCONJ	et
partie	NOUN	partie
volant	VERB	voler
arrête	VERB	arrête
case	ADJ	cas
franchi	VERB	franchir
et	CCONJ	et
contre	ADP	contre
fauteuil	NOUN	fauteuil
trouvé	NOUN	trouvé
attend	VERB	attendre
mon	DET	mon
fait	NOUN	fait
sont	AUX	être
Si	SCONJ	si
dans	ADP	dans
dégagé	VERB	dégager
elle	PRON	lui
les	DET	le
devient	VERB	devenir
le	DET	le
jamais	ADV	jamais
médecine	NOUN	médecine
Elle	PRON	lui
pas	ADV	pas
Il	PRON	il
Ne	ADV	ne
sans	ADP	sans
voudrais	VERB	vouloir
traita	NOUN	traita
religions	NOUN	religion
les	PRON	le
était	AUX	être
se	PRON	se
oreilles	NOUN	oreille
tout	ADV	tout
reçu	VERB	recevoir
en	ADP	en
sociale	ADJ	social
fois	NOUN	fois
la	DET	le
une	DET	un
de	ADP	de
dimanche	NOUN	dimanche
recevais	VERB	recevoir
annonça	VERB	annoncer
pour	ADP	pour
réels	ADJ	réel
observa	VERB	observer
nuque	NOUN	nuque
avait	AUX	avoir
aux	ADP	à
fait	VERB	faire
trou	NOUN	trou
était	AUX	être
des	DET	un
rien	PRON	rien
vie	NOUN	vie
clair	ADJ	clair
elle	PRON	lui
emploi	NOUN	emploi
ajoutait	VERB	ajouter
vie	NOUN	vie
des	DET	un
flacon	NOUN	flacon
ours	NOUN	ours
les	DET	le
aussitôt	ADV	aussitôt
bien	ADV	bien
parle	VERB	parle
Il	PRON	il
un	PRON	un
ses	DET	son
bout	NOUN	bout
maintenant	ADV	maintenant
fond	NOUN	fond
je	PRON	je
et	CCONJ	et
une	DET	un
et	CCONJ	et
pouvoir	VERB	pouvoir
qui	PRON	qui
yeux	NOUN	oeil
niveau	NOUN	niveau
son	DET	son
que	SCONJ	que
les	DET	le
en	ADP	en
notre	DET	notre
ne	ADV	ne
même	ADV	même
verticale	NOUN	verticale
une	DET	un
plutôt	ADV	plutôt
patiente	ADJ	patient
Je	PRON	je
Jésus	PROPN	Jésus
leur	DET	leur
ce	DET	ce
matin	NOUN	matin
sous	ADP	sous
monsieur	NOUN	Monsieur
biais	NOUN	biais
convaincre	VERB	convaincre
mort	ADJ	mort
suivit	VERB	suivre
imaginer	VERB	imaginer
ils	PRON	il
son	DET	son
Angeles	PROPN	Angeles
le	DET	le
tard	ADV	tard
Van	X	Van
bouche	NOUN	bouche
laissées	VERB	laisser
le	DET	le
Kenbourne	PROPN	Kenbourne
tomber	VERB	tomber
les	DET	le
Olivier	NOUN	olivier
voir	VERB	voir
eussent	VERB	avoir
les	DET	le
tu	ADP	tu
Je	PRON	je
on	PRON	on
Ravot	NOUN	ravot
de	ADP	de
un	DET	un
heureuses	ADJ	heureux
il	PRON	il
point	NOUN	point
chose	NOUN	chose
Angèle	PROPN	Angèle
de	ADP	de
lui	PRON	lui
Cachée	PROPN	Cachée
jeu	NOUN	jeu
aucun	PRON	aucun
mais	CCONJ	mais
le	DET	le
bénissait	VERB	bénir
se	PRON	se
Adrien	PROPN	Adrien
éveillés	ADJ	éveillé
je	PRON	je
homme	NOUN	homme
humaines	ADJ	humain
le	DET	le
mieux	NOUN	mieux
que	SCONJ	que
plaît	VERB	plaire
pas	ADV	pas
conduire	VERB	conduire
la	DET	le
nécropole	NOUN	nécropole
Je	PRON	je
qui	PRON	qui
de	ADP	de
aurore	NOUN	aurore
déclara	ADJ	déclara
alcool	NOUN	alcool
trop	ADV	trop
comprendre	VERB	comprendre
et	CCONJ	et
la	DET	le
la	DET	le
transmettre	VERB	transmettre
aucun	DET	aucun
mauvaise	ADJ	mauvais
annoncer	VERB	annoncer
comprendre	VERB	comprendre
pardon	NOUN	pardon
nous	PRON	nous
parlé	VERB	parler
pensées	NOUN	pensée
découpait	VERB	découper
mis	VERB	mettre
tu	SCONJ	tu
pas	ADV	pas
pote	NOUN	pote
veux	ADJ	veux
pourrait	VERB	pouvoir
dans	ADP	dans
Si	SCONJ	si
Et	CCONJ	et
Quant	ADV	quant
chasse	NOUN	chasse
pouvait	VERB	pouvoir
collection	NOUN	collection
et	CCONJ	et
le	DET	le
aime	VERB	aime
dire	VERB	dire
toujours	ADV	toujours
soie	NOUN	soie
comprend	VERB	comprendre
public	ADJ	public
je	PRON	je
profondément	ADV	profondément
esprit	NOUN	esprit
Non	ADV	non
Alors	ADV	alors
sillonnent	ADV	sillonnent
présente	VERB	présente
il	PRON	il
moi	PRON	moi
tôt	ADV	tôt
gens	NOUN	gens
rêve	NOUN	rêve
bandits	ADJ	bandit
terre	NOUN	terre
de	ADP	de
aiment	VERB	aimer
la	DET	le
et	CCONJ	et
songeait	VERB	songer
voulu	VERB	vouloir
voir	VERB	voir
dit	VERB	dire
couche	NOUN	couche
longtemps	ADV	longtemps
mon	DET	mon
index	NOUN	index
du	ADP	de
chose	NOUN	chose
on	PRON	on
porter	VERB	porter
tout	ADJ	tout
de	ADP	de
Dis-le-moi	NOUN	dis-le-moi
cours	NOUN	cours
rapproché	VERB	rapprocher
peu	ADV	peu
et	CCONJ	et
femmes	NOUN	femme
est	AUX	être
jeune	ADJ	jeune
et	CCONJ	et
aimerais	PRON	aimerais
agitation	NOUN	agitation
Bone	PROPN	Bone
et	CCONJ	et
officiels	NOUN	officiel
le	DET	le
article	NOUN	article
Des	DET	un
aussitôt	ADV	aussitôt
poliment	ADV	poliment
demi-pénombre	NOUN	demi-pénombre
et	CCONJ	et
faite	VERB	faire
avait	AUX	avoir
Le	DET	le
la	DET	le
aussi	ADV	aussi
Il	PRON	il
se	PRON	se
temps	NOUN	temps
la	DET	le
croix	NOUN	croix
air	NOUN	air
hall	NOUN	hall
pas	ADV	pas
Flanceau	NOUN	flanceau
Roditis	PROPN	Roditis
ça	PRON	cela
ne	ADV	ne
du	ADP	de
dans	ADP	dans
et	CCONJ	et
un	DET	un
passion	NOUN	passion
lointain	NOUN	lointain
dégingandé	VERB	dégingander
regard	NOUN	regard
chez	ADP	chez
les	DET	le
volonté	NOUN	volonté
première	ADJ	premier
de	ADP	de
Jeanne	PROPN	Jeanne
Morvan	PROPN	Morvan
visage	NOUN	visage
dans	ADP	dans
choses	NOUN	chose
une	DET	un
souvent	ADV	souvent
passagers	NOUN	passager
kilomètres	NOUN	kilomètre
de	ADP	de
arrière	NOUN	arrière
qu'	SCONJ	que
plus	ADV	plus
Plutôt	ADV	plutôt
Urqhardt	PROPN	Urqhardt
par	ADP	par
moi	PRON	moi
le	DET	le
merveilleux	ADJ	merveilleux
tant	ADV	tant
ne	ADV	ne
poings	NOUN	poing
informatique	ADJ	informatique
peu	ADV	peu
que	SCONJ	que
la	DET	le
prendrai	VERB	prendre
ils	PRON	il
la	DET	le
Je	PRON	je
pas	ADV	pas
peu	ADV	peu
resté	VERB	rester
cours	NOUN	cours
dix-sept	NUM	dix-sept
la	DET	le
dernier	ADJ	dernier
bien	ADV	bien
que	SCONJ	que
est	AUX	être
savais	VERB	savoir
ça	PRON	cela
accuser	VERB	accuser
ski	NOUN	ski
elle	PRON	lui
sa	DET	son
peu	ADV	peu
abord	NOUN	abord
connaît	VERB	connaître
la	DET	le
là	ADV	là
prochain	ADJ	prochain
qui	PRON	qui
vanité	NOUN	vanité
fuir	NOUN	fuir
mes	DET	mon
art	NOUN	art
non	ADV	non
bosquet	NOUN	bosquet
visite	NOUN	visite
là	ADV	là
blanc	ADJ	blanc
ne	ADV	ne
le	DET	le
lui	PRON	lui
fois	NOUN	fois
une	DET	un
leur	DET	leur
pas	ADV	pas
lier	NOUN	lier
qui	PRON	qui
caressait	VERB	caresser
possible	ADJ	possible
comme	ADP	comme
jeune	ADJ	jeune
instant	NOUN	instant
10	NUM	10
et	CCONJ	et
me	PRON	me
de	ADP	de
roussi	ADJ	roussir
œillères	NOUN	œillère
quelques	DET	quelque
hanches	NOUN	hanche
livre	NOUN	livre
conscience	NOUN	conscience
gagner	VERB	gagner
rallonge	NOUN	rallonge
Angie	PROPN	Angie
intéressant	ADJ	intéressant
boulons	NOUN	boulon
de	ADP	de
chic	NOUN	chic
une	DET	un
Peut	ADV	peut
fait	VERB	faire
ce	PRON	ce
en	ADP	en
nature	NOUN	nature
numéro	NOUN	numéro
vont	VERB	aller
Auderghem	PROPN	Auderghem
essentiels	ADJ	essentiel
quelle	ADJ	quell
Walter	PROPN	Walter
ce	PRON	ce
chef	NOUN	chef
remonte	VERB	remonte
des	DET	un
un	DET	un
se	PRON	se
contenteraient	NOUN	contenteraient
fois	NOUN	fois
ne	ADV	ne
elle	PRON	lui
bord	NOUN	bord
sur	ADP	sur
universel	VERB	universel
leur	DET	leur
Pierre	PROPN	Pierre
Elle	PRON	lui
Daquin	PROPN	Daquin
de	ADP	de
absent	ADV	absent
son	DET	son
une	DET	un
de	ADP	de
Et	CCONJ	et
accuser	VERB	accuser
la	DET	le
Angeles	NOUN	angele
au	ADP	au
aux	ADP	à
on	PRON	on
en	ADP	en
là	ADV	là
corps	NOUN	corps
parvenait	VERB	parvenir
encore	ADV	encore
allonge	VERB	allonger
tailleur	NOUN	tailleur
tous	ADJ	tout
du	ADP	de
une	DET	un
commandant	NOUN	commandant
avons	AUX	avoir
était	AUX	être
verts	PROPN	vert
Quelque	DET	quelque
vies	NOUN	vie
Morgan	PROPN	Morgan
que	PRON	que
et	CCONJ	et
Paul	PROPN	Paul
rappelai	VERB	rappeler
de	ADP	de
étant	AUX	être
dira	VERB	dire
Humain	PROPN	Humain
bien	ADV	bien
ignorance	NOUN	ignorance
pourrez	VERB	pouvoir
énergie	NOUN	énergie
ou	CCONJ	ou
en	PRON	en
efface	VERB	effacer
Elle	PRON	lui
pourquoi	ADV	pourquoi
pour	ADP	pour
jour	NOUN	jour
doit	VERB	devoir
celles	PRON	celui
de	ADP	de
le	DET	le
la	DET	le
est	AUX	être
extrémité	NOUN	extrémité
perdre	VERB	perdre
avec	ADP	avec
un	DET	un
de	ADP	de
Il	PRON	il
Et	CCONJ	et
et	CCONJ	et
le	DET	le
et	CCONJ	et
de	ADP	de
que	SCONJ	que
refiler	VERB	refiler
ici	ADV	ici
éclair	ADJ	éclair
Dans	ADP	dans
vos	DET	votre
question	NOUN	question
que	SCONJ	que
de	ADP	de
Si	SCONJ	si
je	PRON	je
il	PRON	il
bien	ADV	bien
affronter	VERB	affronter
allés	VERB	aller
quart	NOUN	quart
pas	ADV	pas
avoir	AUX	avoir
il	PRON	il
la	DET	le
ses	DET	son
oncle	NOUN	oncle
son	DET	son
Des	DET	un
donc	ADV	donc
monstre	NOUN	monstre
symbolique	ADJ	symbolique
modulée	VERB	moduler
trou	NOUN	trou
se	PRON	se
instructions	NOUN	instruction
fait	VERB	faire
Seyn	PROPN	Seyn
il	PRON	il
vieux	PROPN	vieux
Enfin	ADV	enfin
Le	DET	le
que	SCONJ	que
ma	DET	mon
attaquer	VERB	attaquer
fois	NOUN	fois
événements	NOUN	événement
fils	NOUN	fils
face	NOUN	face
répondre	VERB	répondre
cette	DET	ce
groupe	NOUN	groupe
que	SCONJ	que
dans	ADP	dans
qu'	SCONJ	que
entière	ADJ	entier
ai	VERB	avoir
Ne	ADV	ne
tableau	NOUN	tableau
et	CCONJ	et
mêmes	ADJ	même
la	DET	le
son	DET	son
il	PRON	il
empêche	VERB	empêche
donner	VERB	donner
mirent	ADV	mirent
en	ADP	en
que	SCONJ	que
transmettait	VERB	transmettre
Nous	PRON	nous
et	CCONJ	et
mise	VERB	mettre
qui	PRON	qui
ajoutent	VERB	ajouter
semaines	NOUN	semaine
de	ADP	de
une	DET	un
avait	VERB	avoir
la	DET	le
en	PRON	en
La	DET	le
il	PRON	il
de	ADP	de
psychologie	NOUN	psychologie
bien	ADV	bien
lui	PRON	lui
essayait	VERB	essayer
moins	ADV	moins
des	ADP	de
dernière	ADJ	dernier
Gaïa	ADJ	gaïa
repos	NOUN	repos
pour	ADP	pour
découverts	VERB	découvrir
laquelle	PRON	lequel
avait	AUX	avoir
Normale	ADJ	normal
rien	PRON	rien
une	DET	un
tu	PRON	tu
attention	NOUN	attention
des	DET	un
le	DET	le
son	DET	son
Etats-Unis	PROPN	Etats-Unis
et	CCONJ	et
donne	VERB	donne
raconter	VERB	raconter
mets	NOUN	mets
justice	NOUN	justice
besoin	NOUN	besoin
es	PRON	es
roulé	VERB	rouler
après	ADP	après
du	ADP	de
perturber	VERB	perturber
démarra	VERB	démarrer
de	ADP	de
agi	NOUN	agi
cette	DET	ce
les	DET	le
toujours	ADV	toujours
appris	VERB	apprendre
fit	VERB	faire
elle	PRON	lui
desquels	ADJ	desquel
Il	PRON	il
sa	DET	son
faux	ADJ	faux
Je	PRON	je
inhabité	NOUN	inhabité
mystère	ADJ	mystère
entraîna	VERB	entraîner
la	DET	le
ça	PRON	cela
découvert	VERB	découvrir
descolada	NOUN	descolada
sinon	ADV	sinon
seule	ADJ	seul
en	ADP	en
Quel	DET	quel
les	DET	le
qu'	SCONJ	que
quel	DET	quel
Martinez	PROPN	Martinez
ralentir	VERB	ralentir
campagne	NOUN	campagne
le	DET	le
Je	PRON	je
municipale	ADJ	municipal
était	AUX	être
serais	VERB	être
semblaient	VERB	sembler
Couple	NOUN	couple
que	SCONJ	que
compagnons	NOUN	compagnon
le	DET	le
dire	VERB	dire
