Ça	PRON	cela
trou	NOUN	trou
Tillie	PROPN	Tillie
de	ADP	de
vécu	VERB	vivre
faim	NOUN	faim
idée	NOUN	idée
opinion	NOUN	opinion
directeur	NOUN	directeur
Si	SCONJ	si
qui	PRON	qui
aimé	VERB	aimer
de	ADP	de
qu'	PRON	qu'
mal	NOUN	mal
ne	ADV	ne
la	DET	le
la	DET	le
molle	ADJ	mou
installer	VERB	installer
photos	NOUN	photo
interpréter	VERB	interpréter
qu'	SCONJ	que
étrangers	NOUN	étranger
plu	VERB	pleuvoir
Poulette	PROPN	Poulette
Moi	PROPN	Moi
ordre	NOUN	ordre
Il	PRON	il
Southern	PROPN	Southern
ce	PRON	ce
la	DET	le
grogna	NOUN	grogna
de	ADP	de
longèrent	ADV	longèrent
été	AUX	être
est	AUX	être
La	DET	le
que	PRON	que
œuvre	NOUN	œuvre
talons	NOUN	talon
temps	NOUN	temps
glisse	VERB	glisse
Il	PRON	il
soit	AUX	être
quincailleries	NOUN	quincaillerie
demander	VERB	demander
billot	NOUN	billot
animal	NOUN	animal
la	DET	le
Je	PRON	je
accidentelle	ADJ	accidentel
me	PRON	me
vient	VERB	venir
rien	PRON	rien
frère	NOUN	frère
la	DET	le
sans	ADP	sans
Tenez	VERB	tenir
première	ADJ	premier
au	ADP	au
On	PRON	on
comme	ADP	comme
trouves	VERB	trouver
hôte	NOUN	hôte
dit	VERB	dire
Libellule	PROPN	Libellule
os	NOUN	os
mis	VERB	mettre
votre	DET	votre
qu'	SCONJ	que
de	ADP	de
minutes	NOUN	minute
quant	ADV	quant
il	PRON	il
encore	ADV	encore
yeux	NOUN	oeil
Nous	PRON	nous
relevés	VERB	relever
expression	NOUN	expression
rêve	NOUN	rêve
Belle	ADJ	bel
indolence	NOUN	indolence
activité	NOUN	activité
imaginaire	NOUN	imaginaire
je	PRON	je
cauchemar	NOUN	cauchemar
me	PRON	me
lâché	VERB	lâcher
vert	NOUN	vert
gens	NOUN	gens
penchant	ADJ	penchant
pendant	ADP	pendant
mais	CCONJ	mais
de	ADP	de
sur	ADP	sur
Elle	PRON	lui
armes	NOUN	arme
aussi	ADV	aussi
se	PRON	se
de	ADP	de
son	DET	son
un	DET	un
auprès	ADV	auprès
cliente	VERB	cliente
superbe	NOUN	superbe
être	AUX	être
en	ADP	en
Tu	PROPN	Tu
muscles	NOUN	muscle
de	ADP	de
il	PRON	il
de	ADP	de
montré	VERB	montrer
Les	DET	le
la	DET	le
un	DET	un
faim	NOUN	faim
par	ADP	par
de	ADP	de
la	DET	le
de	ADP	de
auberge	NOUN	auberge
eu	VERB	avoir
muscade	VERB	muscade
et	CCONJ	et
secrets	NOUN	secret
Les	DET	le
me	PRON	me
de	ADP	de
dégâts	NOUN	dégât
SPATIAL	ADJ	spatial
leur	DET	leur
Ville-l'Évêque	NOUN	ville-l'évêque
lui	PRON	lui
cadre	NOUN	cadre
que	SCONJ	que
son	DET	son
allait	VERB	aller
pour	ADP	pour
le	DET	le
paraissait	VERB	paraître
quand	SCONJ	quand
ses	DET	son
sa	DET	son
les	DET	le
tendre	ADJ	tendre
