de	ADP	de
fonctionnaires	NOUN	fonctionnaire
et	CCONJ	et
le	DET	le
sur	ADP	sur
acceptait	VERB	accepter
autres	ADJ	autre
que	SCONJ	que
aucun	DET	aucun
suis	AUX	être
Le	DET	le
de	ADP	de
de	ADP	de
rouge	ADJ	rouge
est	AUX	être
pas	ADV	pas
dîner	VERB	dîner
remplaça	NOUN	remplaça
Maison	PROPN	Maison
avoir	AUX	avoir
aucune	DET	aucun
caoutchouc	NOUN	caoutchouc
Withers	PROPN	Withers
Je	PRON	je
plus	ADV	plus
aimerait	VERB	aimer
besoins	NOUN	besoin
sur	ADP	sur
savez	VERB	savoir
conscience	NOUN	conscience
nos	DET	notre
jamais	ADV	jamais
récita	VERB	réciter
son	DET	son
ressentait	VERB	ressentir
efforts	NOUN	effort
géoprogrammateur	NOUN	géoprogrammateur
10	NUM	10
était	AUX	être
pas	ADV	pas
vais	VERB	aller
chambre	NOUN	chambre
en	ADP	en
voyais	PROPN	voir
préparait	VERB	préparer
terre	NOUN	terre
son	DET	son
en	ADP	en
dalles	NOUN	dalle
il	PRON	il
dans	ADP	dans
vraiment	ADV	vraiment
Anatole	NOUN	anatole
peuple	NOUN	peuple
mort	NOUN	mort
escalier	NOUN	escalier
le	DET	le
tôt	ADV	tôt
le	DET	le
excuses	NOUN	excuse
suite	NOUN	suite
détestait	VERB	détester
mine	ADJ	min
brillante	NOUN	brillante
Féronnet	NOUN	féronnet
vernis	NOUN	vernis
allait	VERB	aller
naviguer	VERB	naviguer
réaction	NOUN	réaction
un	DET	un
tu	VERB	taire
la	DET	le
ou	CCONJ	ou
plumes	NOUN	plume
était	AUX	être
devinant	VERB	deviner
la	DET	le
une	DET	un
la	DET	le
pas	ADV	pas
relatif	ADJ	relatif
bleu	NOUN	bleu
exigences	NOUN	exigence
Sur	ADP	sur
Twern	PROPN	Twern
usine	NOUN	usine
accusera	VERB	accuser
un	DET	un
Regarde	PROPN	Regarde
spécialement	ADV	spécialement
et	CCONJ	et
blanche	NOUN	blanche
elle	PRON	lui
ordres	NOUN	ordre
tu	ADP	tu
vous	PRON	vous
là	ADV	là
un	DET	un
