moindre	ADJ	moindre
Est	NOUN	est
qui	PRON	qui
de	ADP	de
épais	ADJ	épais
une	DET	un
la	DET	le
plus	ADV	plus
casier	NOUN	casier
arriver	VERB	arriver
combien	ADV	combien
de	ADP	de
serait	AUX	être
Il	PRON	il
il	PRON	il
estragon	NOUN	estragon
votre	DET	votre
surface	NOUN	surface
concevais	NOUN	concevai
regarder	VERB	regarder
donné	VERB	donner
de	ADP	de
la	DET	le
une	DET	un
jeunes	ADJ	jeune
moi	PRON	moi
reflet	NOUN	reflet
assurait	VERB	assurer
ils	PRON	il
dépense	VERB	dépense
Jean-Baptiste	AUX	jean-baptiste
acquis	VERB	acquérir
arrivée	NOUN	arrivée
pensait	VERB	penser
parlant	VERB	parler
de	ADP	de
de	ADP	de
même	ADV	même
étanchéité	NOUN	étanchéité
il	PRON	il
soulever	VERB	soulever
se	PRON	se
au	ADP	au
de	ADP	de
emmerde	NOUN	emmerde
audace	NOUN	audace
dirigea	VERB	diriger
lui	PRON	lui
se	PRON	se
fixement	NOUN	fixement
il	PRON	il
fort	ADV	fort
Vous	PRON	vous
de	ADP	de
ou	CCONJ	ou
avais	VERB	avoir
cela	PRON	cela
autre	ADJ	autre
diagnostiqua	NOUN	diagnostiqua
cerveau	PRON	cerveau
une	DET	un
prison	NOUN	prison
de	ADP	de
conséquences	NOUN	conséquence
la	DET	le
rasséréna	VERB	rasséréner
une	DET	un
toujours	ADV	toujours
verrait	VERB	voir
comme	ADP	comme
troupes	NOUN	troupe
faire	VERB	faire
comédienne	NOUN	comédien
faisaient	VERB	faire
trouver	VERB	trouver
et	CCONJ	et
pas	ADV	pas
très	ADV	très
une	DET	un
quelqu'	DET	quelque
nuage	NOUN	nuage
trois	PRON	trois
avec	ADP	avec
fait	NOUN	fait
était	AUX	être
Le	DET	le
immédiat	ADJ	immédiat
pouvait	VERB	pouvoir
pas	ADV	pas
ne	ADV	ne
temps	NOUN	temps
même	ADV	même
domestique	NOUN	domestique
très	ADV	très
cas	NOUN	cas
sommes	AUX	être
gaspiller	VERB	gaspiller
la	DET	le
allez	VERB	aller
donc	ADV	donc
et	CCONJ	et
est	VERB	être
grands	ADJ	grand
bribes	NOUN	bribe
du	ADP	de
elle	PRON	lui
une	DET	un
moi	PRON	moi
il	PRON	il
ma	DET	mon
trois	NUM	trois
et	CCONJ	et
un	DET	un
le	DET	le
ai	AUX	avoir
suis	AUX	être
ont	AUX	avoir
Question	NOUN	question
laissant	VERB	laisser
pressant	VERB	presser
Le	DET	le
de	ADP	de
il	PRON	il
son	DET	son
bonheur	NOUN	bonheur
impatience	NOUN	impatience
avait	VERB	avoir
Tu	ADP	tu
en	ADP	en
et	CCONJ	et
cigarette	NOUN	cigarette
du	ADP	de
aucun	DET	aucun
les	DET	le
étaient	AUX	être
les	DET	le
une	DET	un
pas	ADV	pas
retourna	VERB	retourner
heureuse	NOUN	heureux
soleil	NOUN	soleil
casher	VERB	casher
entendais	VERB	entendre
doigts	NOUN	doigt
suis	AUX	être
femme	NOUN	femme
est	AUX	être
la	DET	le
connaissais	ADV	connaissais
fait	VERB	faire
RATP	PROPN	RATP
choisit	VERB	choisir
de	ADP	de
son	DET	son
événements	NOUN	événement
votre	DET	votre
où	PRON	où
kaki	ADJ	kaki
immobiliser	VERB	immobiliser
résuma	VERB	résumer
vie	NOUN	vie
nous	PRON	nous
la	DET	le
jeta	VERB	jeter
pire	NOUN	pire
La	DET	le
tableaux	NOUN	tableau
avons	AUX	avoir
en	PRON	en
que	SCONJ	que
frémir	VERB	frémir
tennis	NOUN	tennis
